원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
남자친구의 생각 하나에 이렇게 흔들리기엔…,you're too good to be shaken up by...,It's too much to be shaken just by your boyfriend's thoughts...,2
네가 너무 아깝다.,...what your boyfriend thinks.,You're too good for this.,1
권터…,gunter...,gunter...,3
"응, 고마워.","yeah, thanks.","Yeah, thanks.",3
…이건 개인적인 궁금증인데.,"this is just a personal question,",…This is just a personal question.,1
시그렌이랑은 그냥 사귀는 건가?,but are you and siegren just dating?,Are you and Siegren just dating?,1
약혼이나 결혼 생각은 아직 없는 거고?,you haven't thought about getting engaged or married?,You haven't thought about getting engaged or married yet?,2
맞아. 아직은…,"yeah, not yet...",Yeah. Not yet...,1
그런데 갑자기 그건 왜?,why do you ask?,Why do you ask that all of a sudden?,1
…그냥 시그렌과 사이가 애매해 보여서.,it just seemed like you two were in an awkward place.,...It just seemed like your relationship with Siegren was ambiguous.,2
틀어지면 곤란한 사이라 적당히 사귀고 있는 건가?,I thought maybe you were just dating him because it would be bad if you two broke up.,Are you just dating him because it would be troublesome if things went wrong between you two?,1
하는 생각을 했다.,that's what I thought.,That's what I thought.,3
그렇지는 않아.,it's not like that.,It's not like that.,3
"그러면,",then...,"In that case,",1
부담스러운 건가?,...is it burdensome?,Is it overwhelming?,1
음…,um...,Um...,3
시그렌이 부담스럽기보단,it's not that siegren is burdensome.,Rather than finding Siegren burdensome...,1
차라리 화를 내!,Just get angry instead!,Just get angry instead!,3
오히려 시그렌에 대한 내 마음이 좀 그래.,it's more like my feelings for him are.,"Rather, it's my own feelings for Siegren that are like that.",2
날이 갈수록 더더욱,"as time goes by,",More and more as time goes by.,1
시그렌을 갖고 싶다고 생각하는 내 마음이.,I want siegren more and more.,My heart keeps thinking that I want to have Siegren.,1
그러니,"so,","So,",3
"부담되냐고 묻는다면,","if you ask me if it's burdensome,","If you ask me whether it's burdensome,",2
그런… 편이네.,I guess it is...,I guess it is.,1
왜 그래?,what's wrong?,What's wrong?,3
"아니,","no,","No,",3
아무것도 아니야…,it's nothing...,It's nothing...,3
"며칠 뒤, 수도.","a few days later, in the capital","A few days later, in the capital.",1
이번에 큰 공을 세우셨다고 들었어요.,I heard you did a great deed.,I heard you made a great contribution this time.,2
그게…,um...,Well...,2
그…,er...,er...,3
존경스러워요!,you're so admirable!,I respect you!,1
한마디 해주세요.,please say something.,Say a few words.,1
네?,huh?,What?,2
아하하…,ahaha...,Ahaha...,3
"나, 왜 갑자기 이렇게 인기가 폭발하는 거야!!",why is my popularity skyrocketing all of a sudden?!,Why is my popularity skyrocketing all of a sudden?!,3
어때요.,how is it?,How is it?,3
효과가 좋죠?,"it's effective, right?","The effect is good, right?",1
혹시… 영애가 제가 한 일에 대해서 이야기하셨나요?,did you... tell them about what I did?,"My lady, did you perhaps talk about what I did?",1
피신 왔다.,ran away,Took refuge.,2
네.,yes.,Yes.,3
도와드리겠다고 했잖아요?,"I told you I'd help you, didn't I?","I told you I'd help you, didn't I?",3
갑자기 이런 시선을 받는 것도 부담스러운데요.,it's a bit burdensome to suddenly get all this attention.,It's a bit burdensome to suddenly get all this attention.,3
"익숙해지셔야 해요, 영애.","you'll have to get used to it, my lady.","You'll have to get used to it, my lady.",3
앞으론 우리가 이렇게 사교계를 제패할 테니까.,we will dominate high society.,We will dominate high society.,3
"잠깐만, 스케일이 갑자기 커졌는데요?","wait, when did this get so big?","Wait, the scale suddenly got bigger!",1
기왕 태어난 거 꿈은 크게 가져야죠.,"since we're born, we might as well dream big.","Since we're born, we might as well dream big.",3
피오나 영애.,lady fiona.,Lady Fiona.,3
같이 춤출 수 있을까.,may I have this dance?,May I have this dance?,3
"틀어지면 곤란한 사이라,",I thought maybe you were just dating him...,Because it would be troublesome if things went wrong between you two.,2
적당히 사귀고 있는 건가?,...because it would be bad if you two broke up.,Are you just dating casually?,2
"아니면,",or...,Or is it...?,1
부담스러운 건가?,...is it burdensome?,Do you feel burdened?,1
…피오나.,fiona...,...Fiona.,1
몸은 어때?,how are you feeling?,How's your body?,1
"…괜찮아, 다 나았어.",I'm fine. I'm all better.,I'm fine. I'm all better.,3
다행이네.,that's good.,That's a relief.,2
춤이 끝나면 이야기 좀 해.,I want to talk to you after this dance.,Let's talk after the dance.,1
…싫어.,no...,I don't want to.,1
"그럼,",then...,"In that case,",1
지금 당장 할까?,...should we talk right now?,Should we do it right now?,1
꺅!!,ack!!,Eek!!,1
"하, 할게!",o-okay!,F-Fine! I'll do it!,2
사람들 보니까 내려줘…!,people are watching! put me down!,People are watching… Put me down…!,1
어디로 가는 거야?,where are we going?,Where are you going?,1
조용히 이야기할 수 있는 곳.,somewhere we can talk quietly.,Somewhere we can talk in private.,1
어쩐지 불길한 기분이…,I have a bad feeling about this...,I have a bad feeling about this...,3
만지작,fidget,fiddle with,1
추워?,are you cold?,Are you cold?,3
"앗, 괜찮아.","oh, it's okay.","Oh, I'm fine.",2
너도 춥잖아.,you're cold too.,You're cold too.,3
안으로 들어갈 걸 그랬나.,maybe we should have gone inside.,Maybe we should have gone inside.,3
네 방에는 안 갈래.,I don't want to go to your room.,I won't go to your room.,2
데려가지도 않을 거야.,I wasn't going to take you there.,I'm not going to take you there.,1
아벨이 알면 귀찮아질걸.,it'll be annoying if abel finds out.,It'll be troublesome if Abel finds out.,2
앉아.,sit.,Sit down.,2
오래 서 있으면 발 아프니까.,your feet will hurt if you stand too long.,Your feet will hurt if you stand too long.,3
…길게 이야기할 거야?,is this going to be a long talk?,Is this going to be a long conversation?,1
나도 모르겠어.,I don't know.,I don't know either.,1
피오나.,fiona.,Fiona.,3
