hangle,first_translate,idiom_translate,label,idiom
…피오나.,fiona...,fiona...,fiona.,쥐 죽은 듯 : as quiet as a mouse
…응.,yeah...,yeah...,yes?,쥐 죽은 듯 : as quiet as a mouse
너무,she’s...,she’s...,she’s so…,쥐 죽은 듯 : as quiet as a mouse
사랑스러워…,...so adorable...,...so adorable...,…lovely…,쥐 죽은 듯 : as quiet as a mouse
"거기에 있는거 다 알고 있다, 시그렌.","I know you’re there, siegren.","I know you’re there, siegren.","I know you’re in there, siegren.",쥐 죽은 듯 : as quiet as a mouse
당장 튀어나와라.,come out right now.,come out this instant.,come out this instant.,쥐 죽은 듯 : as quiet as a mouse
다섯 세마.,I’ll count to five.,I’ll count to five.,I’m gonna count to five.,쥐 죽은 듯 : as quiet as a mouse
아벨!,abel!,abel!,abel!,쥐 죽은 듯 : as quiet as a mouse
"하나,","one,","one,","one,",쥐 죽은 듯 : as quiet as a mouse
둘…,two...,two...,two…,쥐 죽은 듯 : as quiet as a mouse
이럴 때만 보호자 노릇을 똑똑히 한다니까!,he only acts like a guardian at times like this!,he only acts like my guardian at times like this!,why does he always have to act like a guardian at times like this?,쥐 죽은 듯 : as quiet as a mouse
그렇게 됐으니,"well, I guess...","well, I guess...","now that it’s come to this,",쥐 죽은 듯 : as quiet as a mouse
이건 다음 기회에.,...we’ll have to do this next time.,...we’ll have to do this next time.,we’ll do this some other time.,쥐 죽은 듯 : as quiet as a mouse
…알겠어.,okay...,okay...,all right.,쥐 죽은 듯 : as quiet as a mouse
그래.,all right.,all right.,good.,쥐 죽은 듯 : as quiet as a mouse
"까짓것 해보지,","let’s try it,","let’s give it a try,",let’s give this dating thing...,쥐 죽은 듯 : as quiet as a mouse
연애.,dating.,being in a relationship.,...a try.,쥐 죽은 듯 : as quiet as a mouse
다섯 다 셌다.,I’m done counting.,I counted to five.,I’m done counting.,쥐 죽은 듯 : as quiet as a mouse
문짝 뜯어져요!!,you’ll break the door!!,you’re going to break the door!!,you’re gonna break the door down!!,쥐 죽은 듯 : as quiet as a mouse
여기가 소문의 황자궁인가.,so this is the palace of the infamous prince.,so this is the palace of the infamous prince.,is this the rumored prince’s palace?,쥐 죽은 듯 : as quiet as a mouse
"에레즈 후작가 장남, 케인 에레즈.","cain ereze, the eldest son of marquis ereze.","cain ereze, the eldest son of marquis ereze.","the eldest son of marquess ereze,",쥐 죽은 듯 : as quiet as a mouse
아버지께서 분명…,father said...,father said...,father clearly said…,쥐 죽은 듯 : as quiet as a mouse
케인. 곧 부상이 완치되어 복귀한다지.,"cain, I heard you’ll be returning to work soon.","cain, I heard you’ll be returning to work soon.","cain, return to your post as soon as you’ve recovered.",쥐 죽은 듯 : as quiet as a mouse
복귀 후엔 황자궁에서 제 2황자를 감시해라.,"when you do, keep an eye on the second imperial prince.","once you do, I want you to keep an eye on the second imperial prince.","once you’ve returned, you must keep an eye on the second prince.",쥐 죽은 듯 : as quiet as a mouse
예…?,pardon...?,pardon...?,what…?,쥐 죽은 듯 : as quiet as a mouse
저는 1황녀 전하의 궁전에서 근무합니다만.,but I work at the palace of the first imperial princess.,but I work at the first imperial princess’s palace.,but I work in the palace of the first princess.,쥐 죽은 듯 : as quiet as a mouse
네가 쉬는 동안 근무처를 바꿔놓았다.,I changed your post while you were on leave.,I changed your post while you were on leave.,I transferred you while you were on your break.,쥐 죽은 듯 : as quiet as a mouse
그런…!,what...?!,what...?!,but--,쥐 죽은 듯 : as quiet as a mouse
"잘 감시해서, 이상한 건 바로 보고하거라.",keep a close eye on him and report anything suspicious.,keep a close watch on him and report anything suspicious.,keep a close eye on him and immediately report anything you find suspicious.,쥐 죽은 듯 : as quiet as a mouse
이건 가문을 위해 아주 중요한 일이다.,this is very important for our family.,this is very important for our family.,this is an important task you must do for the family.,쥐 죽은 듯 : as quiet as a mouse
괜한 짓을 하고 싶진 않은데…,I don’t want to do anything unnecessary...,I don’t want to do anything unnecessary...,"I don’t want to do anything to cause trouble,",쥐 죽은 듯 : as quiet as a mouse
이 지긋지긋한 정쟁은 아버지 대에서 끝내야 돼.,we must end this tedious political war in my generation.,we must put an end to this tiresome political strife in your generation.,but this political warfare needs to end with father’s generation.,쥐 죽은 듯 : as quiet as a mouse
성가신 일에 휩쓸렸어…,I’ve been caught up in something troublesome...,I’ve been caught up in something troublesome...,this is going to be quite tedious…,쥐 죽은 듯 : as quiet as a mouse
아이고…,ugh...,ugh...,oh no…,쥐 죽은 듯 : as quiet as a mouse
아이고오…,ugh...,ugh...,oh…,쥐 죽은 듯 : as quiet as a mouse
