hangle,first_translate,idiom_translate,label,idiom
"마법사님, 괜찮으십니까!","are you all right, miss?","are you all right, master magician?!","are you all right, lady fiona?!",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
살아남은 마물이 있다!,there’s a monster still alive!,there’s a monster that survived!,this monster survived!!,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
공격 준비!,prepare to attack!,prepare to attack!,get ready to attack!,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
거인은 내 위치를 노리고 있었다.,the giant was aiming for me.,the giant was aiming for me.,the giant was directly aiming at me.,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
이 소년이 나와 함께 구르지 않았다면,"if this boy hadn’t rolled with me,","if this boy hadn’t rolled with me,","if this boy hadn’t pulled me over,",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
나는 죽었을 것이다.,I would have died.,I would have died.,I would have died.,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
"죽은 줄 알았더니, 숨이 붙은 개체가 있었나?!",I thought they were all dead. how is one still alive?!,"I thought it was dead, but it’s still breathing?!",I thought all  the monsters were dead. one must’ve managed to pull through!,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
어떡해. 날 안고 굴러서 부상이 악화됐나 봐.,oh no. he must have made his injuries worse by rolling with me.,oh no. he must have worsened his injury by rolling with me.,what do I do?  his injury must  have gotten worse from rolling on  the ground while saving me.,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
부축해서 피하는 건 무리야!,he’s too weak to run!,there’s no way I can help him escape!,I can’t  carry him out of this place alone!,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
저는 괜찮아요.,I’m fine.,I’m all right.,I’m fine.,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
그보다…,but...,but more importantly...,more importantly…,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
정신 차ㄹ…!,stay awake...!,stay awake...!,wake up!,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
"―그 순간, 차분히 얼굴을 마주한 그때서야…","at that moment, when I looked at his face,","at that moment, when I calmly looked at his face,","when I looked at his face again,",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
나는 퍼뜩 한 가지 사실을 깨달았다.,I realized something.,I suddenly realized something.,I suddenly remembered something.,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
용병으로 추정되는 낡은 옷차림.,"he’s wearing old clothes, probably because he’s a mercenary.","he was wearing old clothes, like a mercenary.","ragged, mercenary-like clothes,",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
밤하늘처럼 새까만 검은 머리카락.,his hair is as black as the night sky.,his hair was as dark as the night sky.,"black hair  as dark as the night sky,",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
"아름다운 청회색 눈동자,","he has beautiful bluish-gray eyes,","he had beautiful bluish-gray eyes,","beautiful, blue-gray eyes,",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
먼지투성이임에도 예사롭지 않은 외모.,"and his face is striking, even though it’s covered in dirt.","and his face was striking, even though it was covered in dust.",and a handsome face  that refused to be veiled by dirt and grime…,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
내 생각보다 어려서 못 알아봤어.,I didn’t recognize him because he’s younger than I thought.,"he was younger than I expected, so I didn’t recognize him.",I didn’t recognize him because he’s so young.,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
"이 녀석, 남자 주인공인 시그렌 아냐?!","isn’t this boy the male lead, siegren?!","isn’t this guy the male lead, siegren?!","isn’t this siegren, the male lead of my story?!",퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
"※본 작품은 저작권법에 의해 보호를 받는 저작물로 불법 복제와 캡처 등을 이용한 무단 전재 및 유포, 공유하는 것을 금합니다.","*This work is a copyrighted work protected by copyright law, and any unauthorized reproduction, distribution, or other use of this work is strictly prohibited.",To be continued,ⓒFurik&Jeokbal&Winterleaf/Yeondam x DAON,퍼뜩 한 가지 사실을 깨달았다 : Suddenly realized a fact
