hangle,first_translate,idiom_translate,label,idiom
"이전에 언급하셨던 퇴직금, 지금 받을 수 있을까요?",can I receive the severance pay you mentioned before?,can I get the severance pay you mentioned before?,can I get the severance you mentioned in advance?,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
피오나에게.,to fiona,to fiona.,"Dear Fiona,","손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
좋아. 네 뜻대로 하지.,"alright, I’ll do as you wish.",alright. I’ll do as you say.,I will give you what you need.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
대신…,but...,but...,"But in return,","손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
일이 끝나면 헤일론 저택을 한 번 둘러보며 확인을 해 주거라.,"...once this is over, I want you to look around the manor and check if everything is alright.","...after this is over, you must come to the manor and check it out.",I want you to come  and check Heylon Estate when your work in the capital is done.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
아버지라고 부르게 하지 않아서 다행이야.,I’m glad he didn’t make me call him father.,I’m glad he didn’t make me call him father.,I’m glad he didn’t ask me to call him father.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
"아벨이 싫은 건 아니지만,","it’s not that I hate abel,","it’s not that I hate abel,",it’s not that I don’t like abel.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
원작에서는 피오나랑 적이었으니까.,but he was fiona’s enemy in the original story.,but he was fiona’s enemy in the original story.,but he was fiona’s enemy in the original story.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
그리고 현재의 아벨,and the current abel...,and the current abel...,abel now,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
양녀가 되어라,be my adopted daughter.,be my adopted daughter.,I want you to be my daughter.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
이 일이 끝나면 진짜 쉬어야지.,I’m going to rest once this is all over.,I’m going to rest after this is over.,"once my work here is done, I’ll definitely need some time to relax.","손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
이제 슬슬,"we’re getting close to the beginning of the original story,","now,","now,","손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
아벨과 시그렌이 수도로 귀환하는,when abel and siegren return to the capital.,we’re getting closer to the part where abel and siegren return to the capital.,we are getting closer to the time…,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
원작의 시작 지점에 가까워졌다.,when abel and siegren return to the capital.,it’s the beginning of the original story.,…when abel and siegren return to the capital in the original story.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
"곧 시그렌은 북부의 저주받은 용을 죽이고,",siegren will soon kill the cursed dragon of the north...,"siegren will soon kill the cursed dragon of the north,","soon, siegren will kill the cursed dragon of the north…","손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
영웅으로 칭송받으며 수도로 귀환한다.,...and return to the capital as a hero.,and he’ll return to the capital as a hero.,…and return to the capital a hero.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
황가는 여론과 체면의 문제로 시그렌을 황자로 인정한다.,the imperial family will recognize siegren as a prince due to public opinion and for the sake of their reputation.,the imperial family will recognize siegren as a prince due to public opinion and their reputation.,the imperial family will then decide to recognize siegren as a prince due to public sentiment and for their own reputation.,"손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
그리고,and then...,and...,"then,","손을 대다 : Get involved in (something bad)
궁지에 몰리다 : Be cornered / Be in a tight spot
손가락질받다 : Be criticized / Be looked down on
폐를 끼치다 : Be a burden / Cause trouble
눈덩이처럼 번지다 : Snowball / Spread rapidly
마지막 블록을 빼다 : Pull the final block (to collapse everything)"
