hangle,first_translate,idiom_translate,label,idiom
황태자 전하의 청혼서를 받으셨다면서요?,I heard you received a marriage proposal from the crown prince.,I heard you received a marriage proposal from the crown prince.,I heard you received a proposal from the crown prince.,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
너무 축하드려요~,congratulations!,congratulations!,congratulations!,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
전하께서 많이 이야기하고 다니셔요.,his highness has been telling everyone.,his highness has been talking about it a lot.,his highness has been telling everyone about it.,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
리비아 영애를 얼마나 깊게 맘에 두셨으면~,"he must really love you, lady livia.","he must really be in love with you, my lady.","he must really adore you, lady livia.","나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
"아, 네에.","ah, yes.","oh, yes.","ah, yes.","나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
감사합니다.,thank you.,thank you.,thank you.,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
아직 답을 주지 않았는데도 제멋대로 떠들고 다녀?,he’s been telling everyone even though I haven’t given him an answer yet?,he’s been talking about it even though I haven’t given him an answer yet?,how dare he go around talking about it before I've given him an answer?,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
사사건건 진짜…,he’s so annoying...,he’s so annoying...,he’s working my last nerve...,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
"리비아 영애, 괜찮아요?","are you all right, lady livia?","are you all right, lady livia?","lady livia, are you all right?","나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
괜찮지는… 않죠.,"no, I’m not...",not really...,I'm... not all right.,"나락에 빠뜨리다 : Bring someone to ruin
나락으로 떨어트리다 : Drag someone down to ruin
평판도 바닥에 떨어뜨리다 : Ruin someone's reputation
미끼를 물어라 : Take the bait
사교계의 꽃 : The star of the social scene"
