hangle,first_translate,second_translate,label
"『금일 오후,","“my lady,","""This afternoon,","""I would like to..."
온실에서 있을 티 파티에 영애를 초대하고 싶습니다.』,I would like to invite you to a tea party in the greenhouse this afternoon.”,I would like to invite you to the tea party in the greenhouse.,"...cordially invite you to a tea party in the conservatory this afternoon."""
"『시간이 나신다면 꼭 참석해 주세요,","“please attend if you have time,",Please make sure to attend if you have time.,"""please join us if you can,"""
헤더 아덴 자작 영애.』,lady eunice heather arden.”,Lady Heather Arden.,"""lady heather ardel."""
"이 사람,",isn’t this...,This person.,hm
어제 시그렌이랑 일이 있었던 그 영애 아냐?,...the lady who caused trouble with siegren yesterday?,Isn't she the lady who was involved with Siegren yesterday?,...the woman that tried to seduce siegren last night?
그런 사람이 여는 티파티에 내가 가도 되는 건가?,should I really go to a tea party hosted by someone like her?,Should I really attend a tea party hosted by someone like her?,would it be a good idea to go to her tea party?
내가 괜히 신경 쓸 만한 이유는 없지.,"well, there’s no reason for me to be concerned.",There's no reason for me to be concerned.,I guess there's no reason for me to worry about that.
잘못한 건 그쪽이고.,she’s the one who did something wrong.,She's the one at fault.,"besides, she's the one that acted out of line."
어쩌면 티파티에서 유니스를 만날 수 있을지도 모르니까.,and I might be able to see eunice at the tea party.,Maybe I'll be able to see Eunice at the tea party.,I might even get to meet eunice at the tea party.
기쁜 마음으로 응하겠다고 전해줘.,tell her I’ll be happy to attend.,Tell her I’ll be happy to attend.,please tell her I'll gladly attend.
유니스 영애.,lady eunice.,Lady Eunice.,lady eunice!
피오나 영애…!,lady fiona!,Lady Fiona...!,lady fiona!
유니스 영애도 초대받은 건가요?,were you invited to the tea party too?,"Were you invited as well, Lady Eunice?","did you get an invitation too, lady eunice?"
네.,yes.,Yes.,yes.
피오나 영애와는 같은 일행임에도 계속 얼굴을 볼 수가 없었네요.,"we’ve been traveling together, but I haven’t been able to see you.","Even though we were in the same group, I haven't had the chance to see you.",I haven't been able to see you even though we're traveling in the same group.
전 말을 타고 있었거든요.,I’ve been riding a horse.,I was riding a horse.,that's because I was on horseback.
