hangle,first_translate,second_translate,label
남자친구의 생각 하나에 이렇게 흔들리기엔…,you're too good to be shaken up by...,It's too much to be shaken just by your boyfriend's thoughts...,it would be a shame to see a girl of your caliber get shaken...
네가 너무 아깝다.,...what your boyfriend thinks.,You're too good for this.,...by what your boyfriend thinks.
권터…,gunter...,gunter...,"gunter,"
"응, 고마워.","yeah, thanks.","Yeah, thanks.",thank you.
…이건 개인적인 궁금증인데.,"this is just a personal question,",…This is just a personal question.,"I'm just curious,"
시그렌이랑은 그냥 사귀는 건가?,but are you and siegren just dating?,Are you and Siegren just dating?,but are you and siegren just dating?
약혼이나 결혼 생각은 아직 없는 거고?,you haven't thought about getting engaged or married?,You haven't thought about getting engaged or married yet?,are you thinking of getting engaged or married yet?
맞아. 아직은…,"yeah, not yet...",Yeah. Not yet...,"no, not yet."
그런데 갑자기 그건 왜?,why do you ask?,Why do you ask that all of a sudden?,but why do you ask?
…그냥 시그렌과 사이가 애매해 보여서.,it just seemed like you two were in an awkward place.,...It just seemed like your relationship with Siegren was ambiguous.,it just seems like your relationship with siegren is a bit vague.
틀어지면 곤란한 사이라 적당히 사귀고 있는 건가?,I thought maybe you were just dating him because it would be bad if you two broke up.,Are you just dating him because it would be troublesome if things went wrong between you two?,I was thinking maybe you two weren’t seeing each other seriously because...
하는 생각을 했다.,that's what I thought.,That's what I thought.,...it would be a problem if things didn’t work out.
그렇지는 않아.,it's not like that.,It's not like that.,that’s not true...
"그러면,",then...,"In that case,",then...
부담스러운 건가?,...is it burdensome?,Is it overwhelming?,...do you feel like being with him is a bit too much?
음…,um...,Um...,um...
시그렌이 부담스럽기보단,it's not that siegren is burdensome.,Rather than finding Siegren burdensome...,I wouldn’t say being with siegren is overwhelming.
차라리 화를 내!,Just get angry instead!,Just get angry instead!,just get mad at me instead!
오히려 시그렌에 대한 내 마음이 좀 그래.,it's more like my feelings for him are.,"Rather, it's my own feelings for Siegren that are like that.",it’s just that my feelings for siegren are changing.
날이 갈수록 더더욱,"as time goes by,",More and more as time goes by.,"with each passing day,"
시그렌을 갖고 싶다고 생각하는 내 마음이.,I want siegren more and more.,My heart keeps thinking that I want to have Siegren.,I find myself wanting him more and more.
그러니,"so,","So,",so...
