hangle,first_translate
"어둠에 빨려 들어가기 직전,","right before  being sucked into darkness,"
"잠깐이지만,",I managed to stop its advance...
어둠이 다가오는걸 막을 수 있었어.,even if only for just one moment.
"나는 혹시,",could this mean that...
어둠을 조종할 수 있는 걸까?,...I can control darkness?
그러면 또 한가지 의문이 생긴다.,but then another question arises.
원작의 피오나는 어둠을 통제할 수 없었다.,fiona from the novel couldn’t control darkness at all.
그런데 왜 나는 성공했을까?,then why did I succeed when she didn’t?
"같은 육체, 같은 재능인데.","after all, we share the same body and talents."
이것도 고민해봤자 답이 안 나오네~,it’s no use thinking about it too much since there are no answers anyway.
"머리 아프다, 머리 아파.",my head hurts so badly.
아~ 배부르다~,mm! I’m stuffed!
"렐턴 후작님, 어지간히도 고마웠나 봐.",lord relton must have been very grateful toward you.
이렇게 맛있는 요리를 많이 내주다니.,this is quite a spread they’ve prepared for us today.
…그러게.,indeed.
으음~,hmm...
어디 안 좋은가?,is something wrong?
아까도 많이 안 먹던데.,you haven’t eaten much either.
…이번에 파견단에 와 보기를 잘했어.,I’m glad I came on this mission.
…왜?,really? why?
소득이 있었잖아.,"well, because it turned out to be pretty productive."
아카데미 사람들도 생각보다 괜찮았고.,the people here were nicer than expected as well.
"그 사람들, 목숨 빚을 졌다고 생각하고 있으니까…","since those students think they owe their lives to me now,"
나중에 분명 호의적인 태도를 보일 거야.,they’ll definitely treat me favorably later on.
"게다가,","and besides,"
나 생각보다 대단한 사람이었다고.,I found out that I’m more capable than I thought.
"어둠,",darkness...
힘들었지만 내가 분명 통제했었거든.,"controlling it wasn’t easy, but I still succeeded."
분명 어둠 토벌에 엄청난 도움이 될 거야.,that will surely help greatly during future battles against darkness.
…또 어둠에 관여할 생각이야?,do you plan on dealing with darkness again?
물론!,of course!
피오나.,fiona.
피오나!,fiona!
얼음같이 차가운 그 몸에,"when his ice-cold hand touched mine,"
세상이 무너지는 듯 했다.,it felt like my world was collapsing.
도움 줄 필요 없어.,no need to comfort me.
"기뻐하지는 않더라도,","I know you’re not happy about what happened,"
축하 정도는 해줄 줄 알았는데.,but I’d hoped you would congratulate me instead of scolding me.
…왜?,why?
"저번 같은 행동,",promise me...
두 번 다시 하지 마.,...that you won’t ever act like that again.
말도 안 되고 무모한 짓이야.,your actions were reckless and unreasonable.
그래도 내가 한 행동은 옳았어.,"still, I believe what I did was right."
알고 있어.,I know.
반성의 여지는 충분해.,there’s plenty of room for improvement.
나는 그 자리의 책임자였잖아.,"as the person responsible for everyone present,"
그게 최선이었다고.,I believed that was the best thing to do back then.
"맞아, 실은 네가 옳아.","yes, actually, you’re absolutely right."
너는 큰 전력이야.,you possess great power.
가끔은 생존을 우선시해야 할 때가 있어.,"at times, survival needs to take precedence over everything else."
그리고 어둠에 대한 정보는 너한테도 도움이 되잖아.,"on top of that, information regarding darkness could also benefit you."
난 그런 마음으로 싸웠어.,that’s how I fought.
하지만,but--
"그러니까,",so please don’t try to save others next time.
그런 도움은 필요 없다니까…!,I told you already that I don’t want any help like that!
억지를 써서라도 너를 잃고 싶지 않아…,I refuse to lose you even if it kills me...
…시그렌.,siegren...
"귀찮으면 빈정거리지 말고,","if you really find this annoying,"
차라리 화를 내!,then get angry instead of acting coldly!
이… 바보!,you... idiot!
"잠깐, 피오나!","wait, fiona!"
저리 가!,go away!
따라오지 마!,stop following me!
그런 게 아니라…,it’s not that...
어… 음…,uh... um...
…단 과자라도 가져다줄까.,or maybe some cookies or something.
아가씨를 달래본 적이 별로 없다.,I never had to console anyone before.
날 몇 살이라고 생각하는 거야?,how old do you think I am?
그보다 그냥 가던 길 가라니까.,forget about the snacks and go ahead without me.
왜 따라온 거야.,what are you doing here?
네가 울면서 창고로 도망치는데 어떻게 그냥 가나.,how could I leave after seeing you run off crying?
그런 소리를 다 할 줄 아네.,look who talks.
…나,I...
시그렌이랑 싸웠어.,...got into a fight with siegren.
어둠과 관련된 일 때문이군.,"it has something to do with darkness, doesn’t it?"
맞아. 내 행동은 충분히 옳았다고 생각하는데.,yeah. I truly believe I acted appropriately though.
시그렌이 괜히 말을 밉게 하는 거야.,siegren’s just saying things he shouldn’t say.
날 걱정하는 거란 건 알겠지만…,"I understand that he’s worried about me,"
눈물을 닦아줘야…,I should wipe away her tears...
"아니,","no,"
안 될 일이지…,I guess that wouldn’t work...
피오나 헤일론.,fiona halyeon.
너는 좋은 아가씨다.,you’re such a good girl.
좀 무모하긴 했지만 책임감도 있고.,"although you may have acted rashly, you showed responsibility."
내 생각에도 네 판단이 객관적으로 옳았다.,I agree that your decision was objectively correct.
그러니 시그렌이 뭐라고 했든 별로 신경 쓰지 않았으면 좋겠어.,"thus, whatever siegren said, I hope you won’t let it bother you."
남자친구의 생각 하나에 이렇게 흔들리기엔…,you deserve better than someone whose opinion makes you waver like this.
네가 너무 아깝다.,you deserve better than him.
