hangle,first_translate
…피오나.,fiona...
…응.,mm-hmm...
너무,she’s so adorable...
사랑스러워…,she’s so adorable...
"거기에 있는거 다 알고 있다, 시그렌.","I know you’re there, siegren."
당장 튀어나와라.,come out right now.
다섯 세마.,in five seconds.
아벨!,abel!
"하나,","one,"
둘…,two--
이럴 때만 보호자 노릇을 똑똑히 한다니까!,this is why I don’t like having him around when we have our dates...!
그렇게 됐으니,"well then,"
이건 다음 기회에.,it’ll just have to wait until next time.
…알겠어.,okay...
그래.,right.
"까짓것 해보지,",let me try this thing called romance too.
연애.,let me try this thing called romance too.
다섯 다 셌다.,that was exactly five seconds.
문짝 뜯어져요!!,the door will break if you keep pulling on it!!!
여기가 소문의 황자궁인가.,is this really where his highness lives?
"에레즈 후작가 장남, 케인 에레즈.","lord cain ereze, eldest son of marquis ereze."
아버지께서 분명…,but father said that...
케인. 곧 부상이 완치되어 복귀한다지.,"your wounds are almost healed, aren’t they? you can return soon."
복귀 후엔 황자궁에서 제 2황자를 감시해라.,"when you do, go back to the second prince’s palace and watch over him closely."
예…?,pardon...?
저는 1황녀 전하의 궁전에서 근무합니다만.,"but my lordship, I serve at her highness’ palace."
네가 쉬는 동안 근무처를 바꿔놓았다.,"while you were away recovering from your injuries, I changed your post for you."
그런…!,really...?!
"잘 감시해서, 이상한 건 바로 보고하거라.",make sure to report anything unusual immediately.
이건 가문을 위해 아주 중요한 일이다.,doing this well is very important for our family.
괜한 짓을 하고 싶진 않은데…,I’d rather not get involved in such things though...
이 지긋지긋한 정쟁은 아버지 대에서 끝내야 돼.,all these political schemes must end during my generation.
성가신 일에 휩쓸렸어…,now look what I’ve gotten myself into...
아이고…,oof...
아이고오…,aahh...
엥?,huh?
이게 대체 무슨 일이지…?,what happened here...?
아이고오 . . .,uuugh...
흐어 어 . . .,gaah...
"여 , 케인 . . .","th-there you are, lord cain..."
여기로 복귀한다고 하더니 진짜구나 . . .,so you did come back after all...
다들 왜 이러고 있는 거야?,why is everyone lying down?
훈련이 너무 힘들어서…,training has been too hard lately...
기사가 훈련이 힘들다고 하면 어떻게 해?,and how would you feel about hearing that coming from one of your knights?
네가 아직 이곳을 못 겪어 봐서 그래!!,you wouldn’t understand because you haven’t experienced life here yet!!
"에이, 달라봤자지.",no kidding.
다들 왜 누워 있는 건가?,why is everyone lying down?
흠?,hm?
너는 누구지?,who are you?
아.,oh.
실례했습니다.,my apologies.
"케인 에레즈, 시그렌 황자 전하를 처음으로 뵙습니다.","I am cain ereze. it’s nice to meet you, your highness."
폐하의 지고한 명에 따라,"as per his majesty’s orders,"
오늘부터 황자 전하의 궁을 지키는 임무를 수행하게 됐습니다.,"starting today, I shall carry out my duties by serving under your highness."
"부족한 몸이나, 모쪼록 최선을 다하겠습니다.","even though I may lack many qualities, I promise to give my best efforts."
뭐지?,what?
이 오버 떠는 놈은…?,look at this guy trembling before me...
진짜로 정식 예법대로 인사하는 놈은 처음 보네.,I’ve never seen anyone greet someone according to formal etiquette before.
왜… 아무 말이 없지?,why isn’t he saying anything...?
황태자 궁,at the crown prince's palace
제길!,damn it!
"그놈의 시그렌,",that bastard siegren...
시그렌!,siegren!
여태까지…,"until recently,"
내 인생은 완벽했어!,my life had been perfect!
"난 황제 폐하의 유일한 아들이었고,","not only was I the sole heir to the throne,"
내 심기를 거스르려는 사람은 하나도 없었단 말이다.,nobody dared cross paths with me either.
그런데…,but then...
"오늘,","from this day forward, I declare sieglinus as the official second prince of the empire!"
이 자리에서 시그렌을 정식 황자로 책봉하겠다!,"from this day forward, I declare sieglinus as the official second prince of the empire!"
사생아 새끼가 그딴 식으로 등장하는 바람에!,then that illegitimate child came along and ruined everything!
최소한 쥐 죽은 듯 있었다면 참아줄 생각이었지만…,"if he kept himself hidden quietly, I might have let him live..."
"보란 듯이 사교계에 참석하고,","but no, he had to show off by attending social events..."
커헉!,tsk!
감히 내 멱살을 잡기까지 했지.,...and even grabbed me by the collar!
고작 여자 한명에 대해 이야기 했다는 이유로!,all because I talked about some woman!
내가 황제가 되면 맨 먼저 그 자식을 단두대에 올릴 거다.,the first thing I’m going to do once I become emperor is put him up against the guillotine.
하지만…,but...
그 날은 아직 멀었지.,that won’t happen anytime soon.
그놈을 어떻게 괴롭게 할 방법이 없을까.,there must be something else I could do to torment him.
있다.,"yes, there is."
그 자식이 유일하게 감정적인 동요를 나타낸 여자.,there’s only one person who makes him lose control emotionally.
피오나 헤일론!,fiona halyeon!
아주 만약에라도 그녀에게 손을 댄다면…,"if I ever lay hands on her,"
보아하니 마음에 꽤 두고 있는 것 같은데.,"judging by their interactions, she seems quite dear to him."
좀 건드려볼까.,should I mess with them a bit?
헤일론 공작이 싸고도는 여자애를 대놓고 어떻게 하기는 힘들지만…,"of course, since duke halyeon guards her tightly, getting close to her won’t be easy..."
"내가 직접 하기 힘들다면,","but if I can’t do it personally,"
이봐!,hey!
남을 부려 먹으면 되는 거잖아?,can’t I just use others instead?
당장 보좌관을 이리로 불러!,call my assistant in here right now!
