hangle,first_translate
생각보다 좀 걸리네.,this is taking longer than I thought.
붕대 가는 건 별로 안 걸릴 것 같았는데.,I didn’t think  changing his bandages would take so long.
‘세상 물정 모르는 아가씨’라고 말하는 눈,siegren’s eyes say he thinks I’m “a naive little lady.”
아까 말하려다 못한 이야기를 하려고 했건만.,but I was going to tell him something important just now.
나도 나름 열심히 일을 하고 있다구.,"I’ve been working hard too, you know."
시그렌은 대체 왜 날 싫어하는 걸까?,why does siegren dislike me so much anyway?
사실 유년 시절의 시그렌의 성격에 대해서는 생각해 본 적이 없다.,"to be honest,  I never really gave any thought about what kind of childhood siegren had."
그래서 통 감이 안 잡힌단 말이야.,that's why this doesn't make sense to me at all.
애초에 소설은 여주인 유니스의 시점으로 진행 되었고…,"the novel was written from eunice’s point of view,"
그 이야기 속에서 시그렌에게 부여된 역할은 간단했다.,and siegren played a simple role within that story.
"잘생기고, 헌신적이고, 다정하고.","handsome, devoted, affectionate--"
오직 유니스에게만 사랑을 주는 완벽한 연인.,a perfect lover whose heart belonged only to her.
누구나 한 번쯤은 비현실적인 사랑을 받는걸 꿈꾸지 않는가?,doesn’t everyone dream of receiving unrealistic love like that once or twice in their lives?
"항상 날 신뢰하고, 내 편으로 있어 줄 사람을.",it’d feel nice if someone always trusted us and took our side no matter what.
"그런 시그렌의 성격만 상상했으니까,","all I ever imagined were those aspects of siegren’s personality,"
지금 어떻게 다뤄야 할지 모르겠어.,so I don’t know how to deal with him right now.
의도가 살짝 불순해서 그런가.,is it because my intentions aren’t entirely pure?
"난 미안함과 애정, 계산적인 마음이 섞여서 가까워지고 싶은 건데.","my feelings are mixed with guilt, affection, and calculation as I try to get closer to him."
그는 그걸 이유 없는 호의로 여겨 경계하는 모양이다.,"but apparently,  he views them as acts of kindness without reason and guards himself against me."
섣불리 다가갔다가 날 더 싫어하게 되면 미래가 불안해지는데.,"if I approach him carelessly and end up making him hate me even more, things will become difficult for me later on."
아가씨.,lady olivia.
끝났나요?,are we done here?
그렇긴 합니다만….,well... yes.
문제가 생겼나요?,has there been some sort of problem?
"아뇨, 부상의 회복은 무척 순조롭습니다.","no, not exactly. lord siegren has recovered quite well."
다만…….,however...
무슨 일이 생긴 건가요?,what happened?
"그 아이, 용병단 출신이라고 들었습니다.",I heard that young man used to work as a mercenary.
하지만 다 나아도 돌아가게 해도 될지 의문이 드는군요.,"even when he recovers completely, I wonder whether it’ll be safe enough to let him go back home."
"본인은 입을 열지 않지만,","he hasn’t said anything yet,"
온몸에 빼곡히 오래된 흉터가….,but old scars cover every inch of his body...
시그렌!,siegren!
말도 안 돼.,impossible.
설마 이 정도일 줄은 몰랐다고!,I-I can’t believe they’re this bad!
내가 무슨 짓을 한 거지?,how could I have done such a thing?!
무슨 일이야?,wh-what’s wrong?
시그렌.,siegren.
"뭐, 뭐야?!",wh-what?! hey! stop!!!
미안해. 잠깐 옷 좀 올릴게.,I'm sorry. please lift your shirt up for a second.
뭐?!,what?!
갑자기 무슨 소리야?!,what do you mean by that?!
실례하겠습니다!!,excuse me!!!
실례인 걸 알면 하지 말라고!,then excuse yourself out of here instead!
잠깐이면 되니까….,just one moment...
오돌토돌한 촉감이 느껴져….,I can feel bumpy skin...
군데군데 움푹 파여있고.,with dents everywhere...
정말로 흉터가…!,there really are scars...!
이렇게 엉망진창이라니!,they’re terrible!
어떻게 이런 일이….,how did this happen...?
하지 말라고!,stop it!
아….,oh...
이러려고 했던 게 아닌데!,this isn’t what I wanted to do!
"무슨…. 너, 몸 안에 깃털이라도 차 있는 거야?!",you must weigh nothing!!! are you made of feathers?!
왜 이리 쉽게 밀쳐져―,why am I being pushed away so easily--?
"야, 떨어지면서 다쳤어?!","wait, did you hurt yourself while falling down?!"
"아니, 울지만 말고 말 좀 해봐….","c-come on, stop crying and talk to me..."
