hangle,first_translate
싫으면 안 할게.,I won’t do  anything if you don’t want me to.
미안.,sorry...
그런 거 아니야.,it’s not that I didn’t like it.
어라…,huh...?
얘가 나한테 이렇게 약했나?,was he always this weak around me?
마음이 약해지는 내가 싫다…,I hate how my heart is weakening toward him...
이러다가 시그렌을 보내줘야 할 때 못 보내주면 어떡해?,"if things continue  like this, what will happen when I have to let go of siegren?"
시그렌을 향한 마음이 커지는 게 무서워.,the thought of falling deeper for him scares me.
시그렌.,siegren.
어쩌면 너하고 끝까지 가는 건 어려울지도 몰라.,maybe we can’t take our relationship all the way through till the end.
이따 봐.,let's talk later.
"아, 정말.",gosh...
내가 생각해도 너무 제멋대로야.,even I think I’m being too selfish sometimes.
시그렌도 나한테 질렸을까?,does siegren feel tired of me as well?
차라리 지금 질리면 나도 마음이 편할 텐데.,that would make everything easier on both of us.
시그렌?,lady fiona?
"이거,",isn’t she--
피오나 영애 아니신가.,this must be lady fiona.
황태자잖아.,crown prince.
황태자 전하를 뵙습니다.,your highness.
오랜만에 보는군.,long time no see.
아… 죄송합니다.,uh... sorry about that.
제가 전하와 만난 적이 있었던가요?,do your highness and I know each other from somewhere?
만난 적 있으면서!,"of course! anyway, now that abel isn’t here, I finally get to speak with you alone."
"그건 일단 넘어가고, 아벨이 없는 지금이 대화할 기회다.","oh, really? that’s unfortunate."
그렇다니 유감이야.,"oh, really? that’s unfortunate."
내가 영애에게 선물까지 보냈는데.,but I sent her such a nice gift.
선물?,a gift?
난 황실에서 무언가를 받은 적이 없는데?,I’ve never received any gifts from the palace before.
"아, 잠깐.",wait a minute...
‘의뢰주는 헤일론보다 위.’,“the client was someone higher than haylon.”
저 미친놈이 의뢰주였구나!,then that bastard was behind it after all!
제가… 전하께 실례를 저지른 일이라도 있던가요?,did I ever offend his highness somehow?
있지.,you did.
하지만 그보다는 시그렌 그놈이 문제였어.,"but more importantly, there was something wrong with that man named siegren."
"놈이라니, 호칭 똑바로 해라.",stop calling him “that man” already.
"아무튼, 내 나름 깜짝 선물이었는데.","in any case,  I had hoped to surprise you with a little present."
원하는 결과가 나오지 않아서 아쉽군.,"unfortunately,  I wasn’t able to achieve the results I wanted."
그래도 내가 영애는 아벨 공작과 달리…,"still, unlike duke abel,"
괜찮게 보고 있어.,I still hold you in good regard.
그러니 얌전히만 있으면…,"as long as you stay out of trouble,"
"아, 실례했습니다.",excuse me.
벌레가 앉아있어서.,there were some bugs sitting here.
"감히, 무례하게!",how dare you treat me so disrespectfully!
아벨 공작이 좀 아낀다고 기고만장해선!!,just because duke abel favors you doesn’t mean you’re better than everyone else!!!
주변에 아무도 없어서 다행이다.,at least nobody saw us just then.
"아니면,",or are you counting on siegren protecting you?
시그렌 녀석이 여차하면 널 지켜줄 거라 믿는 건가?,or are you counting on siegren protecting you?
제 몸은 제가 지킵니다.,I protect myself.
"흥, 그래봤자 사생아 새끼들끼리 붙어먹은 주제에…","hmph, but at the end of the day, you two bastards are nothing but illegitimate children."
"아니면, 설마 아벨 공작도 그 몸으로 꼬셔낸 건가?",or perhaps you seduced duke abel into taking care of you?
진짜 혈육도 아닌데 아끼는 모습이 수상하다 싶더니.,no wonder he treats you so nicely even though you aren’t related by blood.
끄아악!!,argh!!!
아파아앗!!,th-that hurts!!!
"뭐… 제가 이해하겠습니다, 전하.","alright... I understand where you’re coming from, your highness."
세상에는 입으로 말이 아닌 쓰레기를 내뱉는 자들이 있는 법이니까요.,"after all, there are people in this world whose mouths spew trash instead of words."
이게 보자 보자 하니까!!,"why, you insolent wench!!!"
어? 어어?,h-huh?! hey!
보시는 대로 피했답니다.,"I dodged them, as you can clearly see."
제 반사 신경이 그렇게 나쁜 편이 아니라서요.,my reflexes aren’t bad enough to miss those attacks.
황족을 이렇게 건드리고 멀쩡할 것 같아?!,and you think you’ll walk away unscathed after hitting royalty?!
널 반드시 처벌 받게…,I swear I’ll punish y--!
"어머, 얼마든지 떠드세요.",feel free to say whatever you’d like.
"사람들에게 가서, 본인 입으로 직접 말하세요.",go ahead and tell others yourself.
"전하보다 신분도 낮고 약해 보이는 영애에게 말싸움도 지고,",tell them how you lost a verbal fight against a lowly noblewoman...
일방적으로 맞았다고.,...and got beaten up one-sidedly.
큭…,hrgh...
이봐.,hey.
지금 뭐 하는 거지?,what are you doing right now?
"당장 이거 놓지 못, 못해?!",can’t you stop holding onto that?!
으아~ 큰일이다.,"oops, big problem."
이대로 두면 황태자 팔뼈라도 부러트리겠어.,"if I leave him like this, he might break the crown prince’s arm."
이런 문제는 나중에 조용히 되갚아 줘야 한다고!,"when dealing with these kinds of problems, you gotta pay back quietly afterward!"
"자자, 이만 가자.","okay, let’s go home."
그리고 전하.,"and your highness,"
다음에는 쓰레기가 아닌 말을 내뱉으시길 바랍니다.,try saying something worthwhile next time.
으윽…,ngh...
너 이… @&$&^&*!!,you b*tch!!! @#$%^&*
너무 도발했나.,I guess I provoked him too much.
앞으로 더 성가셔지겠네…,now he’s going to become even more annoying...
그 자식은 왜 자꾸 네 곁에 집적거리는 거야?,why does he keep bothering you?
나도 그게 궁금하다.,I wish I knew why.
어쨌든 잘 참았어.,"anyway, you handled that pretty well."
저번에 이어 두 번째로 그놈의 손목을 부러뜨릴 뻔했어.,"for a moment there,  I almost broke his wrist again."
너라면 진짜 할 것 같아서 겁나.,"knowing you,  I wouldn’t put it past you either."
…피오나.,fiona...
응? 왜?,hm? what is it?
혹시 화났어?,are you mad or something?
아까 테라스에서 먼저 뛰쳐나갔잖아.,"earlier, you ran off suddenly while we were on the balcony."
시그렌이 보기에는 그랬겠구나.,I suppose that’s how it looked to siegren.
그게…,well...
화난 게 아니었으면 좋겠어.,I hope you weren’t angry.
난…,"to be honest,"
"…너에게 미움받는 게,",the idea of losing your affection...
뭐라고 할까.,...is terrifying.
그러니까…,so...
…너무 무서워.,...I’m scared.
시그렌…,siegren...?
