hangle,first_translate,review,idiom
북부 최전방 헤일론,the northernmost region  haelion territory,"the northernmost front, Haeylon",내 무덤을 내가 팠지 : I brought this upon myself
여기가 헤일론 공작 성….,this is house haelion’s castle...!,This is the Duke of Heilion's castle...,내 무덤을 내가 팠지 : I brought this upon myself
엄청난 위압감이야…,it feels so intimidating...,It's so overwhelming...,내 무덤을 내가 팠지 : I brought this upon myself
나는 결국 가족에게 떠밀려 무자비한 공작이 다스린다는 북부 최전방에 왔다.,"I’ve been pushed away by my family and sent off to live under the rule of duke haelion, known for his ruthlessness.","In the end, I was pushed away by my family and sent to the northern front, ruled by a ruthless duke.",내 무덤을 내가 팠지 : I brought this upon myself
딱 봐도 마왕성 같은 게 사람 엄청 굴릴 것 같다.,that place looks like satan's lair! they must treat people terribly there.,That place looks just like a demon king's castle. They must work people to the bone there.,내 무덤을 내가 팠지 : I brought this upon myself
내 무덤을 내가 팠지...,"well, you reap what you sow...",I brought this upon myself...,내 무덤을 내가 팠지 : I brought this upon myself
이쪽으로.,this way.,This way.,내 무덤을 내가 팠지 : I brought this upon myself
문을 열어라.,open the gates.,Open the gate.,내 무덤을 내가 팠지 : I brought this upon myself
"문이, 엄청 커…!!",th-the gate is huge...!!!,The gate is huge...!!,내 무덤을 내가 팠지 : I brought this upon myself
"북부의 공작, 아벨 헤일론","duke of the north, abel haelion","duke of the north, abel heylon",내 무덤을 내가 팠지 : I brought this upon myself
너 나름대로는 각오했겠지. 하지만…,"I’m sure you’re prepared,",You must have braced yourself. But…,내 무덤을 내가 팠지 : I brought this upon myself
너 같은 어린애는 여기에 필요 없다.,but we don’t need someone as young as you here.,We don’t need a kid like you here.,내 무덤을 내가 팠지 : I brought this upon myself
집으로 돌아가도록.,go back home.,Return home.,내 무덤을 내가 팠지 : I brought this upon myself
쓸모없는 자에게 투자할 시간은 없다 이건가.,does that mean he doesn’t have time to invest in useless people?,"So he doesn't have time to invest in someone useless, is that it?",내 무덤을 내가 팠지 : I brought this upon myself
"아벨은 모르겠지만, 지금의 나는 마땅히 돌아갈 곳도 없어.","little does abel know, but right now, I don’t really have anywhere else to go.","I don't know about Abel, but right now, I have nowhere to return to.",내 무덤을 내가 팠지 : I brought this upon myself
"원작 속의, 자신의 마법적 재능을 모르던 피오나는-","in the original story, since fiona didn’t realize she had magical powers yet,","In the original story, Fiona, who was unaware of her magical talent,",내 무덤을 내가 팠지 : I brought this upon myself
이렇게 그린 가문에서도 헤일론에서도 쫓겨난다.,she was kicked out from both her own family and house haelion.,She was kicked out from both the Green family and the Heylon family.,내 무덤을 내가 팠지 : I brought this upon myself
그리고 이때 세상에 버림받은 상처가,"and at that moment, when she felt abandoned by everyone around her,","And at that moment, the wound of being abandoned by the world",내 무덤을 내가 팠지 : I brought this upon myself
후에 피오나가 악역이 되는 결정적인 계기가 된다.,fiona decided to become a villainess.,This later becomes the decisive factor in Fiona becoming a villainess.,내 무덤을 내가 팠지 : I brought this upon myself
하지만 지금의 나는 알고 있어.,"but unlike then, I already know about my abilities.","But now, I know.",내 무덤을 내가 팠지 : I brought this upon myself
