hangle,first_translate
리비아 영애보다 나와 노는 게 더 재밌을 거야.,I’m sure  I’ll have more fun playing with me than lady livia will.
내가 그러도록 노력할 테니까.,that’s what I plan on doing.
…응?,huh...?
피오나.,fiona...
시그렌.,siegren.
인정할 수밖에 없겠다.,it looks like this worked better than expected.
이건 좀 먹혔다.,this is working out pretty well.
내가 너한테 무르다는 걸 알고 얼굴을 너무 남발하는 거 아냐?!,didn’t you realize that you’re being too forward because you know how soft-hearted I am toward you?!
키스마크 하나에도 얼굴을 붉히던 순진한 녀석은 어디로 간 거야!,where did my innocent boy go?! he used to blush at just one kiss mark!
내 시그렌을 돌려줘!,give back my siegren!
안 돼.,nope.
난 리비아 영애와 친하게 지낼 거야.,I want to get close to lady livia.
…아쉽네.,too bad for you.
잠깐 손 좀 줘봐.,let me see your hand for a second.
왜.,why?
"효,","wow,"
효과가 굉장해…,the effect was amazing...
그래. 굉장하겠지.,of course it would’ve been.
갑자기 왜 이러는 거야.,what are you suddenly so upset about?
네가 네 얼굴로 날 홀리려 했던 게 어쩐지 얄미워서.,because I don’t appreciate you trying to seduce me using those good looks of yours.
―아무튼.,"anyway,"
리비아 영애 일은 걱정하지 마.,don’t worry about lady livia.
난 이 세상에서 너를 가장 소중하게 생각하니까.,"out of everyone in this world, I care most about you."
…딱히 리비아 영애를 신경 쓰는 건 아니야.,it’s not really her that bothers me.
내가 마음에 걸리는 건,my concern is...
영애가 무도회장에서 늘 수많은 영식들에게 둘러싸여 있다는 점이지.,...that she always seems to be surrounded by many young men whenever we attend balls together.
그게 뭐가 문제―,and why does that bother y--
아야.,ouch.
같이 있으면 너도 관심받을 거 아냐.,"if you hang around them, they might start paying attention to you as well."
질투야?,is that jealousy talking?
그래.,yep.
너도 입장을 바꿔서 상상해 봐.,try putting yourself in my shoes.
입장을 바꿔서…,putting myself in your shoes...
"시그렌, 양다리 걸치는 건","two-timing isn’t allowed,"
절대 안 돼.,siegren.
맞아.,right.
"피오나, 이제 너도 내 심정을 알겠―",now do you understand where I’m coming from--?
마음이 떠나면 확실히 끝내야지!,"when your feelings change, you need to end things properly!"
다른 사람을 만나고 싶으면 이전의 관계는 정리하는 게 예의야.,"before moving onto another person, it’s only polite to wrap up any previous relationships first."
알겠지?,do you understand now?
그렇군…,I suppose so...
"전하, 또 호위를 안 데리고 가셨습니까?","your highness! you went without bringing guards again, didn’t you?"
당연하지.,of course.
피오나랑 있는데 기사가 있으면 방해되잖아.,"with fiona there, having knights nearby would only cause trouble."
너무하십니다.,you can’t keep acting like this.
대답이라도 해 주시죠.,at least give us some sort of answer.
자꾸 그러시면…,"if you continue to act this way,"
…저런 까칠한 성격이라면 여자한테도 금방 차일 거야!,a girl won’t put up with such a prickly personality either!
히익.,eek.
…아직 안 차였거든.,I haven’t gotten dumped yet.
젠장.,shit.
연인이 되면 어느 정도 만족할 수 있을 줄 알았는데.,"I thought becoming lovers would satisfy me somewhat,"
전혀 아니야.,but nope.
피오나를 보고 있으면 자꾸만 저열한 생각이 든다.,all these base thoughts come into my head when I look at fiona.
"계속 웃는 걸 보고 싶으면서도,","while I want to watch her smile all day long,"
내게 매달려 우는 것도 보고 싶어.,I also want to see her cling to me while crying.
마음이 떠나면 확실히 끝내야지!,"when your feelings change, you need to end things properly!"
다른 사람을 만나고 싶으면 이전의 관계는 정리하는 게 예의야.,"before moving onto another person, it’s only polite to wrap up any previous relationships first."
설마 차이는 건 아니겠지.,I hope she doesn’t dump me.
리비아.,livia.
청혼서가 들어왔구나.,an engagement letter arrived.
"어머, 표정이 좋지 않으시네요?","oh dear, you seem quite displeased."
음… 그게.,uh... yes.
황태자 전하께서 보내신 청혼서란다.,apparently his highness sent over a marriage proposal.
틀림없이 황가의 문장이네요.,that must definitely be the crest of the royal house.
단순히 사교계에서 황태자가 집적거리는 것과,how could he send our household an official marriage proposal after pestering you at social events?
공식적으로 가문의 청혼서를 넣는 것의 차이가 얼마나 큰데…,there’s a huge difference between those two actions...
내 의견을 무시하고 청혼서를 넣다니.,he ignored my wishes and still proposed anyway.
"아버지,","father,"
수락하지는 않으실 거죠?,please tell me you aren’t going to accept it.
"네가 싫다면 그럴 거란다, 아가.","not if you don’t wish for me to, my baby."
하지만…,but...
알고 있어요.,I already know.
황실의 공식 청혼이다.,this is an official proposal from the imperial family.
제대로 거절하려면 확실한 명분이 필요하다.,"in order to reject him properly, we need a legitimate reason."
예를 들자면…,for example...
"혼약자를,",we’d need to find...
새로운 혼약자를 만들면 되는 거죠?,"...a new fiancé for me, right?"
