hangle,first_translate
광폭화된 마물이라.,it’s gone berserk...
이런 게 풀려났다면 많은 사상자를 냈겠지.,"if this thing  was released into the city, there must’ve been many casualties already."
작전을 서두른 피오나의 판단이 옳았어.,fiona made the right call by rushing us here as quickly as possible.
"저, 전하!!!",y-your highness!!!
다수의 마물이 몰려오고 있습니다!,a horde of monsters is approaching from over there!
상황을 보러 오길 잘했어.,I’m glad I came out to see what was going on.
누군가가 마물을 풀었구나.,someone has clearly let these creatures loose.
다들 무기를 들어라!,everybody grab your weapons!
하나도 남겨두지 말고 모두 해치워!,don’t leave any alive! kill them all!
"이 자식,",this bastard... he's still breathing?!
살아있었나!,this bastard... he's still breathing?!
시그렌!,siegren!
마무리를 부탁해!!,finish him off for me!!
역시 겨울의 수호자…!,the winter guardian lives up to his name...!
이건 확실하게 목을 잘라야 하는 마물인가 보네.,"well then, looks like we’ll need to cut its head off."
다른 마물 소탕도 도와줄까?,do you want some help clearing away the other monsters too?
기사들이랑 내가 할게.,"no, I can handle that part along with my knights."
같이 처리하는 게 좋을 것 같은데.,but wouldn’t it be better if--
정 걱정되면 입맞춤이라도 해줘.,then why don’t you just give me a good luck kiss instead?
…너 요즘 아주 인생이 즐겁지?,have you lost your mind recently or something?
빨리 다녀오기나 해.,go finish the job before things get worse.
아가씨!,my lady!
바로 오셔야겠습니다.,you’d best hurry back now.
드디어 잡혔어요.,finally caught her.
투기장의 주인이요!,it’s the owner of the arena!
이렇게 작은 여자가 이 일의 책임자라고?,is she seriously responsible for everything that happened today?
"안녕하세요, 크루스 씨.","good afternoon, mr. cruz."
아무래도 드디어 말이 통할 만한 상대가 온 것 같군요…,"at last, someone worth talking to shows up around here..."
"…아름다운 아가씨,","beautiful young woman,"
제게 이런 식으로 굴면 후에 틀림없이 후회하실 겁니다.,treat me poorly at your own peril.
왜요?,and why would that be?
순진하긴.,how naive.
겁이나 좀 줘야겠다.,maybe I should scare her a little bit first.
아가씨께만 특별히 알려드리는 겁니다.,let me tell you a secret only you will know about.
제 뒤에는 매우 무서운 분들이 있거든요.,there are very scary people backing me up.
"데런 남작님과 오헬 자작님,","barons daren and o’hel,"
아이작 백작님 에다가…,"count isaac,"
오호.,ooh.
전부 징집 대상이군요.,all of those men are subject to conscription.
덕분에 올해 적자는 면하겠어요.,that saves us money since they won’t be able to pay their way out of service anymore.
전부 털리겠네.,now they’re gonna lose everything.
게다가!,not to mention...
제가 감히 입에 올릴 수 없이 고귀한 분도 계시죠!,...the most noble person whose name cannot even pass through my lips!
절 풀어주시면 이번 일은 전부 없던 걸로 해 드리죠.,"release me, and I promise none of this ever happened."
현명한 선택을 하시길…,make the wise choice...
윽!,argh!
쿠당탕,thud
이거 놔!,get your hands off me!
내가 누군지 아느냐?,do you know who I am?
버둥,kick
황태자.,crown prince.
한 명 더 있었습니다.,we found one more inside the stadium.
경기장 안쪽에서 발견했죠.,we found one more inside the stadium.
놔라!,let go of me!
나는 이 제국의…,"in this empire, I am--!"
제국의 뭐요?,what exactly do you mean “in this empire”?
"네, 네년이 알 필요는 없어!",n-none of your business!
그럼 현재 당신은 방금 무례를 저지른 한낱 범죄자군요.,"then currently, you’re nothing but a criminal who committed treason against the imperial family."
무릎을 꿇리세요.,put him down on his knees.
으악!,aaah!
이쪽 상황도 대충 정리된 모양이군.,seems like things were taken care of here too.
"이,",y-you monster bastard...!!
이 괴물 같은 사생아 놈…!!,y-you monster bastard...!!
반드시 죽여버리겠어…!,I swear I’ll kill you...!
호오.,oho.
"날 아나, 범죄자?","do you recognize me, criminal?"
이 자시익!!,you damn son of a b*tch!!
황자에게 악을 쓰면 되나.,who dares speak ill of the prince?
"누구길래 이렇게 간이 부었는지 궁금해지는데,",I wonder how bold you could possibly be to act so brazenly toward royalty.
신원 미상의 범죄자 얼굴 좀 볼까?,let’s take a look at our unknown criminal’s face.
안돼…,no...
안돼안돼안돼안돼!!,no no no no!!
"이, 이거 풀어!!",l-let me go!!
이 미친놈들아!!,are you guys insane?!!
"이런, 전혀 몰라뵈었네요.","why, I didn’t notice you earlier."
"어째서 이런 곳에 계시는 겁니까, 형님?","what brings you to such a place, brother?"
난…,I-I’m done for...
이제 끝장이다…,I-I’m done for...
