hangle,first_translate
영애.,my lady...
만약 영애의 아버지가 억지로 시킨 거라면 방으로 돌아가.,"if your father  forced you into this, go back to your room now."
아뇨.,no.
"모든 건 제 의지예요, 전하.","I’m doing all of this because I want to, your highness."
그리고요…,and also...
"제 입으로 말씀드리긴 조금 그렇지만,","it’s not like me to say things like this about myself,"
"저, 꽤 괜찮지 않나요?",but don’t you think that I’d make quite a good wife for you?
여태 어디서 거절당한 경험이 한 번도 없답니다.,I’ve never been rejected by anyone before.
…아니.,"that may be so,"
"나에겐,",but there is no other woman besides fiona whom I care about.
피오나 외의 여자는 아무런 의미도 없어.,but there is no other woman besides fiona whom I care about.
머리가 아프군.,this gives me such a headache.
차라리 암살자였으면 두 동강을 냈을 텐데.,"had she been an assassin, I would have cut her down without hesitation."
게다가 피오나가 잔소리 한 것도 있고…,"not only that, but fiona was nagging at me earlier too..."
"시그렌,","siegren,"
영애들에게 친절하게 굴어야지!,be nice to these ladies!
쯧.,tsk.
영애가 안 나가면 내가 나가지.,either they leave or I do.
"잠깐만요,","wait,"
전하!,your highness!
전하…!,your highness...!
뭐?,what?
몸으로 널 유혹하려고 했다고?!,did she try seducing you?!
아하하하…,ahaha...
"세상에, 우리 황자님이 출세를 하긴 했나 보네!",wow! looks like our little prince has become popular!
이럴 줄 알았어…,I knew something like this would happen...
왜에?,really?
웃어서 삐졌어?,isn’t she upset from laughing?
그래도 그 영애 용기가 대단하네.,"still, what courage on her part!"
시그렌이 어지간히 좋았나 봐.,she must really like him.
그런 대범한 짓을 하다니~,to do something as bold as that!
"시그렌, 너 진짜 옴므파탈이다!","siegren, you’re truly irresistible!"
아하하!,ahahaha!
…그렇게 재밌어?,do you find this funny?
당연하지!,of course!
그 조그맣던 애가 이렇게 될 줄 누가…,who could imagine that tiny kid growing up to--
딸꾹!,hiccup!
어?,huh?
"너무 웃어서,",maybe I laughed too much...
벌 받았나…,am I being punished?
그런가 보다.,seems so.
자.,here.
천천히 마셔.,take small sips.
"고마, 워…",th-thanks...
"…으,",uh...
그래도 안 멈추네.,it won’t stop.
"딸꾹질은, 놀라면 낫는데…",scaring someone usually helps get rid of hiccups...
"나, 좀 놀래켜 봐, 시그렌…","try scaring me, sieg."
정말로?,really?
뭐든 해도 괜찮나?,can I do anything?
응… 얼른!,yeah... hurry!
"그럼,",then how about...
이런 건 어때.,how about...
괜찮으니,you can just scare me already.
"시간 안 끌어도 돼, 시그렌.","stop stalling, sieg."
사귀는 사이에 키스 정도로 이러는 것도 좀…,a kiss shouldn’t cause such a reaction when we are dating...
이상한…,strange...
시그렌…,siegren...
잠깐!,wait!
으응…,ngh...
숨쉬기 힘들어…,I can’t breathe...
미안.,sorry.
뭐야…,geez...
꼭 내가 사냥감이 된 기분이 드는데…,I feel like his prey right now...
키스만 하려 했는데 나도 모르게.,all I wanted to do was give you a peck.
…읏.,hnn...
더 하면 때릴 거야.,I’ll hit you if you keep going.
나도 이 이상은 참기 힘들어서 안 할 거야.,I wouldn’t dare since even I am having trouble holding back.
시그렌…!,siegren...!
딸꾹질도 멈췄으니까 갈게.,"the hiccuping stopped, so I’ll head out now."
"잘 자, 피오나.","good night, fiona."
어쩌지.,oh dear.
나…,I...
이다음을 바라게 될 것만 같아.,feel like I might start looking forward to tomorrow.
오늘 온실에서 티파티가 열리는구나.,there will be a tea party held in the greenhouse today.
티파티에서는 만나 뵐 수 있을까?,wonder if I’ll see her then.
피오나 헤일론 영애…,lady fiona heilon...?
