hangle,first_translate
피오나에게,to lady fiona...
"어라… 저번 편지를 받은 지 얼마 안 됐는데,","huh... I just received her last letter not too long ago,"
이렇게 금방 또 편지를 보내다니.,but she’s already sent another one.
"피오나, 너는 이번 일을…","fiona, you’re still dealing with this matter...?"
아직도,dealing with what?
다 안 끝냈냐?,it's taking that long?
"아니,","well,"
귀족 가문 하나 무너트리는 게 쉬운 줄 아세요?,do you think bringing down a noble family is going to be easy?
나도 열심히 하고 있다고.,I’m doing my best as well.
"오늘, 황궁의 재무 부서로 익명의 투서를 보냈다.","today, I anonymously reported house green to the financial department at the royal palace."
그린 가문의 불법적인 사업을 고발하는 내용으로.,the report was about their illegal business dealings.
"투서의 내용이 사실로 확인되면,","if they find out everything I said is true,"
그린 가문의 재산은 압류당할 것이다.,all of house green’s assets will be confiscated by the government.
"이러니저러니 해도 그린 가의 재산은 상당하니,","no matter how much money we lose from all these incidents,"
황궁도 국고를 채울 좋은 기회라고 생각하지 않을까?,the royal palace would probably see this as a good opportunity for them to fill up their treasury.
그리고 이틀 뒤-,and two days later--
"젠 오빠,","congratulations on becoming head of our household, brother zen."
가주가 되신 것 축하드려요.,"congratulations on becoming head of our household, brother zen."
아직 임시이긴 하지만 말이다.,"of course, it’s only temporary right now."
"그래도,","still,"
작은오빠가 아니면 누가 가주 자리에 오르겠어요?,who else could take your place if not you?
뭐…,that’s true...
그렇기도 하지.,that’s true...
그리고 이건 전에 말했던 서류예요.,this is the document I told you about before.
여기에 인장을 찍어주시면 전 호적에서 정리되어요.,"with your seal here, I’ll officially no longer be part of this family."
"아, 그래…","ah, yes..."
이제 나가 보거라.,now leave me alone.
해야 할 일이 산더미구나.,I have so many things to do.
…정말 그래 보이시네요.,it does seem like it.
그런데 젠 오빠…,brother zen...
마지막으로 말해 드릴 게 있어요.,let me tell you something before I go.
있죠…,sure...
도박 중독에는 답도 없답니다.,gambling addiction has no cure.
빚까지 졌다면 더더욱이요.,even more so when you’ve accumulated debt because of it.
"그,",th-how did you know about that?!
그 사실을 네가 어떻게?!,th-how did you know about that?!
그럼 안녕히 계세요.,then goodbye.
피오나아-!!,"wait, fiona!!!"
흠흠~,mmhm~!
이렇게 기분이 좋을 줄이야~,I feel better than expected.
피오나,"lady fiona,"
아직도 이곳에 남아 있던 거니?!,you were still here?!
뻔뻔한 것.,how shameless can you get?
네 오라비의 등골 빼먹을 생각 말고 썩 나가거라.,stop trying to suck every penny off your husband and leave us once and for all.
"재촉하지 않아도 그럴 겁니다,","I don’t need anyone telling me to do that,"
부인.,countess.
"그 전에,","before I go though,"
마지막으로 해야 할 일이 떠올랐지만요.,I realized there was one thing left to do.
할 일?!,what are you talking about?!
"어떻게든 빌붙으려고 애쓰는 거라면,","if you’re thinking of any way to stay here,"
소용없…,forget abou--
"어,","ooh,"
어머!!,my goodness!!
마님!!,your grace!!
…감히.,how dare you...
감히 이런 짓을!,...do such a thing!
다시 생각해보니 역시 한 대 쯤은 때리고 싶어서요.,"when I thought about it again, I really wanted to slap you at least once."
"카인델은 빈털터리로 추방당했고,","caindel got kicked out without anything,"
젠은 평생 빚에 쫓길 예정이고…,and zen will spend his life paying back debts...
그러니까 부인도 제게 뺨 정도는 맞아야 공평하지 않을까요?,doesn’t it make sense for you to receive some punishment as well?
젠이…?!,zen...?!
대체 이게 무슨 헛소리인지…!,just what nonsense are you spouting...?!
핏줄도 천한 게 정신까지 이상해진 모양이구나.,"not only are you lowborn, but you must also be mentally ill."
"누, 누가 이 정신 나간 계집을 가두거라!",s-someone lock this crazy woman away!
"자, 잠시만요!",p-pardon me!
"마, 마님.",y-your grace.
큰일 났습니다!,i-it’s terrible news!
넌 지금 상황이 보이지 않느냐?!,can’t you see what’s happening right now?!
당장 이 계집을-,lock this girl u--
"그게 아니라,","n-no,"
"지금,","r-right now,"
지금 저택 밖에 황궁의 병사가 몰려왔습니다!,imperial soldiers are surrounding our manor!
황명이라면서요!,they say it’s under orders of the emperor himself!
"어,","oh,"
생각보다 빨리 왔네?,so they came sooner than I expected.
알고 계신가요?,are you aware...
