hangle,first_translate,review,idiom
"이 녀석, 남자 주인공인 시그렌 아냐?!","isn’t this guy siegren, the male protagonist?!","Isn't this guy Siegren, the male protagonist?!","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
원작 시작까지는 아직 6년이나 남았는데,the story doesn’t start for another six years...,There are still six years until the original story begins.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
왜 남주가 벌써 내 코앞에서 굴러다니고 있는 거지?,then why is he already here right before my eyes?,Then why is the male lead showing up right in front of me already?,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
얘가 이 시기에 아벨을 만나는 거던가?,does that mean he’s going to meet abel soon...?,Does he meet Abel at this point in time?,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
"아니, 지금 이런 생각 할 때가 아니지!",no! now isn’t the time to think about things like that!,"No, this isn't the time to be thinking about that!","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
이 녀석이 이 세계를 구원할 남주가 맞다면,"if this kid really is the hero destined to save the world,","If this kid really is the male lead destined to save this world,","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
이대로 날 구하고 사망하면 세계멸망이잖아!,"and if I let him die after saving me, then the world will end!","If he saves me and then dies like this, the world will be doomed!","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
뭘 해도 내가 최종보스야?!,I’m still gonna be the final boss no matter what I do!!,Am I the final boss no matter what?!,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
"여, 여기 빨리 의원 좀 불러 주세요!",p-please call for a doctor immediately!,P-please call for a physician immediately!,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
이틀 뒤,two days later,Two days later.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
흐음…,hmm...,Hmm...,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
심각한 부상이지만….,"it was quite serious,","It’s a serious injury, but…","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
다행히 큰 고비는 넘겼습니다.,"but fortunately, you’re out of danger now.","Fortunately, you've passed the critical stage.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
정말요!,really? thank goodness!,Really?,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
무슨 일 있으면 불러 주세요.,let us know if anything happens.,Call us if anything happens.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
네!,okay!,Yes!,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
다행이다~,that’s good news!,That’s a relief~,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
세계 멸망의 위기는 넘겼어~!,now we’ve avoided the apocalypse!,We've passed the crisis of world destruction!,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
그나저나 이렇게 보면,still though...,"Anyway, looking at it this way...","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
세계를 구할 영웅이라며 칭송받을 거라곤 안 믿기네.,this boy looks nothing like someone who’ll become known as the savior of the world someday.,I can't believe he'll be praised as the hero who will save the world.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
이 시기면 시그렌 나이가 열네 살쯤인가…?,siegren must only be around fourteen at this point...,Siegren should be around fourteen at this point...,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
"나도 간단하게 몇 줄 설정만 했을 뿐,","all I did was write up his character description briefly,",I only wrote a few lines of setting.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
본편에서 세세하게 다룬 적은 없는 시그렌의 과거.,as his past wasn’t covered thoroughly in the original novel.,Siegren's past was never covered in detail in the original story.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
시그렌은 남자 주인공답게 출생의 비밀을 가지고 있다.,"like any other main character, siegren has secrets surrounding his birth.","As a main character, Siegren has a secret about his birth.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
그는 내가 현재 있는 제국의 황자다.,"to put it simply, he’s currently a prince of the empire.",He is the prince of the empire where I currently am.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
"정확히는, 공표되지 않은 사생아.","more specifically, he’s an illegitimate child whose existence hasn’t been made public yet.","More specifically, he’s an unannounced illegitimate child.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
시그렌은 힘없는 평민 출신의 어머니에게서 태어났다.,siegren was born from a mother who came from a family of powerless commoners.,Siegren was born to a powerless commoner mother.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
그를 눈엣가시처럼 여겨 죽이고 싶어 하는 자들은 많았다.,"naturally, there were many people who wanted him dead because they saw him as a threat.",Many considered him a thorn in the side and wanted him dead.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
시그렌은 어릴 적부터 늘 목숨을 위협받으며 살아왔다.,"from a young age, siegren lived under constant threats against his life.","From a young age, Siegren lived under constant threat to his life.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
시그렌은 북부의 헤일론으로 도망친다.,"029eventually, he ran away to hailon in the north.",Siegren escapes to Hailon in the north.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
제국의 맨 끝이라 목숨을 노리는 자들의 영향력이 미치지 않았기 때문이다.,he chose that place since it was farthest from those trying to kill him.,"Because it was at the farthest edge of the empire, the influence of those who wanted him dead could not reach there.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
"그 후 아벨이 시그렌이 가진 검의 재능을 알아보고,","later on, abel discovered siegren had talent with swords,","Afterward, Abel recognized Siegren's talent with the sword.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
그를 제자로 두며 가르치게 된다.,and decided to take him in as his student.,and takes him in as his student to teach him.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
여기까지가 시그렌의 유년시절 이야기.,that pretty much sums up siegren’s childhood.,This is the story of Siegren’s childhood up to this point.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
본편에서도 여주인공에게 짧게 말해 준 게 끝이었다.,"in the actual novel, all these details are mentioned by the female lead very briefly.","In the main story, he only briefly mentioned it to the female lead.","내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
인물의 과거는 그저 성격을 나타내 줄 ‘설정’에 불과하니까.,a person’s backstory is just something used to explain their personality traits.,A character’s past is just a setting to reflect their personality.,"내 코앞에서 굴러다니고 있는 거지 : showing up right in front of me
큰 고비는 넘겼습니다 : passed the critical stage
눈엣가시처럼 여겨 : considered a thorn in the side
목숨을 위협받으며 살아왔다 : lived under constant threat
눈 좀 붙일까 : take a quick nap"
