hangle,first_translate
"어둠에 빨려 들어가기 직전,","right before I was sucked into the darkness,"
"잠깐이지만,",I managed  to stop myself from being pulled in...
어둠이 다가오는걸 막을 수 있었어.,even if only for just one moment.
"나는 혹시,",does this mean that...
어둠을 조종할 수 있는 걸까?,...I can control the shadows?
그러면 또 한가지 의문이 생긴다.,but then another question arises.
원작의 피오나는 어둠을 통제할 수 없었다.,fiona wasn’t able to control them in the original story.
그런데 왜 나는 성공했을까?,then why did I succeed when she didn’t?
"같은 육체, 같은 재능인데.","after all, we have the same body and talent."
이것도 고민해봤자 답이 안 나오네~,it’s no use thinking about it too much since there are no answers anyway.
"머리 아프다, 머리 아파.",my head hurts so badly right now.
아~ 배부르다~,mm! I’m stuffed!
"렐턴 후작님, 어지간히도 고마웠나 봐.",lord relton must’ve been very grateful toward you...
이렇게 맛있는 요리를 많이 내주다니.,...for him to serve us such delicious food like this.
…그러게.,indeed.
으음~,hmm...
어디 안 좋은가?,is something wrong?
아까도 많이 안 먹던데.,you haven’t eaten much today either.
…이번에 파견단에 와 보기를 잘했어.,I’m glad I came here as part of the delegation.
…왜?,really? why is that?
소득이 있었잖아.,"well, because I gained quite a lot out of coming here."
아카데미 사람들도 생각보다 괜찮았고.,the people at the academy were nicer than expected.
"그 사람들, 목숨 빚을 졌다고 생각하고 있으니까…","and they think they owe me their lives,"
나중에 분명 호의적인 태도를 보일 거야.,so they’ll definitely treat me favorably later on.
"게다가,","on top of that,"
나 생각보다 대단한 사람이었다고.,I realized that I’m more amazing than I thought.
"어둠,",I controlled the shadows even though it was difficult.
힘들었지만 내가 분명 통제했었거든.,that will surely help greatly during future shadow attacks.
분명 어둠 토벌에 엄청난 도움이 될 거야.,do you plan on getting involved with the shadows again?
…또 어둠에 관여할 생각이야?,of course!
물론!,of course!
피오나.,fiona.
피오나!,fiona!
얼음같이 차가운 그 몸에,"she looked ice-cold,"
세상이 무너지는 듯 했다.,as if her whole world had come crashing down around her.
도움 줄 필요 없어.,there’s no need to try helping me.
"기뻐하지는 않더라도,","while I don’t expect you to rejoice over what happened,"
축하 정도는 해줄 줄 알았는데.,at least some congratulations would be nice.
…왜?,why not?
"저번 같은 행동,",promise me...
두 번 다시 하지 마.,...that you won’t ever act like that again.
말도 안 되고 무모한 짓이야.,"not only does it make no sense, but it’s also reckless."
그래도 내가 한 행동은 옳았어.,"still, I know my actions weren’t wrong."
알고 있어.,"I understand your point,"
반성의 여지는 충분해.,but I still feel responsible for everything that happened back there.
나는 그 자리의 책임자였잖아.,I was in charge after all.
그게 최선이었다고.,I believe I made the best decision possible under those circumstances.
"맞아, 실은 네가 옳아.","yes, actually, you’re absolutely right."
너는 큰 전력이야.,you’re our greatest asset.
가끔은 생존을 우선시해야 할 때가 있어.,there comes a time where survival takes precedence above anything else.
그리고 어둠에 대한 정보는 너한테도 도움이 되잖아.,and information regarding the shadows could prove useful to you as well.
난 그런 마음으로 싸웠어.,that’s how I felt while fighting against them.
하지만,but--
"그러니까,","like I said,"
그런 도움은 필요 없다니까…!,stop trying to help me already...!
억지를 써서라도 너를 잃고 싶지 않아…,I’d rather die than lose you...
…시그렌.,siegren...
"귀찮으면 빈정거리지 말고,","if you’re annoyed, instead of nagging me,"
차라리 화를 내!,just get angry!
이… 바보!,y-you idiot!
"잠깐, 피오나!","wait, fiona!"
저리 가!,go away!
따라오지 마!,don’t follow me!
그런 게 아니라…,"no, wait..."
어… 음…,uh... um...
…단 과자라도 가져다줄까.,or maybe bring her cookies or something.
아가씨를 달래본 적이 별로 없다.,this isn’t going to work. I barely have any experience soothing ladies’ feelings.
날 몇 살이라고 생각하는 거야?,how old do you think I am?
그보다 그냥 가던 길 가라니까.,forget about that and go ahead without me.
왜 따라온 거야.,what are you doing following me?
네가 울면서 창고로 도망치는데 어떻게 그냥 가나.,how could I leave you crying alone in the storage room?
그런 소리를 다 할 줄 아네.,look who knows exactly what to say.
…나,I...
시그렌이랑 싸웠어.,...got into a fight with siegren.
어둠과 관련된 일 때문이군.,"it has something to do with the shadows, doesn’t it?"
맞아. 내 행동은 충분히 옳았다고 생각하는데.,"yeah. I really think I acted appropriately,"
시그렌이 괜히 말을 밉게 하는 거야.,but siegren keeps saying things that hurt my feelings.
날 걱정하는 거란 건 알겠지만…,"I know he’s worried about me,"
눈물을 닦아줘야…,I want to wipe away her tears...
"아니,","no,"
안 될 일이지…,I shouldn’t do that...
피오나 헤일론.,fiona haelon.
너는 좋은 아가씨다.,you’re a good girl.
좀 무모하긴 했지만 책임감도 있고.,"although you may be somewhat rash, you take responsibility for yourself."
내 생각에도 네 판단이 객관적으로 옳았다.,I agree that your judgment call was objectively correct.
그러니 시그렌이 뭐라고 했든 별로 신경 쓰지 않았으면 좋겠어.,"thus, regardless of whatever siegren says, please don’t let his words bother you."
남자친구의 생각 하나에 이렇게 흔들리기엔…,you deserve better than someone whose opinions sway yours so easily.
네가 너무 아깝다.,you deserve better than someone whose opinions sway yours so easily.
