hangle,first_translate,review,idiom
참내….,good grief...,Good grief...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
용병 다루는 법 같은 걸 왜 물어보는 거야?,why are you asking me how I handle my men?,Why are you asking about how to handle mercenaries?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
응?,huh?,Huh?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"아, 공작님이 시키신 일 때문에.",it’s because his grace asked us to do something for him.,"Ah, it's because His Grace ordered me to do something.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
난 용병 쪽은 잘 모르니까 물어본 거야.,"I don’t know much about dealing with mercenaries, so that's why I’m asking.","I don’t know much about mercenaries, so that's why I’m asking.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"아니,",no... wait.,No.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그러니까 공작이 뭘 시켰다는….,what did duke abel ask you guys--,So you're saying the duke ordered something…,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
윽!,oof!,Ugh!,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
이 마차는 왜 갑자기 서는 거야.,why is this carriage stopping all of a sudden?,Why is this carriage stopping all of a sudden?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"시그렌, 이거 봐봐!",siegren! look at this!,"Siegren, look at this!","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
도착했어.,we’re here.,We've arrived.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
제4 성벽이야.,this must be the fourth wall.,It's the Fourth Rampart.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
바로 아벨이 시킨 일을 하러 가야겠어!,let’s get going right away since we have work to do!,Let's get going right away to do the task Abel assigned!,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"응? 무슨 일이야, 시그렌.","hm? what’s wrong, siegren?","Huh? What's wrong, Siegren?","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
이 마차는 높이가 높은 편이야.,the step down from this carriage is pretty high.,This carriage is quite tall.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그렇게 내려갔다간 넘어진다.,"if you jump off like that, you’ll fall over.","If you climb down like that, you’ll fall over.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"잡고, 조심해서 내려와.",take hold of my hand and come down slowly.,Hold on and come down carefully.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
아하하.,haha.,Hahaha.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
왜 웃는 거야.,what are you laughing about?,Why are you laughing?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
미안.,my bad.,Sorry.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
피오나 그린은,fiona green...,Fiona Green is...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
나 같은 낯선 소년에게도 잘해주는 이상한 여자애다.,...is such a strange girl who treats even someone as unfamiliar as myself nicely.,...is such a strange girl who treats even a strange boy like me nicely.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
아직도 그 상냥함과 다정함은 못 믿겠지만,"even though her kindness still feels unbelievable,",I still can't believe her warmth and kindness.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
피오나에게 보답하고 싶다는 마음 정도는 있다.,at least I want to repay her somehow.,I do have some desire to repay Fiona.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"잡아줘서 고마워,","thanks for helping me out, siegren.","Thanks for holding me, Siegren.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
시그렌.,"thanks for helping me out, siegren.",siegren.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"아주 조금씩, 이런 사소한 행동이라도 하면","maybe if I keep doing these small acts little by little,","Even if it's just small acts, little by little,","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
언젠가 갚을 수 있지 않을까.,I might eventually pay back everything she has done for me someday.,Maybe I can repay it someday.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"…문득, 그런 생각이 들었다.",that thought suddenly crossed my mind.,"Suddenly, that thought crossed my mind.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
더 상냥한 사람이 되고 싶다.,I wanna become kinder too.,I want to become a kinder person.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
라고-,I wanna become kinder too.,"""...That's what I thought.""","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
…이게 정말인가?,is this real?,Is this for real?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그럼요.,of course.,Of course.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
공작가의 인장이 찍혀 있을 텐데요.,doesn’t it bear the crest of house abel?,It should bear the crest of the ducal house.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그렇지만 너흰 어린애잖아.,but aren’t you just kids?,But you’re just kids.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
말도 안 되는 일이군.,this doesn’t make any sense.,This is ridiculous.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"꼬마야, 헛소리 말고 집으로 돌아가!","go home instead of spouting nonsense, kid!","Go home and stop spouting nonsense, kid!","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
4 성벽에는 날 아는 사람이 없으니까 이럴 만도 하지.,"well, no one knows me around the fourth wall anyway, so they’d react like this.","No one knows me at the Fourth Wall, so this reaction makes sense.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
저기요.,excuse me.,Excuse me.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"믿든 안 믿든 자유인데,","you can choose not to believe me or whatever,","Believe it or not, it's up to you.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
당연히 뒷감당은 하실 수 있죠?,but will you take responsibility for your actions afterward?,"Of course, you can take responsibility for it, right?","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
으음…. 일단 읽어보니,"uh... after reading this document,","Hmm... After reading this,","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
이건 분명히 진짜…군요.,it seems like this really is genuine.,This is definitely real.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
갑자기 존댓말은.,all of a sudden he’s using formal language again.,Suddenly using formal language?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
피오나 그린이라 합니다.,I am lady fiona green.,I am Fiona Green.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
