hangle,first_translate
시그렌.,siegren.
설마 우리가 영원히 함께할 거라 생각했던 건 아니지?,did you really think we’d stay together forever?
우리는 둘 다 성인이야.,we’re both adults now.
아무리 소꿉친구라도 이 시기가 되면 길이 갈라지는 건 당연해.,it’s only normal for childhood friends like us to go our separate ways at some point.
하…,hah...
넌 너무 냉정해.,you can be so cold sometimes.
이성적이라고 표현해줄래?,I prefer “rational.”
...수도에 줄곧 있을 생각이야?,do you plan on living in the capital from now on?
잘 모르겠어.,not sure yet.
일단은 좀 따뜻한 곳으로 가고 싶네.,"for now, I just want to head somewhere warm."
그렇군…,I see...
그렇게 서운한 표정은 짓지 말았으면 좋겠는데….,can you please stop looking at me like that? it makes me feel bad.
이제는 어린애도 아닌데,you’re not a child anymore.
진심으로 나와 쭉 시간을 보낼 수 있을거라 믿었단 말이야?,did you honestly believe we could spend all this time together?
하지만 수도에 간다니까 시그렌이 이러는 이유는 짐작이 간다.,"but since he reacted this way when I told him about going to the capital,"
그곳은 자신의 목숨을 노렸던 자들의 본거지.,that must mean he knows his life is still being threatened by those people there.
시그렌에게 수도란 고향이자 도망쳐 나온 장소이니.,the capital was where siegren grew up before running away.
"슬퍼하지 마, 시그렌.","don’t be sad, siegren."
"어차피 원작대로 된다면,","if everything goes according to how things happened in the novel,"
시그렌도 수도로 올 수 있게 될 테지.,then you’ll come back here too someday.
어디에 있든지 난 항상 너의 편일 테니까.,"no matter what happens or wherever you are, know that I’m always rooting for you."
도움이 필요하면 말해.,"and if you ever need help,"
언제나 네 곁으로 갈 테니.,I’ll run straight to your side.
...나와 쭉 여기 있어 달라고 한다면?,what if I ask you to stay here with me?
그건 곤란하지.,"well, that won’t work out."
네가 헤일론에 계속 박혀 있으면 이야기 진행이 안되니까.,staying in hairlon will hinder my progress through the story.
그것만 빼고.,"apart from that though,"
넌 너무 모순적이야.,your words contradict each other.
대체 어디가?,in which part?
위기가 닥칠 때 도와줄 수 있는 친구가 있는 게 얼마나 중요한데?,isn’t having someone around to save you during times of crisis important?
…피오나.,fiona...
넌 날 어떻게 생각하고 있어?,how do you view me as?
그야…,well...
이 세상에서 가장 소중한 존재로 여기고 있어.,as the most precious person in this world.
그럼 만약,okay then.
내가 어디론가 떠나면 어떻게 할 것 같아?,so what would you do if I left?
시그렌이...,if siegren...
어딘가로 떠나버린다면...,...left me behind...
당연히 무사하기를 바라면서 배웅해 주겠지!,"of course, I’d wish him well while seeing him off!"
도움이 필요하다면 달려가고~,"and if he needed any help, I’d rush over right away!"
그게 친.구.니까!,that’s what friends are for!
"됐어,","alright,"
네게 질문한 내가 바보지.,I guess I shouldn’t have asked you anything.
뭐?,what?
으~ 그나저나 쌀쌀하다.,"gosh, but it’s freezing outside."
뭐라도 둘러야 할 것 같은데…,maybe I should wear something warmer--
하녀들이 담요를 빨아놨다고 하던데….,the maids said they washed the blankets earlier today...
어디다 둔거람…,where did they put them again...?
피오나.,fiona.
시그렌…?,siegren...?
이상하다.,this feels strange.
"시그렌이 뒤에서 껴안은 건데,","even though siegren hugged me from behind,"
꼭 시그렌의 품에 갇힌 것 같다.,it felt more like I was trapped within his arms instead.
어차피 이곳을 떠날 거면 그냥 수도에 있어.,"if you’re leaving anyway, why don’t you just live in the capital?"
생각해보니 새삼스러운 일도 아니야.,"now that I think about it, maybe it isn’t such a big deal after all."
어차피 지금까지 줄곧 그래 왔는걸.,"after all, that’s been happening until now."
네가 어디에 있든지,"no matter where you may be,"
난 반드시 너의 뒤를 쫓아갈 거야.,I promise to follow you anywhere.
…시그렌은 분명,I remember making a similar promise to her once before...
전에도,...in the past.
내가 널 만나러 갈 수 있도록 노력할게.,I’ll try my best to meet you whenever possible.
이런 약속을 했었지.,he made a vow to me.
"그러니,","therefore,"
넌 수도에서 기다리고 있어.,wait for me in the capital.
시그렌…,siegren...
몇 달 뒤,a few months later
짐은 그게 전부냐.,is that all you’ve got?
네.,yes.
딱히 물건에 집착하는 성격은 아니라서요.,I never had much attachment toward material objects.
배웅은 많은데,look at everyone gathered here to bid their farewells.
시그렌 녀석이 없군.,too bad siegren didn’t show up.
제가 떠난다는 사실에 굉장히 서운해 했거든요.,he seemed quite upset upon hearing news of my departure.
그거 말고 다른 말은 안 했느냐?,did he say anything else besides that?
반드시 쫓아오겠다던데요.,only that he’ll definitely chase after me.
원래 주인공이 안 하던 짓을 하면 사망 플래그인데.,"when main characters act differently than usual, it usually signals death flags."
그 녀석답군.,that sounds very typical of him.
"자, 받아라.",take this.
소개장이다.,it’s a letter of introduction.
수도에 있는 헤일론 저택에 머물고 싶을 때 사용하거라.,use it when you need to stay at house hairlon in the capital.
헤일론의 타운하우스!,at the townhouse owned by house hairlon!
마지막이라고 상여금이 두둑하네요.,my final payment turned out to be pretty generous.
마지막인지 아닌지는 모르지.,let’s hope it wasn’t actually the last one.
윽.,uh...
"-그럼,","well then,"
공작님.,your grace.
그동안 감사했습니다.,thank you for taking care of me thus far.
그래.,all right.
아벨은 이럴 때도 명쾌하다니까.,abel always manages to keep himself composed even in situations like these.
"잘 가요, 피오나 아가씨!","be careful on your journey, lady fiona!"
보고 싶을 거예요!,we’ll miss you!
또 봐요!,see you soon!
응?,huh?
아벨…?,abel...?
피,fi-
오,o-
나,n-
피오...나...?,fio--na...?
뭔가 말하고 있는 것 같은데.,it seems like he wants to tell me something.
"피오나,","fiona,"
또 보게 될 거다...?,we’ll see each other again...?
하아~,haa...
…좀 쉬고 싶다니까,could you guys give me a break already?
다들 왜 이러나 몰라.,why does everybody react like this? geez!
