hangle,first_translate
저기다!,that’s where...
아가씨가 사라진 곳!,...lady fiona disappeared!
이럴 수가…,I can’t believe this...
역시 거대한 악의가 느껴져요.,it feels like  there is something terribly evil inside that darkness.
바라보기조차 두려울 정도의…!,too terrible for me to even look at...!
그래도 피오나를 구할 수 있는 방법은 하나뿐이야.,"but if we want to save her, there's only one thing we can do."
저 어둠을 돌파하겠다.,break through that darkness.
"전하,","your highness,"
너무 위험해요!,this is too dangerous!
"목숨이 아깝지도 않나, 시그렌.","don’t you care about living anymore, siegren?"
그런 건 아무래도 상관없어.,not really.
유니스 영애.,lady eunice.
저 어둠에 잠시 틈을 내는 것 정도는 할 수 있겠지?,can you make  a small opening into that darkness?
… …아마도요.,maybe...
그거면 됐어!,then let’s get going!
"지금이다, 길을 열어!",now! open our path!
"네, 네!!",o-okay!!!
집중해서…,concentrate...
어둠에 틈을 만든다!,and create an opening in the darkness!
보인다!,fiona!
피오나!,fiona!
목소리?,a voice?
누구?,is someone here?
아가씨!,my lady!
눈이 떠지지 않아…,I can’t see anything...
어라…,huh...?
여긴 어디지?,where am I?
가슴…?,on my chest...?
누구?,who are you?
어?,huh?
시그렌?,siegren?
"이 상황,","in this situation,"
이 차림은…,with these clothes on...
설마 사고 친 건가!,did I mess up big time?!
꺄약-!,gaahh!
피오나?!,fiona?!
정신이 들어?,are you awake now?
들다마다…!,of course I’m awake...!
어쩌다 이렇게 된 거지?,how did things end up like this?
분명 어둠에 있던 무언가를 상대하고 있었던 것 같은데.,I was fighting against whatever was inside that darkness just moments ago.
왜 정신을 차리니 옷 벗은 너랑 누워 있는 거야.,why am I lying next to you without any clothes when I wake up?
죽어서 천국에 왔나? 했네.,"for a second,  I thought maybe I died and went to heaven or something."
너는…!,you--
"사람 그렇게 걱정시켜 놓고,","everyone was so worried sick about you,"
그게 할 말이야…?!,and yet you say such things?! how dare you?!
…미안.,I'm sorry...
"그런데, 여기는 어디야?","anyway, where are we right now?"
숲에 친 임시 막사.,an emergency tent set up in the forest.
본부 쪽은 어둠이 와서 초토화가 되었으니까.,the base camp has been destroyed by the darkness.
"네 몸이 너무 안 좋아서, 당장 영주의 성으로 이동할 수가 없었어.",we couldn’t move you immediately because you weren’t well enough to travel all the way back to airelle castle.
다른 사람들은 모두 무사하니까 걱정하지 마.,don’t worry. everyone else is safe.
그렇구나.,alright then.
"…뭐해, 누워서 더 쉬어.","no, stay down and rest some more."
"날 구하기 위해서 다른 사람들이 얼마나 고생했을지,","I wanna know what happened while people tried to rescue me from the darkness,"
내가 어둠 속에서 본 게 뭔지…,as well as everything I saw within it...
당장이라도 알아보고 다니고 싶어서.,I feel like getting out of bed right away and finding answers.
안돼.,no.
지금은 절대안정이야.,absolute bedrest.
알고 있어. 실은 돌아다닐 힘도 없다고.,"I already knew that. besides, I don’t have the strength to walk around anyway."
그래도 꼭 하고 싶은 게 하나 있어.,"still, there’s something I must do first."
뭔데?,what is it?
"…시그렌, 이리 와.","come closer, siegren."
…왜 그러는 거야?,wh-why?
네가 우는 것 같아서.,you seem like you’re crying.
안아주고 싶어.,let me hold you tight.
저러고 있으니까,"when you act like that,"
꼭 어린아이 같아.,you remind me of a child.
옛날 생각나네.,that brings back memories.
피오나.,fiona.
너 때문에 미칠 것 같아….,you drive me crazy sometimes...
"이틀 뒤,","two days later,"
피해지역 근처 도시.,nearby city affected by the damage
잘못될까 봐 진짜 걱정했어요.,I was seriously concerned she might not survive.
의식도 없으셨고…,she wasn’t breathing properly either...
"혼수상태는 물론이고, 체온도 낮았죠.","she had fallen unconscious, and her body temperature dropped significantly."
"한마디로,","in other words,"
반 시체였지.,she was practically half-dead.
"무사하면 됐지, 뭐.","well, thank goodness nothing bad happened."
주군과 시그렌 전하도 그렇게 생각할까요?,do you think his grace and prince siegren will agree with you?
공작님에게는 비밀로 해주세요…,please keep this secret from duke airelle...
주군께 감히 비밀을 만들 수는 없죠.,there’s no way I could hide secrets from him.
하…,haa...
"어쨌건,","at any rate,"
그 후에 다른 사람들에게 감사 인사를 잔뜩 받았다.,I received lots of thanks afterward.
"아카데미 연구원들은 물론이고, 엑스트라 기사들도 날 찾아왔었지.","researchers from the academy came looking for me, along with knights from the order of rouge."
영지의 주인인 렐턴 후작도 우리를 환대하며,marquess relton welcomed us warmly...
저녁 식사에까지 초대해 주었고.,...and invited us over for dinner.
"이번 일로 유니스의 힘에 가능성이 있다는 것도 확인했으니,","thanks to this incident, we also confirmed that eunice may possess potential powers."
일이 꽤 잘 풀렸다 할 수 있겠어.,"all in all, things turned out pretty good."
후작의 저택으로 이동 중,en route to marquess relton’s manor
"하지만,","however,"
풀리지 않는 의문도 여럿 있네…,there are still many questions left unanswered...
어둠 속의 그 사람은 대체 누구일까?,just who exactly was that person I met in the darkness?
…그냥 환각이려나?,or perhaps he was merely a hallucination?
어둠이 환각도 보여주던가…,but would the darkness show illusions too...?
고민해도 좀처럼 답이 안 나오네.,I guess thinking won’t help much.
그리고,and another question remains.
또 하나의 의문점.,and another question remains.
"어둠에 빨려 들어가기 직전,","right before being sucked into the darkness,"
뒤!!,behind me!!
"잠깐이지만,","if only briefly,"
어둠이 다가오는걸 막을 수 있었어.,I managed to stop the darkness from approaching me.
"나는 혹시,",could it be possible...
어둠을 조종할 수 있는 걸까?,...that I can control the darkness?
