hangle,first_translate,review,idiom
이런 조그마한 애가 지키지 않으면 안 되는 상황이냐고!,I can’t believe  you’re putting such a young boy on the battlefield like this!,Does it have to be this little kid who protects us?,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
그건….,well...,well...,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
"으악, 그러다가 제론이 널 쫓아내면 어쩌려고!",siegren! what if jerome kicks him out because he’s too much trouble for his age?!,Ahh! What if Jeron kicks you out?!,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
시그렌!,siegren!,Siegren!,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
시그렌이 왜 화가 났는지는 알겠다.,I understand why siegren is upset about this situation.,I understand why Siegren is upset.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
시그렌은 (내 설정상) 정의감을 갖춘 성품이니…,"as someone who has strong sense of justice,",Siegren has a strong sense of justice.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
작은 나를 전장에 보내는 게 거부감이 드는 거겠지.,it must have been hard for her to send me off into battle at my age.,He must feel reluctant to send someone as small as me into battle.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
…왜 불러.,did you call for me...?,Why did you call me?,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
"나는 괜찮으니까,","I’m fine,","I'm fine,","선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
신경 쓰지 마.,so don’t worry about me.,Don't worry about it.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
뭐라고?!,what did she say?!,What?!,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
넌 무섭지도 않아?,aren’t you scared?,Aren't you scared?,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
그렇지만….,but I know that there isn’t anywhere else for me to go.,But…,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
난 여기가 아니면 갈 데가 없어.,but I know that there isn’t anywhere else for me to go.,I have nowhere else to go but here.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
"나는 있을 곳이 필요했고,","the duchy needed a magician,",I needed a place to stay.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
헤일론 영지에는 마법사가 필요했지.,and I was looking for somewhere to stay.,Helion needed a mage.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
서로 필요했을 뿐인 관곈데 왜 화가 나겠어?,"that’s all we need from each other, so why would I get angry over something like this?","We only needed each other, so why would I be angry?","선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
그렇다.,right.,That's right.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
애초에 이곳에 남기로 한 건 내 결정이었다.,this whole thing started when I decided to remain here as well.,It was my decision to stay here in the first place.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
"날 전장에 보낸다고 화낼 이유도, 비판할 필요도 없다.",no one needs to criticize or get mad about sending me onto the battlefield.,There's no reason to be angry or criticize sending me to the battlefield.,"선을 그으면서 : keeping a distance
이유 없는 호의 : no such thing as a free favor
대가를 치르다 : pay the price"
