hangle,first_translate
어쩌면 어렴풋이 알고 있었는지도 모른다.,I think I knew all along...
"피오나가 나를 받아준 건,",the reason why you accepted me was because...
어렸을 때 봐왔던 정 때문이었단 걸.,...of our childhood memories together.
"나를 잃고 싶지 않아서,",it’s because she didn’t want to lose me...
반짝였던 우리의 어린 시절을 소중히 이어 나가고 싶었기 때문이었다는 것을.,and wanted us to continue cherishing those happy moments we shared as children.
지금까지는,"until now,"
"네 옆에 있고 싶었기 때문에,","because I always wanted to stay by your side,"
애써 생각을 피해 왔지만,I tried not to think about this too much.
"내가 네게 부담이라면,","but if my presence is a burden for you,"
"상처를 준다면,","or hurts you,"
"지금이라도,","then even at this moment,"
이제라도—,right here--
헤어지자고… 하는거야?,is that what you’re trying to say?
…왜?,why are you doing this?
이유는 네가 더 잘 알잖아.,doesn’t he know better than anyone else?
그러면 시그렌과 만나는 관계가 부담스러운 건가?,was meeting up with siegren such a heavy weight on his shoulders?
그런 편이네….,that would make sense...
시그렌이 권터와의 대화를 들었구나.,siegren must have heard everything when gunther spoke to him earlier.
그래서 나한테 헤어지자고 하는 거야.,that's why he wants to break things off with me.
"침착하게 생각하면,","if I were to look at this calmly,"
이건 내가 원하던 상황이다.,this situation is exactly how I had hoped it’d turn out.
"원래의 나는 시그렌을 그저 내가 쓴 소설의 남자주인공으로만 생각했고,","in the beginning, I only thought of siegren as the male lead from my novel,"
"연인이 된 건 일시적인 것이며,",and believed being lovers was just temporary.
언젠간 원작대로 돌아갈 것이라고 되뇌고 있었어.,"I kept telling myself that eventually, things will go back to their original course."
그러니까 이게 맞는 거잖아.,so this makes perfect sense.
내심 정해왔던 끝이 마침내 왔을 뿐.,all that happened today was something I already expected deep down inside.
…하지만,but still...
정말 지금도 시그렌은 내게 원작의 남자 주인공 뿐인 걸까?,do I really see siegren as nothing more than the main character of my story anymore?
피오나,"fiona,"
"내 존재가 네게 부담이라면,","if my existence becomes a burden for you,"
그만할게. 전부.,I’ll stop everything right away.
…그렇구나.,I understand.
내가 시그렌에게 상처를 받은 것처럼,"just like how I got hurt by siegren,"
시그렌도 나에게 상처를 받은 거야.,he also felt pain because of me.
이미 정해져 있는 대답을 내가 괜히 물은 걸까.,maybe I shouldn’t have asked him anything since I already knew what his answer would be.
…그럼.,okay then.
"…안녕,","goodbye,"
피오나.,fiona.
가지마.,wait.
가지마 시그렌.,"don’t leave, siegren."
너를 상처입히려던 건 아니었어.,my intention wasn’t to hurt you.
"나를 걱정해서, 나를 좋아하기 때문에 그런 말을 한 걸 알아.",I know you said that because you care about me and love me so dearly.
하지만 내가 써 내린 세계에 대한 책임이 있으니 네 걱정을 모른 척했어.,but I pretended not to notice your concern because I feel responsible for the world I created.
"사실 난 그저. 겁이 난 것뿐일지도 몰라,","to tell you the truth, maybe I’m simply scared."
네가 한없이 좋아지는데,"as time goes by, you become increasingly precious to me,"
"난 언젠가 널 놓아줘야 하고,","yet I keep thinking that one day, I'll need to let you go."
너의 행복을 위한 길은 원작대로 돌아가게 만드는 것이라고 생각하고 또 생각했어.,I've been convinced that returning to the original storyline is the way to ensure your happiness.
하지만,"but honestly speaking,"
"정말,",can I truly afford to send you away?
내가 너를 떠나보내도 괜찮은 걸까?,could I ever do that?
어떻게 괜찮을 수가 있어.,of course not.
내가 바라왔던 엔딩이,now that I realize the ending I’ve desired...
내게 아무것도 아니지 않았다는 걸 알았는데.,"...means absolutely nothing to me,"
네 옆에 있고 싶어.,I don’t want to part ways with you.
"시그렌, 가지마.","stay with me, siegren."
헤어지기 싫어.,I don’t want to break up with you.
왜…,how could you cry over someone like me...?
나 때문에 울 정도로 고민하지 마.,"don’t worry yourself sick over me, fiona."
피오나.,fiona...
…괜찮을 리가 없잖아.,you can’t expect me to be okay after hearing that.
괜찮지 않아.,"no, I won’t be alright without you."
왜 날 붙잡는 거야?,what made you change your mind?
네가 부담스러운 게 아니야.,it isn’t that you’re a burden to me.
"갈수록 너를 계속 원하는데,","rather, I find myself wanting you more and more each passing day."
네가 이 마음을 알면 부담스러워 할 것 같았어.,"I worried that once you found out, you might start seeing me differently."
…그럴 리 없잖아.,there’s no chance of that happening.
그렇다면,then...
"…내게,","from now on,"
