hangle,first_translate,review,idiom
외로웠다.,I felt so lonely...,I was lonely.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
누군가 날 필요로 해주면 좋겠다고 생각했다.,all I wanted... ...was for somebody to need me.,I hoped that someone would need me.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
이 벌레만도 못한 목숨이라도 의미가 있을까?,would this wretched existence finally mean something if they did?,Would this worthless life have any meaning?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"시간이 지나고, 용병단은 헤일론 영지의 방어를 맡게 되었다.","time passed by, and our mercenary group took on the task of defending hailon territory from monsters.","As time passed, the mercenary group took on the task of defending Hailon territory.","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"마물과의 싸움은 위험했지만, 돈이 됐다.","fighting them was dangerous, but at least we got paid well.","Fighting monsters was dangerous, but it made us money.","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"나는 제대로 된 무기도 받지 못하고,","even though I didn’t receive any proper weapons,","I didn't even receive a proper weapon,","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
전장에서 주운 누군가의 검으로 버텼다.,I managed to get through battles using swords I picked up off dead bodies.,I endured using a sword I picked up on the battlefield.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
끝도 없는 고단한 싸움의 좋은 점이 있다면,the only good thing about these endless fights is probably...,"If there's one good thing about these endless exhausting battles, it's that...","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
생사를 넘는 전투로 강해졌다는 것일까.,...that I’ve become stronger after fighting for my life all those times.,Have I grown stronger through life-and-death battles?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
살아남았다.,I survived.,I survived.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"하지만, 기어코 일은 터졌다.","but eventually, disaster struck.",Trouble finally broke out.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
밀리고 있어.,we’re being pushed back!,We're being pushed back!,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
