hangle,first_translate
어때?,isn’t this uncomfortable for you?
어색하진 않아?,doesn’t it feel awkward?
어색하지 않아.,not at all.
오! 그래!,okay then!
그렇게 얼굴을 잘 감춰 둬.,make sure your face is covered like that.
내 머리색 보다 네 외모가 더 눈에 띌 테니까.,your looks will stand out more than my hair color.
…너 정말 분위기 깨는 데 뭐 있다…,you really know how to ruin the mood...
호오.,hmm...
생각보다 멀쩡해보이는 저택인데?,the mansion doesn’t look as bad as I thought it would.
마물은 어떻게 관리하는 걸까.,I wonder how they manage their monsters.
글쎄.,no idea.
"좋아, 일어서!",get up!!!
"어이, 더 세게 때려!","come on, hit him harder!"
"움직여,","move,"
움직이라고!,march!
이거 위험한데.,this isn’t good.
위험하지.,it’s dangerous.
이 미친 자식!,"hey, you idiot!"
"나, 나는 네 사육사야!!",I-I’m your trainer!!!
관리가 안 되는걸 보아하니 조만간 큰 사고가 터지겠는데.,"if he can’t control them anymore, something terrible might happen soon."
피오나.,fiona.
생각보다 규모가 커.,this place is bigger than we expected.
그리고 정체가 짐작 가는 귀족이 몇 명 보여.,and there are some nobles here whose identities I think I recognize.
헤일론과 네 휘하의 기사단만으로 뒤집기는 힘들까?,do you think house haylon and our guards alone won’t be enough to take down everyone inside?
사람만 붙잡는다면,"well... if we only arrest people,"
혼란 속에서 운 나쁘게 마물이 풀린다면 위험하겠지.,"then yes, but things could get complicated if any monsters escape during the chaos."
일리 있는 소리야…,that makes sense...
"게다가 시그렌과 헤일론 가문, 둘이서만 협조했다가는 꼭 뒷말이 나오겠지.","besides, if houses haylon and sigren work together without anyone else involved, rumors may spread about us afterward."
깔끔하게 처리하려면 중립 귀족을 끌어들이는게 좋을까?,"to avoid complications, do you think we should involve neutral noble families too?"
"피오나, 저기.","fiona, over there."
황태자가 있어.,it's the crown prince.
뭐? 어디?!,where?! I don’t see him.
안 보이는데.,where?! I don’t see him.
더 아래쪽이야.,lower.
어딘가 안으로… 들어가고 있군.,he just went into one of those rooms...
아! 저기다.,"ah, right there."
왜 안쪽으로 들어가는 걸까?,why did he go inside?
글쎄…,no clue...
좋은 이유는 아니겠지.,I doubt it was for anything good though.
흐음…,hm...
뭐야? 이 종류밖에 없나?,what’s going on? is this everything you have?
저번에 말한 상급 마물은?,how about what you told me last time? where are the higher-level monsters?
"송구하오나, 그건 아직…","my apologies, but--"
느려 터졌긴.,slow bastard.
"멍청한 녀석, 그걸 준비하는게 쉬운 줄 알아?","stupid fool, do you think preparing such beasts is simple?"
하지만 황태자가 내 투기장을 마음에 들어 하는 건 정말 천운이지.,"but still, it’s great luck that his highness likes coming to my arena so much."
돈만 좀 주면 투기장이 불법이라는 것도 눈 감아 주니까.,"as long as I give him money, he’ll turn a blind eye even when he knows these fights are illegal."
