hangle,first_translate
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you  two go like this, his grace will have my head on a platter."
"어이, 고용주님.","hey, boss..."
"이놈들,",do we cut off what’s hanging down there for these bastards?
가랑이에 달린걸 잘라 버릴까?,do we cut off what’s hanging down there for these bastards?
음…,hmm...
"아니, 그건 좀.",no... that might not be such a good idea.
"아가씨, 감사합니다.","thank you so much, miss."
다시는 경거망동하지 않겠습니다요.,I promise never to act rashly again.
용서해주셔서 어찌나 다행인지…,we’re so glad you forgave us--
누가 용서를 했는데?,when did I say I was going to forgive them?
으아아악!,aargh!!!
"영애, 눈을 감는 게 좋겠어요.","it would probably be best if you closed your eyes now, lady fiona."
귀는 제가 가려드릴 테니까요.,don’t worry about covering your ears because I’ll do that part myself.
예?,pardon me?
예에…,okay...
"자, 됐어.","alright, alright."
"자르진 말고, 한 대씩 세게 두들겨 줘.",don’t chop anything off. just give ‘em each one hard punch instead.
그래.,sure thing.
흐갹…,gah...
"그리고 그 전에,","and before you get punished,"
내 얼굴 잘 보렴.,take a good look at my face first.
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you need to remember whose orders you shouldn’t disobey when carrying out missions.
네에…,"y-yes, ma’am..."
죄송합니다…,forgive us...
잊을 수 있겠냐고.,as if anyone could forget something like that.
설교는 이제 끝난 것 같고.,"well, looks like our little lecture is over."
이젠…,now then...
집행이군!,time for their punishment!
꺄아아아아악!!,aaagh!!!
다음.,next up.
커어억!!,argh!!!
"이곳이,",is this place...
어둠에 삼켜진 곳인가.,...the land devoured by darkness?
시신 수습도 못 하겠네요…,the bodies can’t even be recovered...
"전하, 앞으로 어떻게 하실 건가요?","what are you planning to do next, your highness?"
"이쪽을 거점으로 잡고,",this area shall serve as our base camp.
본격적으로 숲에 있는 마물을 토벌해야겠지.,"from here, we must begin hunting all the monsters within the forest."
피오나 영애는 아카데미의 연구원들과 있는 게 낫지 않을까.,lady fiona had better stay behind with the academy researchers.
제법 일이 많아 보이더군.,they seem quite busy themselves.
음…,hm...
"위험한 곳에는 안 내보내겠다, 이거지?","because he doesn’t want her to venture into dangerous places, right?"
전하.,your highness.
사적인 일과 공적인 일은 구분해야죠.,work and personal matters mustn’t mix.
내가 있을 곳은 이곳이 아니야.,my place isn’t here anyway.
알잖아?,you know that too.
발그레…,blush
"미인계, 통했다.",that worked beautifully.
일단 황제 폐하께 칙령도 받은 몸이니 열심히 일하죠.,let's work diligently since we received imperial orders from his majesty himself.
초반만 아주 잠깐 나갔다 와.,go ahead and take some time off during the early stages.
와아.,wow.
…아벨이 빨리 돌아와서 네 대타가 되어야 하는데.,abel needs to come back quickly so he can cover for you.
스승님을 부려 먹을 생각뿐이구나.,all she wants to do is use him.
여전히 사이가 좋으시네요.,looks like they still get along well.
…대체 어딜 봐서요?,where exactly makes you think that?
"이런, 어딜 봐도 어린 시절처럼 다정하신데요.","oh, but they’re being affectionate toward each other just like they were when they were young."
겉모습이야 두 분 다 콩나물처럼 쑥쑥 자라셨지만.,"of course, both of them grew taller than bean sprouts."
어.,oh.
"경, 이거 떨어뜨렸어요.",k-knight pyotr! you dropped this.
아. 고맙습니다.,thanks very much.
경의 물건인가요?,is that yours?
네. 좀 보실래요?,yeah. wanna see it?
집에 두고 온 아내예요.,it’s my wife whom I left home.
떠나기 전에 듣자 하니 임신했다더군요.,"before leaving, she told me she got pregnant."
와악!,whoa!
그런 건 빨리 좀 말해요!,why didn’t you tell me sooner?!
제 옆이 아니라 부인 곁에 있어야 되잖아요?!,"instead of protecting me, you should’ve stayed beside your wife!"
"어쩔 수 없죠, 임무니까.",can’t help it. duty calls.
그래도 주군께서 예정일 전에 돌아가게 해 준다고 하셨으니까요.,"still, lord abel said I’d be able to return earlier than scheduled."
"아벨, 사람 부려 먹는 게 너무 독해!",he really knows how to make people work hard!
"좋아요,",okay.
제가 더 빨리 헤일론으로 돌아갈 수 있도록 해줄게요.,I'll try to finish things faster so you can return to hailon sooner.
감사합니다!,thank you!
너 말이지.,listen up.
아무리 서두르는 이유가 있다고 해도,"even though I understand why you wanted to hurry,"
숲에 번개를 난사하면 아군이 겁을 먹는단 말이다.,shooting lightning everywhere scares our allies.
아하하…,ahaha...
그래도 덕분에 일찍 끝났는걸.,"at least thanks to you, everything ended quicker."
어.,oh.
유니스 영애!,lady eunice!
피오나 영애!,lady fiona!
영애의 힘으로 이 죽은 땅을 복구시킬 수 있을 것 같나요?,do you believe lady eunice has enough power to restore this dead land?
"일부는 가능할 것도 같지만,","maybe partially,"
이렇게 넓은 범위의 죽은 땅은 저도 처음이라…,but I've never seen a vast stretch of dead lands like this before...
제 힘이 부족한 탓이에요.,it’s due to my lack of strength.
영애…,lady eunice...
그렇지 않아요.,not necessarily.
"성녀님은 한 분이고, 죽은 땅은 여러 개인데…","there may only be one saint, but many areas of dead land exist..."
애초에 혼자 부담하시는 건 무리입니다.,"to start with, it’s impossible for you to handle this alone."
"맞아요, 유니스 영애가 부족한 게 아니에요",right. it’s not because lady eunice lacks ability.
조바심 내지 말고 차근차근해봐요.,try taking it slow without rushing yourself.
그래요. 저희도 뭐든 도울게요.,exactly. we’ll also lend a hand however possible.
"어려운 부분이 있으면 혼자 앓지 말아요, 영애.","if you encounter any difficulties, don’t suffer through them alone, okay?"
여러분…,everyone...
다들 이렇게 응원해주시는데,"with everyone cheering me on like this,"
혼자 약한 소리를 할 수는 없어.,I won’t show weakness anymore.
걱정끼쳐 죄송해요.,I’m sorry for worrying you all.
저 힘낼게요…!,I’ll keep trying harder...!
"와, 기세 좋은데요.","wow, talk about determination."
이러다가 너무 금방 끝내버리는 건 아닌지 몰라.,"at this rate, maybe we’ll end up finishing way too soon."
"그, 그건 아무래도…",i-it wouldn’t matter either w-way...
농담이에요.,"jeez, I was joking."
