hangle,first_translate
애초에 피오나가 최종 보스가 된 이유,the reason why fiona became the final boss...
그것은 어둠과 계약한 힘을 통제하지 못하게 되었기 때문이다.,...was because she lost control over her powers after making a deal with darkness.
"그녀가 어둠과 계약한 데에는 여러 이유가 있었지만,","she had many reasons for doing so,"
결정적인 요인이 된 인물은 바로 아렌트였다.,but the person that made up her mind was none other than arendt himself.
그리고 현재 내가 빙의한 몸은 피오나.,and right now I’m possessing fiona’s body.
솔직히 아렌트를 까먹고 있던 이유는 간단하다.,"to be honest, there's one simple reason why I forgot about him until now."
지금까지 내가 시그렌을 너무 신경 쓰고 있었으니까.,it's because all my attention has been on siegren this whole time.
시그렌~,siegren...
작품 중반부터 등장했을 아렌트가,I didn’t think he’d appear here already when his character doesn’t even show up until halfway through the story.
원작 시작 전인 지금 벌써 내가 있는 곳에 등장할 줄이야.,this isn’t supposed to happen yet since we’re still at the beginning of the novel.
"수도에 인구가 얼마나 많은데,","with how big the capital city is,"
어떻게 이렇게 아렌트와 운명처럼 마주칠 수가…,how did I run into him like fate brought us together or something--
순수하게 확률로 따져도 굉장히 낮을 텐데.,"even statistically speaking, the chances would have been very low."
나는 대체 얼마나 운이 안 좋은거야?!,do I really have such bad luck?!
아렌트 클로비스.,arendt clovis.
"키워드는 계략남, 나쁜남자.",his keywords are “schemer” and “villain.”
"다른 사람은 다 똥같이 여기지만,","while everyone else thinks he’s trash,"
내가 사랑하는 여자 앞에서는 다정하지.,"in front of the woman he loves, he becomes affectionate."
분명 여주인공 시점으로 읽으면 꽤 재밌고 설레는 인물이다.,"from the heroine’s perspective, he must’ve seemed quite charming and exciting."
"하지만 제 3자의 입장에서,","but from someone else’s point of view,"
심지어 현실에서 마주친다면?,"or worse, meeting him in real life?"
냅다 도망쳐야 할 성가신 캐릭터 1순위다!!,you'd want to run as far away from him as possible!!!
아렌트는 겉모습이랑 달리 성격이 엄청 더럽다구.,"unlike what you might expect based on appearance alone, arendt actually has a terrible personality."
"에라, 모르겠다.","well, oh well."
여차해서 일이 꼬이면 내가 먼저 쟤를 암살해 버려야겠다.,"if push comes to shove, maybe I’ll just assassinate him first."
날 최종보스로 만들려는 모든 캐릭터를 죽이면,"that way, by killing off every character trying to turn me into the final boss,"
나는 선량한 피오나로 살아갈 수 있겠지.,I can live happily ever after as good ol’ fiona.
하하핫!,muahaha!
피오나 아가씨…?,lady fiona...?
…잽싸게 도망쳤네.,she ran out quickly.
나이는 기껏해야 10대 후반 쯤 될까.,she looks no older than late teens.
나를 알아보는 것 같던데.,but she seems to recognize me.
