hangle,first_translate
난 네 손을 잡으면―,when I hold your hand...
너와 달리 그 이상이 떠오르거든.,"unlike you, I think about more than that."
"처음에는 껴안고 싶고, 만지고 싶지.","at first, I want to hug you... touch you..."
또 그 후에는…,and then after that--
어?,huh?
"잠깐,","wait,"
"잠깐만, 이거 혹시,",w-wait a second... is this what I think it is?
키―,k--
꿍,mm
"정신 좀 차려, 피오나.","come on, fiona. snap out of it."
참내,goodness...
…키스가 아니었구나!,it wasn’t a kiss!
"어, 그러니까.","uh, so..."
상황을 정리하자면…,let me get this straight...
나랑 성적인 의미로 이것저것 하고 싶다?,do you wanna do things like that with me for real?
"저번부터 생각한 건데,","I’ve been thinking since last time,"
좀 더 그럴듯하게 정리할 수는 없어?,but can’t you put it into better words?
아니면 진짜 내 말이 그렇게 들린 거야?,or did my question really sound like that?
으음…,hmm...
"그런 그냥 네 젊은 날의 본능에 따른 거니,","is it just because of your youthful instincts,"
아니면…,or...
피오나.,fiona.
내가 여자만 보면 눈 돌아가는 한심한 놈처럼 보여?,does it seem like I’m some pathetic guy whose eyes spin at every woman he sees?
너라서 그런 생각이 드는 거라고.,"no, it’s only because it's you."
"정확히는,","to be exact,"
너만.,it’s only you.
…이거 고백이야?,is this... a confession?
그래.,yep.
고백이야.,this is a confession.
내가 널 좋아해.,"I have feelings for you,"
피오나.,fiona.
시그렌…,siegren...
긴장 풀어.,take your time.
얼마든지 생각해도 괜찮으니까.,you don’t need to rush anything.
혹시나 다른 녀석들이 채갈까 봐,the reason why I confessed now was because...
서두른 것 뿐이야.,...other guys might take you away from me if I didn’t hurry up.
…그럼.,"alrighty, then."
"잘 자, 피오나.","night, fiona."
"이, 이거…",th-this isn’t...
개꿈은 아니겠지?!,"a dream, right?!!"
한숨도 못 잤다.,I couldn’t sleep all night.
어젯밤 일이 역시 꿈이 아니었던 거겠지…,that must mean everything that happened yesterday wasn’t a dream either...
피오나.,fiona.
어제 시그렌하고 뭔 일 있었구나.,something clearly went down between you and sieg last night.
눈치가 귀신같네.,how’d you know?
아…닌데요.,i-it didn’t.
어느 쪽이냐.,then which one is it?
