hangle,first_translate
황태자가 불법 투기장에서 잡혔다는 소식은 순식간에 퍼져나갔다.,the news that  the crown prince was caught at an illegal arena spread like wildfire.
"사교계 어디에서나 황태자의 추문을 소곤거렸고,",everyone from all corners of high society whispered amongst themselves about his scandalous behavior.
이 소식을 들은 황제는 길길이 날뛰었다.,"and when the emperor heard this news, he flew into a rage."
에녹!,enoch!!!
이게 대체 무슨 망신이냐!,this is absolutely humiliating for our family!
네가 감히 황실의 명예를 실추시켜?!,how dare you bring shame upon the imperial name?!
"아, 아버지!",f-father! I--
전 시그렌 그놈의 함정에 빠진 것입니다!,I fell prey to one of siegren’s traps...!
듣기 싫다!,silence!
이 멍청한 녀석!,you fool!
황자는 황족으로서 불법 투기장을 단속했을 뿐이다.,his highness merely went undercover as part of efforts to crack down on these arenas.
거기다 클로비스 후작과 힘을 합쳐 국고를 채우는 데 도움까지 주었지!,"in fact, by joining forces with marquess clovis, we were able to fill up the national treasury!"
모두 황자를 얼마나 칭찬하는지 모른다!,now everyone praises him even more than before!
"그, 그런…",b-but father--
꼴도 보기 싫다.,get out of my sight.
"당분간 사교계 출입을 엄금하고, 네 성에서 근신하거라!","for now, stay away from high society and remain confined within your palace walls!"
이게 전부… 그 자식 때문이야…,it's because of that bastard...
반드시 죽여버리겠어…,I'll kill him...
반드시…,mark my words...
"고마워요, 피오나 영애.","thank you so much, lady fiona."
덕분에 청혼서를 거절할 수 있었어요.,"all thanks to you, I could reject the proposal letter."
리비아 영애가 잘해 준 덕분이죠.,"no need to thank me. after all, it was only possible due to what happened last time."
어쩜 이리 겸손하실까.,lady livia really is too humble sometimes.
지난번의 투기장 사건 이후…,"after the incident at the arena,"
황태자는 불법 투기장에서 부린 추태가 알려져 근신 처분을 받게 되었다.,prince enoch received disciplinary action for disgracing himself there.
내가 어째서…,why did things have to turn out this way...?!
어째서…!!,why...?!
덕분에 리비아는 큰 문제 없이 청혼서를 거절할 수 있게 되었지.,"as such, livia was able to decline the marriage offer without any issues."
사교계에서는 리비아에 대한 동정론까지 돌고 있다니까.,rumors say people feel sorry for her nowadays.
당분간은 가여운 영애 노릇을 좀 해볼까요.,let's play along with being pitied for a while longer then.
정말 시원한 성격이야…,that girl has quite the carefree personality...
아렌트는 아렌트대로 크게 만족한 듯하다.,arendt also seems very satisfied.
하긴 그 많은 귀족에게서 재산을 뜯어냈으니.,"well, they managed to get their hands on money from those nobles."
"고맙습니다, 영애.","we’re grateful for everything you’ve done, my lady."
이걸로 한동안 재정에 걱정은 없군요.,"with this amount, we won’t have to worry about finances anymore."
"그런데 영애, 괜찮으신가요?","my lady, how do you feel about recent events?"
네? 뭐가요?,pardon? why would you ask that?
그 일 이후로 황자 전하의 인기가 더욱 올라갔잖아요.,"didn’t you hear? ever since then, his highness became even more popular among the ladies."
"보세요, 지금도…",look over there right now...
"두 분께서는 교제 중이신 것 같은데, 괜찮으신가요?","from what I see, it looks like both of you are seeing each other. does that not bother you?"
음…,uh...
아마도요…?,not particularly...?
어머…,good heavens...
관대하시네요…,what a generous soul she must be...
…시그렌.,siegren.
그 ‘문어 다리 걸친 연인에게 첫사랑이 농락당한 젊은이의 얼굴’은 뭐야?,"so tell me, what exactly is “the face of a young man whose first love cheated on them” look like?"
"저기, 방금까지 예쁜 아가씨들 사이에 있던 건 너거든?","hey, weren’t you just surrounded by pretty girls earlier?"
그런 표정을 지어도 내가 지어야지.,"if anyone deserves to make that expression, it’s me."
…안 짓고 있잖아.,"yet here you are, looking completely fine."
…윽.,argh...
나라고 뭐 마음 편하기만 한 줄 아나.,do you think I’m happy about this situation either?
애도 아니고 일일이 질투할 순 없으니까 그렇지.,I'm trying hard not to act childish and jealous.
"그보다,","anyway,"
아벨한테 연락은 없어?,has abel contacted us yet?
"아, 바로 어제 편지가 왔어.","oh yeah, I got a reply yesterday."
"피오나,","dear fiona,"
"죽음을 조사한다니, 아무리 너라도 힘들 것 같구나.","to investigate death itself will prove difficult, even for someone like yourself."
헤일론의 일이 바빠져서 당분간 돌아갈 수 없을 것 같다.,"things seem busy back home, so I don’t know if I’ll return anytime soon."
"말리지는 않겠지만,","I won’t stop you from doing whatever you want,"
대신 죽은 땅에서 도움이 될 만한 똥개를 하나 보내마.,"but instead, I’ll send you a watchdog that might help you during your journey through dead lands."
똥개…,a watchdog...
나도 무슨 뜻인지는 잘 모르겠는데…,I still don’t understand what he meant by that though...
그보다 놀라운 게 다음 줄에 쓰여 있지 뭐야.,"but anyway, the next line shocked me even further."
"…그리고,","additionally,"
이번 일은 잘했다.,nicely done regarding the matter with the arena.
네가 자랑스럽구나.,I couldn’t be prouder of you.
빨리 왔으면 좋겠는데.,I wish he’d come sooner.
"세상에, 스승님이 그리운 거야?",is miss fiona missing her teacher already?
…아벨이 있어야 네 근처에 이상한 놈들이 안 오지.,abel needs to hurry back so weirdos quit bothering you.
…그건 그렇지.,true enough.
아무튼 투기장 일은 이렇게 잘 끝났고…,at least the whole mess involving the arena ended well...
"당분간은 평온할 거라 생각했는데,","I thought life would go smoothly for some time,"
이게 대체 무슨 상황이지?,but what in the world is going on now?
전 리비아 영애에게 볼일이 있는 게 아닙니다만?,"I didn’t mean to intrude on you, but may I speak with lady livia?"
"안 돼요, 안 돼.","no, please leave."
피오나 영애는 바빠요.,lady fiona is busy.
"저… 저는 괜찮아요, 리비아 영애.","i-it’s alright, lady livia."
그리고 지금 도망쳐봤자 후작은 어떻게든 다시 찾아올걸요…,"running away isn’t gonna solve anything. besides, lord clovis will find another chance to meet you again..."
그렇다면…,then...
"조심해요, 영애.","be careful, my lady."
네.,alright.
단도직입적으로 말하겠습니다.,I shall cut straight to the point.
"영애, 사람이 맞긴 합니까?","tell me, are you human or not?"
사실 저는 어둠과 관련된 문제로 영애의 정체를 의심하고 있습니다.,"truthfully speaking, I suspect you aren’t based on certain connections related to darkness."
뭐지?,what?
왜 갑자기 어둠과의 상관관계를 따지는 거지?,why suddenly mention darkness?
대답이 없으시군요.,"there’s nothing else to discuss, huh?"
제게 왜 그런 질문을 하시는지 모르겠는데요.,I fail to grasp the reason behind your question.
의심하고 있는 상대에게 이유를 말할 수는 없겠죠.,"of course, I wouldn’t explain myself to someone I distrust."
…지금은 그 침묵을 대답으로 알겠습니다.,I suppose your silence answers my suspicions.
"아니,","wait,"
뭘 혼자 납득해요?,"hold on, pal!"
제 질문이 불쾌하셨다면 죄송합니다.,"if my questions offended you, I apologize."
그럴 의도는 아니었으니 용서하시길…,"that wasn’t my intention, so please forgive me--"
"뭐야, 대체…",just what...
내가 진짜 피오나가 아니라는 걸 알게 된 건가?,does he realize I’m actually not fiona?
"아니, 그걸 대체 어떻게 알아내는데?",but how did he figure that out?
답 안 나올걸 생각해봤자 어쩔 수 없어.,no use worrying about something unsolvable.
일이나 하자.,time to focus on work.
"슬슬 공문이 올 거라 생각했는데,","I knew official documents would arrive eventually,"
딱 타이밍에 맞았네.,but talk about perfect timing.
하지만 내 생각보다 사태가 심각해…,"still, the situation turned out worse than expected..."
최근 죽은 땅이 생겼다.,"recently, new areas of land died off."
규모는 전의 수 배.,the scale is several times larger compared to previous incidents.
게다가 일부는 마을이었던 터라 인명 피해까지 났다...,"on top of that, villages suffered damage resulting in loss of lives..."
심지어 영지 주변에 광폭화된 마물이 많아져 다른 영지도 애를 먹고 있음…,"also, many monsters near the borderlands ran amok causing problems for neighboring territories..."
이라니.,seriously?
"황실에서 요청했으니 거절할 수도 없고,","since the request came directly from the imperial family, we cannot refuse."
이렇게 된 거 열심히 해서 사람들을 돕자.,"seeing as matters reached this far, let’s put forth our best effort to aid others."
