hangle,first_translate
"잘 들어라, 피오나.","listen carefully,  fiona."
어니스트 공작은 내가 무슨 말을 하든 반대할 테니,"no matter what I say today, duke ernest will disagree..."
그냥 무시하거라.,so just ignore him.
네에?,pardon me...?
현 황후를 배출한 가문을 그렇게 대해도 되는 거예요?,is that how you treat someone from the family of the current empress?
된다.,it is.
"어니스트 가는 황태자를 지지하는 세력이니,","the house of ernest supports the crown prince,"
"새로운 황자인 시그렌을 보호하고 있는 헤일론과는 대립할 수밖에 없긴 한데,","and since we’re protecting the new imperial son, sigren, they’ll naturally oppose us."
그래도 무시라니…,"but still, ignoring them might not--"
어니스트뿐만이 아니야.,not only duke ernest.
에레즈 가문도 황태자 지지 세력이니 무시해라.,"marquess ereze also supports the crown prince, so ignore her as well."
프리실라랑 클로비스 가문은요?,then what about houses priscilla and clovis?
"중립이긴 한데,","they remain neutral for now,"
말이 중립이지 둘 다 그냥 간만 보고 있어.,but don’t let their words fool you. both families are waiting to see which way things go before making any decisions.
그렇구나.,I see.
사실 어느 정도 예상하던 내용이지만.,this was more or less what I expected anyway.
"헤일론 공작님, 어서 오십시오.","welcome back, your grace."
다른 분들께서는 안에서 대기 중이십니다.,everyone else awaits inside.
"그러니까 피오나, 결론만 말하자면…","to sum up everything I’ve said thus far, fiona..."
결론만 말하자면?,summing it all up?
내키는 대로 행동하라는 뜻이다.,do whatever you want.
참으로 아벨다운 조언이군.,that’s very much like something abel would say.
왔군.,he’s here.
아벨 헤일론 공작.,duke abel heilon.
내가 마지막인가 보군.,seems I’m last again.
와… 분위기 봐.,wow... look at this atmosphere.
분명…,certainly...
저 불만 가득한 사람이 어니스트 공작.,that man full of complaints must be duke ernest.
그 옆이 에레즈 후작.,next to him is marquess ereze.
아벨의 옆은 프리실라 후작.,on abel's right side is marquess priscilla.
그리고…,and finally...
내 진짜 정체를 곧 알게 될,"soon enough, he'll find out my real identity."
클로비스 아렌트 후작.,marquess arendt clovis.
왜 또 자리는 이렇게 맞은 편이어서~!,why do I always end up sitting across from everyone?!
헤일론 공작.,your grace.
옆에 있는 그 영애는 누구인지 궁금하군.,I wonder if you could tell me who that young lady next to you is.
이곳은 가주와 후계자 외에는 참석할 수 없는 자리이네.,she shouldn’t be allowed to attend such meetings unless she’s either the head of a noble household or its heir.
안 그래도 소개할 참이었지.,"as a matter of fact, allow me to introduce her."
이 아이는 피오나 헤일론.,fiona heilon.
내 뒤를 이을 후계자다.,my successor.
뭐…,huh...?
후계자…,successor...?
공작님에게 친딸이 있었습니까?,didn’t know his grace had a daughter.
"아니, 양녀지.","actually, she’s adopted."
…그렇다면 어느 가문의 아가씨를 양녀로 들인 건가?,"in that case, whose child did you take under your wing?"
그린 백작 가문입니다.,count green’s.
어차피 이건 조금만 조사하면 금방 알 수 있는 것이니….,you’d have found out soon enough after some research anyway...
그린 가문…?,the greens...?
그 가문은 현재 마약 관련 사업 혐의로,all members of that family are currently being investigated on charges related to illegal drug business dealings.
가문의 일원이 전부 조사받고 있을 텐데.,all members of that family are currently being investigated on charges related to illegal drug business dealings.
이미 결혼한 탓에 처벌을 면한 딸이 하나 있다곤 들었지만.,I heard there was one married daughter who managed to avoid punishment though.
"아뇨, 딸이 하나 더 있었습니다.","no, actually, there were two daughters."
그린가의 일을 제가 맡았기에 잘 알고 있죠.,"I took care of matters concerning house green myself, so I'm quite aware of these details."
"예, 다들 어느 정도 예상하시겠지만,","yes, most of you probably already guessed by now,"
전 그린가의 사생아입니다.,but I am indeed the illegitimate daughter of house green.
제가 처벌을 받지 않은 건 그 전에 호적에서 사라졌기 때문이죠.,the reason why I wasn’t punished along with the rest of my family is because I left home long ago.
"몰락 귀족인 걸로 모자라,",an illegitimate child from a fallen aristocratic family?
사생아라고?,an illegitimate child from a fallen aristocratic family?
심지어 갓 성인이 된 여자애다.,a mere girl barely into adulthood no less!
본래 아들한테 가문을 물려주는 것이 원칙이거늘!,"normally, titles are passed down through sons!"
"지금 우리를 시험하는 건가,","are you testing our patience,"
헤일론 공작?,duke heilon?
그럴 리가.,of course not.
인정할 수 없네.,I can never accept this.
몰락 귀족 가문의 사생아가 헤일론 공작 작위를 물려받다니.,an illegitimate child from a fallen noble family inheriting the title of duke heilon?
헤일론 가는 제국의 주요 가문 중 하나네.,house heilon is among the major households within the empire.
그런데 이토록 안하무인으로 행동하면 귀족 사회의 기강이 어떻게 되겠는가!,"if you act however you please without regard for others, think of what kind of impact that has on society!"
어떻게 되는지 궁금하니,"if you wish to learn exactly what happens when people disregard social norms,"
내 딸에게 꼭 작위를 물려줘야겠군.,I shall make sure to pass down my title to my own daughter instead.
살벌해…,scary...
어쨌거나 어니스트 공작이 무슨 생각을 하는진 알겠어.,at least now I understand where duke ernest stands.
공작은 머리가 굳을 대로 굳은 사람이다.,he’s stubborn beyond belief.
"내가 사생아에다 여자고,",being an illegitimate female child...
거기에 어리기까지 하니 절대 인정할 수 없단 거다.,...who hasn’t even reached maturity yet makes me unacceptable in his eyes.
이대로 가다간 틀림없이 귀찮아지겠네.,things may get complicated later on.
어니스트 공작님.,your grace.
공작님이 불안해하시는 이유는 충분히 알겠습니다.,I fully understand why you feel uneasy about this situation.
"예컨대, 제 능력이 미숙하여 가문을 지탱하기 힘들 걸 염려하시는 거겠죠?","for instance, perhaps you worry whether I possess sufficient skills to manage the duchy properly?"
같은 귀족 사회의 일원으로서요.,"as fellow nobles, I believe we share similar concerns regarding the future of our respective households."
"그래,",ahem.
어쨌든 공작보다는 이야기가 통하는군.,"anyway, looks like talking to you is easier than speaking with your father."
그렇다면 어떤 식으로 제 능력을 증명해야,then how do you suggest I prove my abilities...
공작님의 불안이 줄어들까요?,...in order to alleviate your worries?
증명이라니!,prove yourself?
너 같은 애가 딱히 할 수 있는 일은…,what could a little brat like you possibly do--?
"아니지, 그게 좋겠어.","wait, that isn’t a bad idea."
헤일론은 제국의 방패.,house heilon serves as the shield of the empire.
그 지방의 영주라면 응당 마물에 대응할 줄 알아야겠지.,"thus, anyone ruling over those lands needs to demonstrate proper combat skills against monsters."
그러니 곧 열릴 사냥 대회에서 우승해 보여라.,"therefore, win first place at the upcoming hunting competition."
"네가 우승하면, 나 역시 더 이상 참견하지 않겠다.","if you succeed, then I won’t bother you anymore."
꿀 먹은 벙어리가 되었군.,now she’s speechless.
하긴 칼자루 한 번 잡아보지 못했을 여자애한테 마물이라니.,"after all, a woman who’s never held a sword wouldn’t stand a chance against monsters."
내 딸아-!!,my dear daughter!!!
마물의 꼬리만 봐도 기절할 터.,she'd faint merely upon seeing a monster's tail.
헤일론 공작의 창피가 눈에 선 한…,how embarrassing for duke heil--
알겠습니다.,alright.
마물 사냥 대회에서 우승하겠습니다.,I promise to come in first during the monster-hunting tournament.
의외로 정말 간단한 일이라 놀랐네.,I didn’t expect things to resolve themselves so easily.
"그럼,",then...
어니스트 공작님이 하신 제안의 증인은 우리가 하겠습니다.,"we shall serve as witnesses to your proposal, your grace."
"그, 그러도록 하지.",v-very well.
…마물을 잡는다는 게 무슨 뜻인지는 아는 거겠지?,"by the way, do you even realize what fighting monsters entails?"
당연히 이해하고 있죠.,of course I do.
도망치거나 숨지 않으니 걱정하지 마세요.,"don’t worry, I won’t run away or hide."
확실히 처리해 보겠습니다.,I’ll deal with them once and for all.
휴우.,phew.
간담회가 무사히 끝나서 다행이다.,glad the meeting ended smoothly.
공작님은 먼저 내려가셨나 보네.,looks like his grace went downstairs ahead of me.
피오나 영애.,lady fiona.
이… 이 목소리는…,th-this voice sounds familiar...
이런 곳에서 다시 뵐 줄은 몰랐습니다.,I didn’t expect to meet you here.
셀.린.양.,sel-lin.
아렌트 클로비스!,arendt clovis?!
