hangle,first_translate
추워!,it’s so cold!
"피,피오나 님! 경계에 집중해주세요!",l-lady fiona! please focus on your watch!
그러다가 마물이라도 오면 어쩌시려고요!,what if monsters come while you’re distracted like that? what will we do then?!
아..,oh...
오늘 처음 출전한 병사였지?,"this is his first time out here as a soldier, right?"
이름이 알렌이던가.,his name was allen or something.
걱정 마세요. 저는…,don’t worry about me.
충분히 집중하는 중이에요.,I’m focusing just fine.
"하, 하아...",haa... hah...
내가 발견하지 않았으면 큰일 났을 거예요.,"if I hadn’t noticed them earlier, things would’ve been bad for us."
난 신경 쓰지 말고.,don’t worry about me.
우선 차분히 주변을 둘러보도록 해요.,let’s take our surroundings into account first.
한눈팔면 마물의 저녁밥이 될 테니까요.,"the moment you let your guard down, you’ll become dinner for those monsters."
...우...,uhh...
우으...,mm...
"…앗, 생각보다 많이 겁먹었네.","oops, he seems more scared than expected."
좀 달래줄까.,should I try comforting him?
겁먹지 말아요.,try not to get too nervous.
그런 일이 없도록 지켜 주기 위해서,that’s why I came along today--
제가 함께 온 걸요.,to make sure nothing happens to you.
그럼 같이 힘내봐요.,"now, shall we work together?"
피…,l-la-- lady fiona...!!
피...,f-fio--
피오나 님…!!,fiona...!!
"히,",eek!
히이이익?!,aargh?!
마물의 머리다앗!!!,it’s a monster head!!!
"....하아, 정말.",sigh... really now.
이러면 달래준 보람이 없는데.,all my efforts at trying to comfort him were for naught.
아직 어린 신병이니까,"come on, don’t forget this kid is still new around here."
좀 더 신경을 써줘야 하는 거 알잖아.,you need to look after him better.
흥.,hmph.
멍하니 있지 말고 피했으면 될 일이야.,then maybe he shouldn’t have stood there frozen stiff instead of dodging.
시그렌… 예전엔 예쁘장한 느낌이 남아 있었는데.,"siegren used to give off such a pretty boy vibe before,"
"이제는 이런 잔혹한 풍경에 서 있는데도,","but even when standing amidst all these gruesome scenes,"
"음… 뭔가 무섭다기보다도,","well... rather than being scary,"
어쩐지 어울리는―,"for some reason, it suits him quite well---"
…시그렌.,siegren.
날카로운 미남이 됐단 말이야.,he’s turned into one sharp-looking young man.
왜.,why are you looking at me like that?
얘가 아직도 사춘기인가.,isn’t he over puberty yet?
성년도 지난 열 아홉 살이면서!,and he’s already nineteen years old!
왜긴 뭐가 왜야.,“yet”? “over”?
사람을 놀라게 했으면 사과를 해야지.,"when you scare someone, you gotta apologize afterward."
아벨이 신참교육 확실히 하랬잖아.,abel told you to train the newbie properly.
고작 이 정도로 놀라면 곤란한 건 이쪽이지.,"if they can’t handle this much, how am I supposed to trust them during real battles?"
이건…,this is only...
시작일 뿐인데.,...the beginning.
우린 죽었다….,we’re dead...
시그렌…!,siegren...!
뭐.,what?
"아벨이 평소에 다른 사람들이랑 지내는데 큰 문제는 없었댔는데,","according to abel, you usually get along with other people without any issues."
내 앞에선 왜 늘 이렇지?,so why must you always act like this toward me?
좀 있어 봐.,give me a break.
여러분! 걱정 마세요.,everyone! no worries.
저도 처음에는 여러분이랑 똑같았어요!,"at first, I was exactly where you guys are right now!"
여러분도 곧 잘하실 수 있을 거예요!,"soon enough, you’ll also learn to fight well!"
"저, 질문 있습니다!!",excuse me!! may I ask a question?!
"병, 병사들 중에 피오나 님을 호위할 사람을 뽑는다고 들었습니다!","I-I heard that among the soldiers, you’d choose someone to escort you personally!"
"저, 저도 신참이지만 열심히 하면 뽑힐까요?!","i-if I work hard despite being a rookie myself, could I possibly qualify?!"
뜻밖의 질문이네…!,talk about unexpected questions...!
아!,oh!
"나랑 같이 다니는 병사들은 베테랑이니까,","my escorts are veterans,"
신참 입장에서는 동경하게 되는 것도 무리는 아니지.,so it makes sense that rookies might admire their position.
물론이에요.,of course.
기다리고 있을게요.,I’ll wait for you.
빠,flash
득,flash
감히 눈에 빤히 보이는 수작질을…,doing whatever she wants because everyone has eyes on her...
진짜 그만해~~,stop it already!
병사들 또 기죽으면 어떻게 하려고~!,or else you’ll discourage the others again!
어쩐지 날이 갈수록,"for some reason, I feel like siegren is becoming more and more like abel by the day..."
시그렌이 아벨을 닮아 가는 느낌이 든단 말이야…,it’s already been five years since I arrived at airnwood.
내가 헤일론에 온 후 벌써 5년이란 시간이 지났다.,it won’t be long until the events from the original story begin.
원작의 시작까지 얼마 남지 않았다는 뜻이다.,"right now, I’m eighteen years old."
벌써 내 나이는 열여덟 살.,"as for siegren, he’s nineteen."
시그렌은 열 아홉살이다.,"as for siegren, he’s nineteen."
물론 몇 개월 뒤면 둘 다 한 살씩 더 먹을 예정이고.,"in several months, both of us will turn another year older."
그동안 시그렌은 어린 시절의 다짐을 지켰다.,"up till now, siegren kept his childhood promise."
"원작의 흐름대로 아벨에게 검을 배우는 중이고,","just like in the novel, he learned swordsmanship under abel,"
헤일론 성을 자유롭게 드나들 수 있는 위치에 올랐다.,and rose up high enough to enter and leave airnwood castle freely.
"이제 이곳에서 시그렌의 강함을 무서워할지언정,","while many fear siegren’s strength,"
그를 함부로 대하는 사람은 아무도 없었다.,no one dares treat him carelessly anymore.
"나는 나름대로 초기의 인생 계획,","on my end, I worked diligently according to my initial life plan..."
즉 평화로운 삶을 이루기 위해 열심히 노력했다.,...in order to live a peaceful life.
나는 성벽을 지키는 대가로 상당한 보수를 받았다.,"I received considerable compensation for protecting the city walls,"
마물의 재료를 판 돈도 꽤 많고.,not to mention selling materials obtained from monsters brought in plenty of money.
솔직히 평생 먹고살 걱정이 없을 정도다.,"to put it bluntly, I earned enough to last me a lifetime."
이제 난 시그렌이 유니스와 만나서,"now, all I had left to do was see siegren meet eunice..."
"주인공답게 황금 길을 걸어가는 모습만 확인하고,",...and walk the golden path as the protagonist.
행복하렴~,"be happy, dearie!"
한가로운 생활을 보내면 땡이었다.,"with that done, I planned to spend the rest of my days leisurely."
그런데,but...
이 안락한 계획을 방해하는 사람이 있었으니…,there happened to be someone who ruined my comfortable plans...
"피오나,","fiona,"
이전에 내가 한 제안에 대해서는 생각해봤느냐.,have you thought through the offer I made previously?
…그거 말이죠.,about that...
이 제안이 내 미래 계획을 방해하는 가장 큰 요소다….,this proposal is the biggest obstacle hindering my future plans...
어서 아버지라 불러보거라.,go ahead and call me father.
…하아.,haa...
그랬다. 아벨이 내게 최근에 한 제안은 바로,"yes, recently, abel asked me..."
‘양녀가 되어라’.,...if I wanted to become his adopted daughter.
거절하겠습니다.,I refuse.
고민하는 기색이라도 좀 보여라.,can’t you think about it longer?
하지만 제 인생 계획은 헤일론에 왔을 때부터 짜 놓은걸요.,but I set my life goals ever since arriving at airnwood.
시그렌을 결혼시키고 평화로운 곳에서 노후 생활을 보내야 해요.,I need to marry off siegren and retire peacefully somewhere nice.
불쌍한 시그렌 녀석...,poor little siegren...
