hangle,first_translate
"피오나,","fiona,"
아벨이 오늘 네 소개도 정식으로 할 생각이래?,is abel going  to introduce you today as well?
아닌 걸로 알고 있어.,I don’t think so.
난 다음에 한다고 말하더라고.,he said that would happen next time.
그래…,okay...
"널 에스코트하고 싶은데,",it’s too bad I won’t get to escort you tonight.
아쉬운 일이야.,that is unfortunate.
헤일론에서 실컷 했잖아.,but we did plenty at airelle.
흥.,hmph.
둘 다 아주 여유가 넘치는 군.,you two are quite laid-back about this whole thing.
"꼬맹이들, 소꿉놀이 시간은 끝났다.","alright kids, playtime's over now."
"두 번째 돌멩이, 넌 알아서 굴러가고.",the second pebble will roll on its own.
첫 번째 돌멩이는 나와 함께 간다.,and the first one comes with me.
돌멩이?,a pebble...?
"네네, 첫 번째 돌멩이 굴러갑니다…","yup, here goes the first pebble..."
앗…!,oops...!
바닥에 부딪힌…,did she just trip--
다?!,--and fall?!
큰 일 날 뻔했네…,she almost hurt herself badly there...
둘 다 고맙…,thank you both for helping m--
피오나!,fiona!
조심 좀 해라.,watch where you’re walking.
…쯧.,tsk...
익숙해질 때까진 날 잡아라.,"until you get used to these heels, hold onto my arm."
똑바로 걸어.,now walk properly.
우리는 이쪽 마차다.,this carriage belongs to us.
알겠어.,gotcha.
"그나저나, 피오나.","by the way, fiona."
네가 여기 있기로 결정했다고 들었는데.,I heard you decided to stay here.
시그렌 녀석의 꾐에 넘어갔나 보군?,has sieg been whispering sweet nothings into your ear or something?
…친구의 슬픔을 모른 척 할 수 없었던 거예요.,no... but how could I ignore his pain when he was crying like that?
"헤일론 가문을 이어받아야 하는데,",but shouldn’t you return home soon?
이렇게 물러서야 되겠나.,"after all, you have to inherit house haylon someday."
헤일론 저 안 주셔도 괜찮은데요.,please keep house haylon for yourself.
그런 얘기나 하고…,why do you say such things...?
넌 내가 왜 하필 너를 택했는지 궁금해하지도 않는구나.,aren’t you curious why I chose you out of everyone else?
그야 내가 아벨의 사정을 알고 있으니까.,of course not. because I know what abel wants.
"아벨은 황실의 방계 핏줄로,","as someone from a distant branch of the royal bloodline,"
황제를 매우 싫어한다.,abel hates the current emperor very much.
현 황제는 젊었을 적,"when the emperor was young,"
"자신을 위협할 만한 혈육은 전부 죽이거나 쫓아냈고,",he killed off anyone related by blood who threatened him.
아벨의 가족 또한 그 피해자였으니까.,abel’s family were among those victims.
만약 아벨이 자식을 낳는다면,"if abel ever has children,"
"그 자식 또한 황실의 핏줄이 되고,","then they’ll also carry the imperial bloodline,"
멀더라도 계승권을 가지게 되니…,meaning they’d still have rights to succession even if their connection is far removed.
"괜한 견제를 받거나,","to avoid unnecessary conflict,"
그 이상으로 아이의 목숨이 위협받는 상황을 만들기 싫은 거겠지.,"or worse yet, putting his child’s life in danger,"
피오나.,fiona.
어쨌든 이제부터 네 이름은,"from now on, your name shall officially become..."
‘피오나 헤일론’ 이다.,“fiona haylon.”
…알겠습니다.,understood...
좀 더 기뻐해 보거라.,try sounding more excited.
그리고…,and...
나를 아버지라고 불러 보거라.,call me father.
끈질겨요.,how persistent.
"―여러분, 들으셨어요?","excuse me, ladies."
오늘 그 ‘사생아’가 등장한다죠?,did you hear that bastard son is making his debut today?
"쉿, 말조심하세요.","shh, watch your mouth."
폐하께서 정식 황자로 임명한다는 소문이 있으니까.,rumor says his majesty plans to make him an official prince.
"듣자 하니, 무척 잘생기신 분이래요.","apparently, he’s extremely handsome."
"어머, 저는 굉장히 험상궂은 분이라 들었는데요?",really? I’ve only heard terrible rumors about him.
하긴 그 척박한 헤일론에서 왔다고 하니까요.,"well, he does come from that barren land called airelle."
"그러고보니,","come to think of it,"
헤일론에는 강하지만 매우 잔혹한 마법사가 산대요.,I heard there lives a powerful but brutal magician in airelle.
다 죽여버리겠다!!,I’m gonna kill them all!!!
맞아요! 화가 나면 폭풍이 휘몰아친다 들었어요.,right! people say storms rage whenever he gets angry.
"프리실라 영애,","lady priscilla,"
영애는 이 이야기를 어떻게 생각하세요?,what do you think about all this?
글쎄요.,not really sure.
뭐가 되었든 일단 보고나서 결정해야 할 일이 아닌가요?,"let’s see him before deciding anything, right?"
"역, 역시 그렇죠?",e-exactly!
저도 그렇게 생각했어요…!,I thought the same thing myself...!
하지만…,"but honestly,"
"안 그래도 최근 하급 귀족의 딸이 성녀로 증명되어 소란스러운데,","with news spreading recently about some lowborn lady being declared saintly,"
사생아인 황자라니요.,I can hardly stand hearing any more gossip about bastards.
떠드는 소리가 너무 요란해 머리가 아플 지경이네요.,my head hurts from listening to all this nonsense.
"그쵸, 그쵸!",totally agree!
호오.,oho.
저 청년이 소문의 그 사생아인가 보군.,that must be the bastard son everyone keeps talking about.
아벨 헤일론 공작이 함께 있잖아?,duke abel haylon is standing beside him.
헤일론 가문이 저 청년을 지지한다는 소문이 사실인 모양이야.,seems the rumor about house haylon supporting him is true after all.
당당하게 있어라.,be confident.
…네.,"yes, sir."
어쩜! 늠름하신 분이었네.,oh wow! look at him go!
얼굴에서 빛이 나요…,he shines so brightly...
"프리실라 영애, 저 청년에게 관심이 있으신가 봐.","do you take interest in that man, lady priscilla?"
"어, 설마.",n-not at all.
지금 나랑 눈이 마주친 건가?,"wait, did our eyes meet just then?"
예쁜 언니가 날 봐줬어~,an adorable girl looked at me!
"…가 아니라,",nope.
어디 보자.,let’s see...
귀족 영애 사이에서 군림하는,"long red hair,"
적갈색 머리카락의 미인이라면…,"ruled supreme amongst noblewomen,"
"악역, 리비아 프리실라잖아?",and plays the villainess role...?
리비아 프리실라.,livia priscilla.
"본인의 욕망에 충실해서 원하는 건 가져야하는 성격인데다가,",she always acts according to her desires and takes whatever she wants.
혈통에 대한 자긍심과 자존심도 매우 높은 사람이다.,"on top of that, she holds great pride in her lineage and self-esteem."
"시그렌을 처음 본 순간부터 흥미가 생겨,","since the moment she met siegren, she became interested in him."
"여주인 유니스에게 사사건건 훼방을 놓다,","she constantly tries to sabotage ennis, the main character,"
나중에 왕창 깨지고 퇴장하는…,but ends up getting destroyed later on...
"즉, 흔한 유형의 악역 캐릭터.","in other words, she’s your typical villainous character type."
나와 같은 악역 라인이라 어쩐지 좀 정감이 가는걸.,"for some reason, I feel sympathetic toward her since we share similar roles."
시그렌 말고 다른 좋은 사람을 찾아보는 건 어떠냐고,I want to advise her to find another good person instead of siegren.
조언이라도 해주고 싶을 정도…,just how wicked am I...?
이 죄 많은 남자.,ahem
…근데 아까부터 좀 이상하다?,"but wait, isn’t this strange?"
"저 언니,",that woman...
시그렌이 아니라,"instead of looking at siegren,"
나만 보는 것 같은데?!,her gaze seems fixed solely on me!!!
