hangle,first_translate,review,idiom
아벨….,abel...,Abel...,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
이미 시그렌의 뒷조사를 마친 건가?,did you already finish looking into siegren’s past?,Have you already finished looking into Siegren?,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
시그렌이 황자란 것도 이제 알았겠지.,"I’m guessing that by now, you know he is actually prince bernhart.",I’m sure you’ve realized by now that Siegren is a prince.,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
"어쩔 수 없다, 이럴 땐….",well... I suppose there's no choice but to--,I have no choice in times like this...,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
무슨 말씀을 하시는지 잘 모르겠어요.,"sorry, your grace. what are you talking about?",i don't quite understand what you're saying.,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
"평범한 귀족 사생아가 황실의 비밀을 알고 있다니, 수상하니까.",it seems suspicious for someone like him to have knowledge of such sensitive information regarding the imperial family.,It's suspicious that an ordinary noble bastard knows the secrets of the imperial family.,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
"제가 들은 건 시그렌이 고아고,",all I found out was that siegren grew up as an orphan...,"All I heard was that Siegren was an orphan,","내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
줄곧 용병단에서 허드렛일을 했다는 것 뿐인걸요.,...and worked odd jobs at various mercenary groups his whole life.,He only did odd jobs in the mercenary group the whole time.,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
"윽, 내 속을 들여다보는 듯한 저 눈빛….",his eyes seem to see right through me...,"Ugh, that gaze feels like it's seeing right through me...","내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
이만 넘어가 줘~!~!,let this one slide!!!,Just let it go~!~!,"내 속을 들여다보는 듯한 저 눈빛 : That gaze feels like it's seeing right through me
양날의 검 : a double-edged sword
은혜는 열 배로, 원수 역시 열 배로 갚지 : repaying kindness tenfold and vengeance just as much
속도 없이 헤헤거리는 : laughing carelessly without a thought
삐져 있어 : sulking
약육강식 : survival of the fittest
강약약강 : the strong prey on the weak, and the weak submit to the strong"
