hangle,first_translate
남의 남자 탐내지 마세요.,don’t try to steal someone else’s man.
이건 지금 내 거거든.,because he belongs to me right now.
돌아가겠어요!,I’m going back inside!
"자, 잠깐!",w-wait...!
헤더 영애!,lady ethere!
기다려요!,wait for us!
도망갔다.,she ran away...
이 정도에 꼬리를 말 거면 왜 시비를 거는지 몰라.,"if she was gonna run off like that, why did she even come here?"
"그렇지, 시그…","right, sig--"
…엇.,huh...?
얼굴이 왜 그래?,what's wrong with your face?
정신 차려. 어제는 이보다 더 했잖아.,come on! we’ve done more than this before.
네가 하는 거랑 내가 하는 건 느낌이 다르다고….,it feels different when you do it versus when I do it...
그래도 그냥 입술에 가볍게 했을 뿐이잖아?,"still, all I did was brush my lips against yours lightly."
어제는…,yesterday...
"맞다,",that’s right!
유니스가 있었지!,eunis was there too!
죄송해요.,my apologies.
자리 비켜 드릴게요…!,let me give up our seats...!
"아, 아니요.","n-no, please don’t worry about it."
저희가 나갈게요.,we’ll leave instead.
"가시죠, 전하.","let’s go, your highness."
내일 출정 준비를 하셔야죠!,you have to prepare for tomorrow’s departure!
다음날,the next day
이곳에서 잠시 휴식하겠습니다!,we will take a short break here!
"망했어, 망했어.",this is bad. really bad.
도착할 때까지 유니스 영애와 같은 마차는 절대 못 탈 거야,now I won’t ever get to ride in lady eunis’ carriage again until we arrive at our destination.
그게 그렇게 큰일인가.,is it such a big deal?
나한테는 그래.,"for me, yes."
좀 친해져서 유니스의 힘을 확인하려 했단 말이다.,I wanted to become friends with her so I could check out what kind of powers she has.
"그런데 코앞에서 사람 협박하고, 사랑과 전쟁을 실시간으로 찍어버렸네…",but then I threatened people right in front of her and had them film love and war live...
내 이미지가 어떻게 됐을지….,I wonder how much damage my image took from that incident...
흐응.,mmhm.
그 영애가 그렇게 좋나….,do you like her that much...?
귀엽잖아.,she’s cute.
티 파티 이후로 우리를 볼 때마다 발그레 해지는 것도 그렇고.,"and every time she sees us after the tea party, she blushes."
난 전혀 모르겠는데.,I didn’t notice anything.
응?,hmm?
뭐야?,what are you talking about?
질투?,are you jealous?
사귀라고 만들어 놓은 애들이 이러다니…,I can’t believe these two aren’t falling in love despite being set up together...
너희 둘이 사랑을 해야 유니스가 각성을 하고 세계를 구한다고….,"unless they fall in love, eunis won’t awaken as the saint and save the world..."
"그 방법이 안 될 것 같으니,","since things aren’t working out,"
이번에 가는 죽은 땅에서 뭔가 힌트라도 얻길 바라는 수밖에….,all I can hope for is finding some clues while visiting the land of death this time around...
"시그렌, 나 잠깐 어디 좀 다녀올게!","siegren, I need to step outside for a bit!"
뭐?,what?
어디?,where are you headed?
순진한 아가씨 구출하러!,to rescue an innocent young woman!
좋다…,fine...
혼자 있으니까 조금 마음이 편해지는 기분이야.,it feels nice having some alone time without anyone bothering me.
행렬에는 사람이 너무 많아서 괜히 지쳐….,"there were just too many people in the procession, which made me feel tired..."
"아가씨, 여기서 뭐 해?","miss, what brings you here?"
잠깐 같이 놀까?,want to play with me for a little bit?
"이, 이거 놔주세요!!",p-please let go of me!!!
"자자, 앙탈 부리지 말고.",stop acting coy.
이봐.,hey.
"그 아가씨는 곱게 놔 드리고,","let go of that girl nicely,"
네 자리로 돌아가.,then return to where you belong.
영애…,lady...
"푸,",pfft...
푸핫.,pffft.
저건 또 뭐야.,who does he think he is?
생긴 건 제법 괜찮은데…,he looks pretty decent though...
"자, 너도 이쪽으로 와!","alright, you come over here too!"
나와 유니스를 못 알아보는 모양이네.,"apparently, he doesn’t recognize eunis or me."
그러면 직접 누구인지 보여줄 수밖에.,"in that case, I guess I'll show him myself."
잠깐.,wait.
아가씨가 손을 더럽힐 필요는 없어.,there’s no reason for missy to dirty her hands.
용병왕…,gunter the mercenary king...
권터,gunter
여기는 내가 해결하지.,I got this one covered.
"아, 아하하.",a-ahahaha.
권터 씨네 사람인 줄은 미처 몰랐습니다.,I-I didn’t realize you belonged to mr. gunter.
아가씨는 놔드릴 테니 한 번 봐주시죠.,I’ll release the lady if you look the other way once.
"자, 얼른 가!",go ahead and scram!
얼른!,scram!
그러면 숙녀분도 돌려드렸으니 저희는 이만…,"okay, since we returned the lady safely, we’re leaving--"
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"nope. if I let you guys go free, duke bernhart would kill me."
"어이, 고용주님.","hey, boss."
"이놈들,","as for these bastards,"
가랑이에 달린걸 잘라 버릴까?,should I cut off their balls?
