hangle,first_translate,review,idiom
항상 시그렌의 편이 되어 줘야지.,"I’ll always take your side from now on, siegren.",I should always be on Siegren's side.,"툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
그것이 내가 할 수 있는 최대한의 사과.,that’s my way of apologizing for what I did earlier.,This is the best apology I can offer.,"툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
"시그렌, 미안해.","sorry about that, siegren.","I'm sorry, Siegren.","툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
설마….,wait...,No way...,"툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
옷 벗긴 것에 대한 사과는 아니겠지.,don’t tell me you’re sorry because you took off his clothes...?,"You’re not apologizing for taking off Siegren’s clothes, are you?","툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
아냐!,no!,No!,"툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
그게 아니라….,it’s not that--,It's not that...,"툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
울지 마.,stop crying.,Stop crying.,"툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
네 일도 아닌데 대체 왜 우는 거야.,"this has nothing to do with you, so why are you crying?","This isn't even your problem, so why on earth are you crying?","툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
툴툴거려도 손길은 부드럽다.,"even though he sounds annoyed, he's being gentle.","Grumbles, but has a gentle touch.","툴툴거려도 손길은 부드럽다 : Grumbles, but has a gentle touch
장족의 발전이다 : A remarkable improvement
달리기로 치자면 단거리에 강하고 장거리를 못 하는 것과 비슷하다 : It's like being good at sprints but bad at long-distance running
꼭 상아처럼 빛나는 것 같아 : Shining like ivory
내 새끼지만 정말 몇 년 후가 기대되는걸 : Not my child, but I really look forward to seeing you in a few years
짜식, 여주인공한테 그 빛나는 미모 잘 써먹어라 : Kid, make good use of that dazzling beauty with the heroine
내 얼굴에 뭐라도 묻었어? : Do I have something on my face?
사람 무서운 줄도 모르던데 : You don’t even know to be afraid of people
한순간에 죽어서 나자빠진다고 : They drop dead in an instant"
