hangle,first_translate
외로웠다.,I felt so lonely...
누군가 날 필요로 해주면 좋겠다고 생각했다.,all I wanted... ...was for somebody to need me.
이 벌레만도 못한 목숨이라도 의미가 있을까?,would this wretched existence finally mean something if they did?
"시간이 지나고, 용병단은 헤일론 영지의 방어를 맡게 되었다.","time passed by, and our mercenary group took on the task of defending hailon territory from monsters."
"마물과의 싸움은 위험했지만, 돈이 됐다.","fighting them was dangerous, but at least we got paid well."
"나는 제대로 된 무기도 받지 못하고,","even though I didn’t receive any proper weapons,"
전장에서 주운 누군가의 검으로 버텼다.,I managed to get through battles using swords I picked up off dead bodies.
끝도 없는 고단한 싸움의 좋은 점이 있다면,the only good thing about these endless fights is probably...
생사를 넘는 전투로 강해졌다는 것일까.,...that I’ve become stronger after fighting for my life all those times.
살아남았다.,I survived.
"하지만, 기어코 일은 터졌다.","but eventually, disaster struck."
밀리고 있어.,we’re being pushed back!
즉시 퇴각해!,retreat immediately!
"철수다, 철수!",it’s time to fall back!
거기서 뭐 하는 거냐! 굼뜬 자식!,"what are you doing?! move your ass, kid!!"
"하, 쓸모가 없다면…","if he can’t do anything else,"
인간 방패라도 되라고!,at least make him into a human shield!
"살아야 한다,",siegren must live.
시그렌.,siegren has to stay alive.
살아야 한다…,stay alive...
살기 위해 버텼다.,I endured everything just to survive.
"하지만 아무리 실력이 늘었다고 한들,","but no matter how much better I became,"
역부족이었다.,my abilities were still lacking.
드디어 죽는 건가.,is this really the end?
어쩐지 안심되기까지 한다.,"for some reason, I feel relieved."
한가지 억울한 점이 있다면,the one thing that bothers me is...
그딴 쓰레기 같은 놈을 대신해 죽는다는 거다.,...the fact that I’m dying instead of that piece of trash.
"기왕 누군가를 위해 죽는다면,","if I had to give my life for anyone,"
나와 비슷한 처지의 사람을 구하고 싶었는데…,I would rather save people like myself--
"그래. 좀 더 도움이 필요한 사람,",that's right. I want to lend a hand...
약한 사람에게 손길을 내밀고 싶었어.,...to weaker people who desperately need help more than others.
왜냐면 내가 고독했을 때는 누구도 도움을 주지 않았으니까.,no one helped me when I needed it most.
그러니 적어도 나는 도움을 주고 싶었어.,"and because of that, I wish to offer aid whenever possible."
누군가 나처럼 살지 않기를 바라는 건 나약해.,hoping that nobody will go through what I went through makes me weak.
그런 생각이나 하니 결국 이렇게 죽는 거야.,this kind of thinking is why I ended up here today.
그래도 내 소망이 헛된 게 아니라고 믿고 싶어.,but I’d like to believe that my wishes weren’t futile.
어딘가에 빛이 있을 거라고.,maybe there’ll come a day where hope shines bright again.
아니면 내가 누군가의 빛이 되고 싶어.,"or maybe someday, I'll be able to shine light onto other people's lives as well."
이제는 불가능한 일이지만.,"of course, now that won’t ever happen."
누군가 어둠 속에서 내 머리를 쓰다듬는다.,someone gently caresses my hair while I'm surrounded by darkness.
눈물이 나올 정도로 다정한 손길로….,their touch feels warm enough to bring tears to my eyes...
여긴… 어디지?,where am I...?
어?,huh? wait...
여자애…?,a girl...?
그건,"in that moment,"
지긋지긋했던 내 인생에서 가장 평화로운 광경이었다.,I saw the most peaceful sight of my entire miserable life.
상처는 괜찮아?,doesn’t it hurt anymore?
괜찮은지 한번 보자.,let me see.
멋대로 건들지 말라니까.,stop touching me without permission.
그래도…,but...!
