hangle,first_translate
피오나 그린,fiona green...
그녀는 백작가의 사생아로 불운한 유년 시절을 보냈으나,she was born as the illegitimate child of a noble family and had a difficult childhood.
"성장하며 마법에 재능을 드러내,","but she discovered her talent for magic when she grew older,"
훗날 훌륭한 마법사로 칭송받게 된다.,and became known as one of the greatest mages later on.
그야말로 전형적인 주인공의 클리셰.,it’s your typical protagonist cliché story.
그러나 피오나는 절대로 주인공이 될 수 없다.,but fiona can never become the main character.
"피오나,","fiona,"
이 아비의 말을 듣고 있는 거냐.,did you hear what I just said?
"피오나의 친부, 그린 백작.",count green is fiona's biological father.
"죄송합니다, 아버지.","I'm sorry, father."
어린 게 건방지긴.,that little brat has no manners at all.
"저리 천한 건 신경 쓰지 마세요, 아버지.","do not worry about that lowly creature, father."
"그린 백작가의 장남, 카인델.",caindel is the eldest son of house green.
저 입 좀 때리고 싶다.,I really want to shut him up right now.
천한 취급이 아무리 열 받아도 참아야 한다.,"no matter how angry I am, I must hold back my anger."
피오나는 이제 겨우 열세 살에,"right now, fiona is only thirteen years old."
별다른 힘도 없는 그린 가문의 짐 덩어리 사생아일 뿐이니까.,all she is... is a powerless bastard daughter of house green.
"그렇다. 나는 지금,",this is where I find myself.
이 소녀. 피오나 그린이 되었다.,in this girl named fiona green.
"지금은 처리 곤란한 구박데기 사생아지만,","for now, she may seem like nothing but a useless bastard child,"
훗날 천재 마법사로 칭송받게 되는 피오나!,"but someday, she will become a genius magician!"
"그럼에도 불구하고, 피오나가 되었다는 건 좋은 상황이 아니다.","even so, being reborn into fiona isn’t exactly good news."
"그야, 당장의 장래가 아무리 탄탄해도…,","of course, even if she does have a bright future ahead of her,"
피오나는 주인공이 아니라 최종 보스니까!,"the thing is, fiona becomes the final boss instead of the heroine!"
그것도 주인공 커플의 사랑의 힘에 장렬히 죽음을 맞이하는 최종 보스!,"not only that, she dies by the power of love from the hero couple!"
정말 부정하고 싶지만… 이건 이미 운명적으론 정해진 결말이다.,"as much as I don't want to believe it, this ending has already been set in stone."
이곳은 황제인 남주인공과 성녀인 여주인공이 연애하며 세계를 구하는 내용의 소설 속 세계다.,"this world belongs to a novel where the male lead, who is also the emperor, falls in love with the female lead, who is a saint, while saving the world together."
"그리고,","and here,"
이곳에 악역인 피오나를 위한 자비는 없다.,there is absolutely no mercy for villains like fiona.
마지막쯤 피오나는 불사에 가까운 존재가 되어 주인공 커플을 위협한다.,"near the end, fiona almost becomes invincible and threatens the lives of the two protagonists."
"그에 남자 주인공은 검으로 피오나의 목을 베고,","then, the male lead cuts off her head with his sword,"
뽑혔음에도 박동하는 검게 물든 심장 깊숙이 검을 박는다.,"stabs her heart which continues to beat despite having been ripped out,"
그렇게 피오나의 목은 성벽에 효시 되고,"hangs her severed head over the castle walls,"
남은 신체는 불태워졌으며,"burns her body,"
피오나의 영혼은 어둠 속에 빠져 영원히 끝나지 않을 고통을 받는다…,and traps her soul inside darkness forevermore.
이것이 나의 미래가 될지 모르는 ‘피오나’의 운명.,"this could very well be my fate as ""fiona."""
차라리 지금 죽으면 편히 갈 수 있으려나.,wouldn't it be better to die now than suffer such a terrible death?
"잠깐, 지금은 일단 그만 생각하자.","wait, let me stop thinking about this for now."
이러다 또 한눈팔았다고 지팡이로 얻어맞을라.,"if I get distracted, I'll get hit with a staff again."
요즘 전쟁의 상황이 좋지 않다는 건 다들 알고 있을 게다.,I’m sure everyone knows our situation during these times of war hasn’t been going too well lately.
황궁에서 북방 전선에 보낼 마법사를 차출하라는 명이 떨어졌다.,an order came down from the palace asking us to send magicians to fight against the northern front.
우리 가문에 말이다.,to our household.
지금은 아직 원작이 시작하기 6년 전.,"currently, we’re six years before the start of the original story."
마물들과의 싸움에 밀려 제국이 한참 불리할 시기다.,"at present, the empire is losing its battle against demonic creatures."
그저 남녀 주인공이 악룡과 마물로부터 세상을 구원하기 위해 설정된 배경이지만…,"this is merely background information used to explain why the heroes save the world from evil dragons and monsters,"
지금 당장은 내게 닥친 현실.,"but currently, this is reality for me."
때문에 너희들 중 한 명은 북방의 전선에 참전해야 한다.,"so because of this, one of you three needs to go join the battlefield."
"아버지, 참전이라니요,",going to war?
저희가요?,me?
세상에…,my goodness...
"그린 가문은 제국의 마법사 가문 중 하나이고,","house green is one of many households of magicians within the empire,"
황궁에서 지원을 명하는 것은 당연하다.,"so naturally, they would ask for support from the imperial palace."
"문제는,","the problem is,"
여기서 대체 누가 전쟁에 나가냐는 것이다.,exactly who goes to war.
내 자식 중에 이 영광스러운 일에 자원할 사람이 있는지 궁금하구나.,"now, I wonder if any of my children wish to volunteer themselves for this glorious task."
앗!,oh!
"네가 가라, 밥버러지.","let her do it, then."
나를 제외한 모두가 백작 부인의 소생.,"apart from me, everyone else is the offspring of the countess."
다들 쓸모없는 사생아인 내가 전쟁에 나가기를 바랄 테다.,"they’ll probably want me, their useless bastard sister, to go to war."
그 사생아가 겨우 열세 살 된 어린아이 일지라도.,even though I’m still only thirteen years old.
"아버지, 기특하게도 우리 막내가 지원하겠다는군요.","dear husband, look! our youngest wants to volunteer herself."
"수줍어서 크게 말은 못하는 것 같지만,","she seems too shy to say anything aloud,"
잠,w-wait...!
잠시만요…!,p-pardon me...!
이 자식…,you wretched child...
"오오, 그래. 네가 가겠다는 거구나.","ahh, yes. so you’ve decided to go."
부자가 쿵짝이 아주 잘 맞는데?,father and son are totally in sync.
둘이 짜고 있던 거 아냐?,is there something behind this?
가문을 대표하는 영광스러운 자리다.,this is a great honor representing our family name.
천한 네가 이런 기회를 얻을 수 있는 것에 감사하도록.,be grateful that someone as worthless as yourself gets to take part in this opportunity.
"그래, 피오나.","okay, fiona."
"카인델은 가문을 이어야 하고, 난 곧 결혼할 예정이란다.","kaindel must inherit the family business, and I plan to marry soon."
셋째인 젠도 약혼을 앞두고 있지.,zane is engaged to be married as well.
상황이 이러니 네가 가는 게 좋겠구나.,"given the circumstances, it’d best suit you to go."
사생아는 자격이 없다고 마법도 가르쳐 준 적 없으면서!,how dare he?! he never taught me any spells saying bastards weren’t worthy enough!
매일 다락방에 가둬놓고 구박만 했잖아.,he locked me away in the attic every day and treated me poorly.
마법을 쓰는 기본적인 방법은 알고 있지만.,"I know the basics of using magic,"
저는…,but...
그러니까 …전…,um... I...
"그래, 이건 애초에 선택지가 없는 문제였다.","alright, alright. I guess there wasn’t another option anyway."
이 저택에 내 편 따위는 없다.,"after all, nobody in this mansion is on my side."
주연도 아니었던 피오나에게 주어진 과거 설정은 단 한 줄.,"the backstory given to fiona, who wasn’t originally the main character, consisted of only one line:"
‘사생아로서 가족들에게 핍박을 받으며 자라왔다.’,“she suffered abuse from her own family members since she was a bastard.”
…… 알겠습니다.,alright...
캬,aah
아,aah
제가 나갈게요.,I-I’ll go.
만약 가족들을 없앤다고 해도 감옥에나 갇히겠지,"even if I were to kill my entire family, I'd most likely rot in prison."
가야 한다면 차라리 내 두 발로 나가자.,"if I need to leave, I might as well walk out voluntarily."
"그래, 아주 좋은 선택이야.","yes, excellent choice."
네가 자랑스럽다.,I couldn’t be prouder of you.
드디어 키워준 몫을 하는구나.,"finally, you've proven yourself useful after raising you all these years."
