hangle,first_translate
"피오나, 있어?",fiona! are you there?
시그렌?!,siegren?!
생각보다 빠른 방문이지만…,I didn’t expect you’d come so soon...
"좋아. 쇠뿔도 단김에 빼는 거다, 피오나.",but I suppose now’s as good a time as any for this conversation.
순식간에 시그렌을 차버리자!,let's get rid of him right away!
시그렌의 호감은 그냥 각인 효과 같은 걸 거야.,his feelings toward me must just be some sort of imprinting effect.
"어린 시절, 낯선 여자애에게 처음으로 받은 호의에 설렌 거겠지.",it was probably because he received kindness from someone other than his family when he was young.
솔직히 내가 시그렌 앞에서 얼마나 많이 추태를 부렸는데.,"to be honest, I’ve made such a fool of myself in front of him countless times already."
추억 보정이란 실로 무섭구나…,the power of rose-tinted memories really is something else...
들어와.,come on in.
…좋은 아침.,good morning...
무슨 일이야?,what brings you here today?
"냉정하게, 냉정하게.",stay calm... stay calm...
"지, 지금 방문을 잠근 거야?",d-did you lock the door?
잠갔지.,yep.
오해하지 마.,don’t misunderstand.
아벨이 와서 대화를 방해할까 봐 그런 거니까.,I did that so we wouldn’t be interrupted by abel if he comes looking for us.
"그, 그렇구나.",o-okay...
그래도 정 불안하면 그냥 여기 있을게.,"if you’re still uncomfortable, then I’ll stand over here instead--"
"그래,",no need to do that.
상대는 시그렌이야.,this is siegern we’re talking about.
새삼스럽게 고백 하나 받았다고 낯선 사람으로 여길 필요는 없는데.,there’s no reason why I have to treat him differently after hearing one confession.
피오나.,fiona.
그렇게 멀찍이 서 있으면 대화하기 힘든데.,can you please not stand all the way over there? it makes our conversation difficult.
…알겠어.,okay...
시그렌.,siegren.
네가 어제 했던 고백 말이야.,regarding your confession yesterday...
그거…,is there anything about me that bothers you?
나한테 싫은 점이라도 있어?,pardon?
어?,uh... what could possibly bother me about you...?
어… 너한테 싫은 점…,"wow, she can’t think of anything at all!"
어쩌지?,now what?
생각이 안 나!,I don’t know!
얼굴?,my face?
…어릴 적부터 내 얼굴이 가장 마음에 든다며?,you said my face has been your favorite since childhood...
"그, 그럼 성격.",th-then how about my personality?
내가 말하면서도 어이가 없긴 해…,even I find it hard to believe I’m saying this...
나도 성격이 만만찮지.,I also have quite a temper.
성격의 어느 부분이 마음에 안 드는데?,then which part of my personality doesn’t suit your taste?
설마 말해 주면 고치려고?,do you plan on changing those things once I tell them to you?
그래.,of course.
"와, 얘 진짜 진지하구나.","wow, he’s dead serious."
"잘생긴 데다가 능력 있고,","not only does he look handsome, but he’s talented too."
심지어 나한테 전부 맞춰 주겠다는 황자님이라니.,"and on top of everything, he says he'll change himself completely according to my preferences."
여기가 확실히 소설 속이긴 해.,this definitely feels like a novel.
현실에 이런 남자가 있을 리 없지.,a man like him would never exist in real life.
독백,maybe I'm dreaming.
예전부터 좋아하는 상대가 생기면 잘해 줘야 된다고 신신당부를 했었지.,"when I told her before that I liked someone, she always emphasized how important it was to treat them well."
"그, 그랬었지…",i-isn’t that right...?
그래. 많이 그랬지.,that happened many times.
네가 말한 것들 다 기억하고 있어.,I remember every single thing you ever told me.
내가 말했지.,"as you mentioned earlier,"
넌 가끔 나를 생각한다고 이상한 쪽으로 생각이 튄다고.,"whenever you thought about me, strange thoughts crossed your mind."
하지만 이번에도 나를 위한다며 어물쩍하게 물러날 생각이라면.,"but if you intend to back out again under the pretense of doing this “for my own sake,”"
나도 쉽게 물러나지는 않을 거야.,I won’t let you leave easily either.
나는,"all along,"
시그렌이 행복해지기를 바랐다.,I wanted nothing more than for siegren to become happy.
내가 아는 시그렌의 가장 큰 행복은,"in order to achieve that goal,"
원작대로 유니스와 사랑에 빠지는 것이었는데.,"I had planned to make him fall in love with eunice, just like in the original story."
하지만 이렇게 된 이상 완벽하게 원작대로 흘러가지는 않을 테지.,"but given these circumstances, things will most likely play out differently from the novel."
지금 알 수 있는 건 그것뿐이다.,"for now though, that’s all I can say for certain."
네가 원래 이런 성격이었나?,has your personality changed recently?
그거야 넌 늘 나에 대해 잘 알고 있다고 생각하고 있으니까.,that’s because you've always believed yourself to understand me better than anyone else.
그게 얼마나 큰 실책인지 곧 깨닫게 될 거야.,"however, you’ll realize very soon how wrong you were."
손이 크고,his hands feel big...
두텁네.,...and warm.
사실 난 시그렌에겐 마음이 약해지니,"truthfully, I have soft spots for siegren,"
정떨어질 정도로 차갑게 고백을 거절할 자신이 없다.,so I couldn’t bring myself to reject his confession coldly.
"만약 승낙하면, 다음은 연인이겠지.","if I accept his offer, we’ll end up becoming lovers next."
남녀 관계.,we’ll enter into a romantic relationship.
세상에 남녀 사이만큼 깊어 보이면서도 얄팍한 관계가 또 어디 있나.,but where else can you find relationships as shallow yet deep-seeming as romance?
"사실 시그렌과 유니스의 사이도 내가 쓴 소설 속이니 ‘운명적 사랑’ 운운하는 거지,","admittedly, even the bond between siegren and eunice was merely a fictional creation within my novel."
현실이었으면 얄짤없다.,"in reality, their love wasn’t meant to last forever."
나는,"normally speaking,"
본래라면 그런 로맨스 따위 믿지 않는다.,I wouldn’t put much faith in romance.
"현실적으로 고려해보자면,","from a realistic perspective,"
내가 시그렌과 연인 사이가 된다고 해도 결국 나중에 깨질 거다.,"even if siegren and I became lovers, eventually we'd break apart anyway."
"그러니 시그렌이 나에 대한 애정이 식을 때,","thus, when siegren loses interest in me later on,"
나도 그를 깔끔하게 놓아주면 된다.,I simply need to let him go without hesitation.
"첫사랑,","first loves,"
"고백,","confessions,"
젊은 연인.,and young couples.
"지금은 모든 게 밤하늘의 별처럼 아름답게 반짝여도,","right now, they may shine beautifully like stars in the night sky,"
끝내 바위에 부딪히는 파도의 포말처럼 흩어지겠지.,"but ultimately, they disperse like seafoam hitting the shore."
타오르는 그의 열정도 언젠가 식어 버릴 거다.,"at some point or another, his burning passion will cool down."
그러니,"so until then,"
거절할 수 없다면,"until I can muster up the courage to turn him down,"
지금은 시그렌이 원하는 대로 해도 되지 않을까.,why shouldn’t I give siegren what he wants?
크게 문제 되는 건 아무것도 없을지도 몰라.,nothing bad might happen.
"알겠어, 시그렌.","alright, siegren."
…뭐가?,about what?
피오…,fi--
…피오나?,fiona?
"나랑 이것저것 하고 싶다더니,",you said you wanted to try lots of new things together.
이거 가지고 놀라?,is this what you want to start playing around with first?
"…그 말은,","with that being said,"
"…네 고백,",I hereby...
승낙할게.,accept your confession.
