hangle,first_translate
와아…,wow...
사람 많다.,it’s so crowded here.
꽃보다 사람 구경하는 기분인걸?,I feel like I’m people-watching instead of looking at flowers.
예쁘죠?,isn’t this beautiful?
수도의 대표적인 축제 중 하나인 꽃 축제랍니다.,the flower festival is one of the most famous festivals held in the capital city.
아하하…,haha...
네…,yes...
하루종일 장부를 살펴도 모자랄 판에,"normally, there wouldn’t have been enough time for me to finish going over all these ledgers,"
갑자기 꽃놀이를 오게 된 데는 이유가 있다.,but there was a reason why I ended up coming out today.
"피오나 아가씨,","lady fiona,"
지금 이 시기가 꽃놀이 하기에 제일 좋답니다.,now would be the best time to go see the flowers.
네? 저는 저택의 일을 해야 하는데요.,pardon? but I still need to take care of things around the manor.
가끔은 머리를 식혀줘야 한답니다.,sometimes you must clear your head.
전 항상 이맘때쯤 아가씨 또래의 손녀와 꽃놀이를 가곤 했어요.,"every year during this season, my granddaughter used to come visit me from her home far away just to look at the flowers together."
"이제는 같이 갈 수 없는데도, 자꾸 그때 생각이 나네요.","and even though she can no longer do that now, I keep thinking about those times we spent together."
"피오나 아가씨는 바쁘셔서 대신 가주실 수도 없는데, 자꾸만…",I know lady fiona has too much on her plate right now... however--
"가, 갈게요!",o-okay! I’ll go!!
"저랑 가요, 꽃놀이!!!",let's go see some flowers!!!
차마 안 가겠다고 할 수가 없어!,how could I possibly say no after hearing him say something like that?!
"-그렇게 해서, 잠깐 숨을 돌리러 나오게 된 것이다.",that’s how I came to leave work behind for a little while.
셀린이 여기는 귀족만 쓰는 공원이라던데.,celine told me only nobles use this park.
정말 아까보다 한가롭네.,this place really isn’t as busy compared to where we were earlier.
정말이라니까?,of course not.
"뭐야, 말도 안 돼~",no way!
너도 써봐.,try using it yourself.
다음에 가져와 볼게.,maybe next time.
…평화롭다.,it feels peaceful here.
헤일론과는 정 반대야.,unlike hailon.
…이렇게 가끔 한가해질 때면,"when moments like this happen every once in a while,"
이 세계의 비현실성에 대해 생각한다.,I think about how unrealistic this world is.
내가 만든 세계와 거기에 살고 있는 캐릭터.,a world created by myself and characters living within it.
전부 정해진 대로 흘러가는 사건.,all events unfold according to what had already been predetermined.
그렇기에 오히려 다행인 걸까?,does that make everything better?
그렇다 해도 등장인물만 안 보이면 책 속 세계 같은 느낌이 덜해지긴 하지.,"still, if none of the main characters appear, then it doesn’t quite feel like I’ve entered into another world."
"내가 손댄건 기본적인 세계관 설정,","my role consisted of creating basic settings for the story,"
"남자 주인공과 여자 주인공,","setting up the male lead and female lead,"
그리고 그들의 주변 인물을 중심으로 일어나는 사건 정도니까.,as well as writing side stories involving other minor characters surrounding them.
많이 신경을 쓴 주조연급 캐릭터 수는…,"if I remember correctly, I put extra effort into developing roughly ten supporting character roles."
"대략 열 명, 그 정도?",about ten or so.
