hangle,first_translate
"드래곤을 처치했다고 해서 긴장했는데,",I was worried  that you’d put up more of a fight...
무방비하긴!,but I guess not!
대체 날 얼마나 얕본 거지?,did you really think so little of me?
"날 죽이려면 너 같은 허접 말고,","if you wanted to kill me,"
피오나 헤일론이라도 데리고 왔어야지.,then at least bring someone like fiona halyon instead of this amateur.
전하!!,your highness!!!
시끄럽게 하지 말고 문 닫고 들어와.,stop yelling and close the door behind you.
"예, 옙.","r-right away, your highness."
들어갑니다…,excuse me--
케인 에레즈.,cain ereze.
예?,"yes, your highness?"
"방금 이 자,",was this man sent by house ereze?
네 가문이 보냈나?,was this man sent by house ereze?
"모, 모르겠습니다…",n-no... I don’t know anything about him...
어휴…,good grief...
"살 떨려서 못 있겠네,",this place is giving me goosebumps.
이 거지 같은 태자궁!,the palace is such a dump!
이번 일은 결백한 모양이군.,it seems as though he’s innocent.
"줄곧 주시하고 있는데,","I’ve been watching him closely for some time now,"
에레즈 후작과 달리 수상쩍게 굴진 않는단 말이지.,"and unlike his father, there hasn’t been any suspicious activity from him."
그래서 아직까지 내버려 두고 있지만…,that’s why I haven’t done anything yet...
"전하, 혹시 제가 대답을 잘못했었다면…?",y-your highness! did I say something wrong just now...?
널 처리하고,"had you said yes,"
내 호위가 암살자와 맞서 싸우다가 명예롭게 죽었다고 말했겠지.,I would have killed you on the spot and told everyone my guard died fighting off the assassin.
역시 날 죽일 생각까지 하고 있었어…,so she had planned to get rid of me all along...
믿을만한 자를 잘 가려내야 한다.,I must choose people I can trust wisely.
그래야 내 자리를 지켜 내지.,"that way, I’ll be able to protect myself."
내가 이렇게 여기 있는 동안에는,"as long as I’m here,"
피오나와 나란히 있을 수 있단 말이다…,I’ll always stand alongside fiona...
무도회에 집중이 하나도 안 되네.,I can’t focus during these balls anymore.
용병을 시켜 날 습격하게 한 사람은 대체 누굴까?,who could have hired those mercenaries to attack us?
너무 스트레스 받지 말자.,let's try not to stress too much over it.
"여기는 책 속의 세계다, 책 속의 세계다…","this world exists inside a book, after all..."
원작대로 진행될 때는 안 좋은 일이 있어도 지금보다 덜 피곤했다.,"even when bad things happened according to how they were written out originally, I wasn’t as tired as I am right now."
어쨌든 이 세계는 해피엔딩을 맞이할 거였으니까.,"at the end of the day, everything will work itself out since we’re headed toward a happy ending anyway."
그런 생각을 하면 현실을 그럭저럭 넘길 수 있었다.,thinking like that helped me cope better with reality.
끔찍한 마수가 튀어나오는 전장에서 버틸 수 있었던 것도 그 덕분이었고.,"in fact, thanks to that mindset, I managed to survive even through battles where terrifying monsters appeared left and right."
하지만 이야기가 원작과 완전히 어긋난 지금은…,"now that our story has strayed completely from its original plotline,"
이 모든 사태의 원인은 내 아픈 손가락인 시그렌이겠지…,"siegren, my weak link, is probably the reason behind all this chaos..."
차가워!,my hand feels cold!
무슨 생각을 그렇게 해?,what are you thinking about?
습격당했을 때가 생각나서…,I keep remembering what happened last night...
"아, 길드장을 보고 왔다는 그 사건 말이지.","oh, you mean the incident involving the guildmaster."
응.,yeah.
"시그렌, 넌 아무 일도 없었어?","siegren, nothing strange happened to you recently, right?"
없었어.,nope.
방금 묘한 침묵이 있었던 것 같은데.,"wait, but didn’t you pause before answering just now?"
습격한 범인이 누군지는 아직 못 알아낸 거지?,do you still not know who attacked you guys?
알아냈으면 가만 안 뒀지.,"of course not. if I knew, I wouldn’t let them go unpunished."
동감이야.,fair enough.
그만 만져.,stop touching me.
왜.,why?
안에 사람 많아.,there are lots of other people around us.
누가 보면 어쩌려고?,what do you plan to do if anyone sees us?
"그리고,","on top of that,"
난 이제 떠먹여 줄 생각이 없…,I'm not going to spoon-feed you anymore--
"시, 시그렌.",s-siegren.
갈수록 대담해지네?!,you’re getting bolder every single day!
난 네 머리카락이 좋아.,I love your hair.
"얇고, 곱고.",it’s thin and soft.
마치 거미줄 같아.,it reminds me of spider webs.
날 지옥에서 끌어 올려준 거미줄.,spider webs that pulled me back up from hell.
…그렇게 생각하는 줄은 몰랐어.,I-I never thought you felt that way...
…시그렌.,siegren...
그래도 자꾸 이렇게 만지면 정리하기 힘들단 말이야.,"still, please stop playing with my hair because it makes it hard to style afterward."
이제 그만 …,enough already...
시그렌?!,siegren?!
"잠, 잠깐.",j-just hold on.
미안.,sorry.
싫으면 안 할게.,I won’t touch you again if you hate it.
"아니, 그게 아니라…","no, that’s not what I meant..."
그러면?,then what is it?
사실 요즘,"to tell you the truth,"
너에게 어디까지 스킨십을 허락해야 될지 고민이란다.,"lately, I've been wondering how far I should allow physical contact between us."
시그렌이랑 끝까지 가는 건 좀 그렇나?,isn’t it weird for me to sleep with you until the very end?
"아니, 차라리 가는 게 낫나?",or maybe it'd actually be better if we went all the way?
딱히 나의 정조 관념이나 부끄럼 때문에 그러는 건 아닌데…,not that I care about being chaste or modest...
연인 사이인데 문제는 없지.,"we are lovers, so it shouldn’t matter either way."
그래도…,still...
언젠가 시그렌은 유니스에게 갈지도 모르니까.,"one day, you might return to eunice."
그런 시그렌이 다른 여자랑 밤을 보내는 건…,"with that possibility in mind, isn’t it kind of inappropriate..."
좀 그렇지 않을까?!,...for you to spend nights with another woman?!
