hangle,first_translate
아직 헤일론에서 추가로 도착한 소식은 없나?,has there been any news from hairoun recently?
"예, 그래서 헤일론으로 향할 채비는 예정대로 진행하고 있습니다.","no, your highness.  that’s why we’re preparing for our trip as planned."
…그렇군.,I see...
앞으로도 다른 소식이 있다면 내 쪽으로 먼저 알릴 수 있도록 해.,"if anything else comes up, let me know first."
피오나가 알게 되면,"fiona will probably call me cowardly if she finds out about this,"
비겁하다고 하겠지만 별수 없다.,but I have no choice.
사흘이라는 준비 기간도,even getting her to agree on three days of preparation time was difficult enough.
다음 날 바로 떠나겠다는 것을 겨우 설득해서 얻었으니까.,she wanted us to leave right away.
제대로 된 준비도 없이 급히 내려보낼 뻔했지.,"had things gone according to plan, we would’ve left without making proper preparations."
지금쯤이면 동행에 대한 결정을 내렸을까?,do you think she has decided which servants are coming along yet?
내내 아벨과 내 문제로 혼란스러워 하던데.,she seemed quite confused because of what happened between abel and myself.
정말 날 두고 갈 생각이라면 어떻게 해야 할까.,what am I supposed to do if she decides not to take me with her?
그때는 그냥 내 마음대로 해야지.,then I’ll just make my own decision.
어쩌긴 뭘 어째,it’s not like I’m going to sit back and wait for her answer.
(나쁜 생각),(bad idea.)
다른 경우는 몰라도 이번에는 정말 양보할 수 없다.,this is one thing I can’t compromise on.
아니면 얼굴로 잘 구슬려서…,or maybe I could try begging her--
…으응.,mm...
시그렌…?,siegren...?
"피오나, 정신이 좀 들어?","fiona, how are you feeling now?"
무슨 일 있었어?,did something happen while I was asleep?
"…시그렌이,",siegren...
다른 아가씨들과 노닥노닥―.,was flirting around with other ladies...
말도 안 되는 소리 하지 말고.,stop saying such nonsense.
너무 얄미워서 입 맞추고 싶은 수준이네….,that makes me want to kiss him even more...
저번에 네가 다른 영애들에게 친절해지라며.,"last night, you told me to be nice to them."
싫으면 다음부터는 안 할게.,"if you don’t like it, then I won’t do it next time."
"으, 응….",uh-huh...
이렇게 된 이상…,"now that he knows I saw him,"
"피오나,","fiona,"
회장에서 어떤 남자를 만났어?,who did you meet at the banquet hall last night?
"…아,",oh...
…저번에 수상한 연애편지 보낸 사람.,the person who sent me those strange love letters before...
연애편지?,love letters?
아무것도 아냐.,it doesn’t matter anymore.
죽은 척…,pretend to sleep...
앗….,oops...
"…‘또’ 다, 내가 신경 쓰는 기색이면","when someone asks me questions they already know the answers to,"
‘괜찮다’로 넘기려는 피오나의 습관.,my habit is to brush off their concerns by telling them “it’s fine.”
지금이라면 괜찮을 줄 알았는데.,I thought I’d gotten over that habit by now.
그래도 보통 때보다 판단력이 떨어지긴 했어.,"still, my judgment isn’t very good today."
살살 구워삶자.,let’s gently coax her into talking.
"피오나, 그냥 편하게 말해.","talk to me, fiona."
무슨 일이 있었어?,what happened yesterday?
편지는?,and tell me about these love letters too.
저번에….,yesterday...
이상한 연애편지를 보낸 남자를 만났어….,I met the man who wrote all those weird love letters...
그 사람의 이름이 뭔데?,what was his name?
음….,um...
빌 커티스….,bill curtis...
말씀드렸던 업무에 필요한 서류들이에요.,"these are the documents you requested earlier, miss fiona."
"아주 급한 것들은 아니니까, 적당히 정리만 부탁해요.","they aren’t urgent matters, but please look through them when you get some free time."
"예, 아가씨. 그런데, 정말 이대로 가셔도 괜찮으시겠습니까?","of course, miss fiona. however, are you really okay leaving like this?"
안색이…,you seem unwell...
"괜찮아요, 어제 파티에서부터 감기 기운이 조금 있어서요.",I’m alright. I must’ve come down with a cold after attending the party last night.
"내가 두 번 다시 술을 마시면 개다, 진짜….",I swear I’m never drinking alcohol ever again...
"심지어 기억도 드문드문 끊긴 데다가,","not only does my memory keep skipping here and there,"
~셀린이 옷을 갈아입힘~,celine helps fiona change clothes
술기운에 시그렌에게 전부 말해버린 것 같은데…,but I also spilled everything to siegren under the influence of liquor...
