hangle,first_translate
"황궁, 연무장.",the training grounds of the royal palace...
크윽!,hgh...!
왜 그러지?,what’s wrong?
방금 전 기세는 어디로 갔나!,where did your confidence go?!
어?,huh?
어… 어어?,uh... huh?
흥.,hmph.
설마 이게 끝인가?,is this all you’ve got?
황태자의 호위기사라는 놈들이 이래서야.,I can’t believe these guys call themselves guards for the crown prince.
누가 누굴 지키겠다는 건지.,it looks more like they’re the ones being protected instead.
크윽,hrng...!
애송이한테 죄다 지다니…!!,to think we were defeated by some brat...!!!
저 자식은 지치지도 않나!,doesn’t he ever get tired?!
"사생아 주제에, 겨우 스무 살 먹은 애송이 주제에.","and on top of everything else, he's only twenty years old!"
다들 날 보고 그런 생각이나 했겠지.,that must have been what everyone was thinking about me.
역시 대련 핑계로 서열 정리를 하길 잘했군.,good thing I decided to establish my authority through sparring.
저 괴물 같은 놈…!!,he’s such a monster...!!!
황자 전하.,your highness.
손님이 오셨습니다.,you have a visitor.
손님?,a visitor?
"훈련 중에 방해받는 건 좋아하지 않으니,","I don’t want anyone interrupting our training session,"
웬만하면 돌려보내.,so tell them to come back another time.
예…,yes--
그럼 피오나 헤일론 영애께는 돌아가시라고 전하겠습니다.,then shall I send away miss fiona haylor as well?
아니.,no.
됐어.,forget it.
바로 가겠다.,I’ll see her now.
"땀과 먼지를 뒤집어쓰고 피오나 영애를 만나러 갈 순 없으니,","but since I’m drenched in sweat and dust right now,"
빠르게 씻을 준비를 해 놔.,get ready to wash up quickly.
그동안 피오나 영애가 지루하지 않도록 정중히 대접하고.,"while I do so, make sure she is treated kindly while waiting."
그리고 너흰 연무장 50바퀴.,"as for you men, run fifty laps around the training field."
전부 돌아.,all of you.
예?!,pardon?!
대체 피오나 헤일론이란 영애는 누구길래,exactly who is this fiona haylor girl...
저 괴물을 움직이는 거야?!,...that makes him act like this?!
피오나가 먼저 찾아올 줄이야.,I didn’t expect fiona would visit first.
"시그렌, 너 혹시…","siegren, did you know..."
내가 누구라고 소문이 났는 지 알고 있었어?,...people had already started calling me “the winter guardian”?
겨울의 수호자…래!,they said something along those lines!
겨울의 수호자라고?,winter guardian?
헤일론에서 널 그렇게 부르는 놈들이 있기는 했지.,there were people from house haylor who called you that before.
정말?!,really?!
그래.,yeah.
넌 주위를 신경 쓰는 성격이 아니라 몰랐겠지만.,though you probably wouldn’t notice because you never pay attention to things like that.
…어쩐지 부끄러운데.,this feels kind of embarrassing.
그럴 필요 없어.,there’s no need to feel embarrassed.
네가 그만큼 대단했던 거니까.,"after all, you earned yourself that title."
그렇게 당당히 말하면 더 민망하거든.,"when you say it like that, it gets even worse."
그나저나 시그렌이 구박받고 있을까 봐 걱정했는데…,"anyway, I was worried sieg might be getting bullied here,"
그런 일은 없어 보여서 다행이다.,"but thankfully, that doesn’t seem to be happening."
시녀들한테 인기도 많아 보이구.,even the maids appear to adore him.
…뭐야.,aww...
귀엽게…,cute...
있잖아.,listen.
"나, 상대한테 겨울의 수호자라고 불렸을 때 조금 설렜다?",I felt a little flutter when someone referred to me as the winter guardian earlier.
저 하녀처럼,just like that maid over there.
……어떤 자식이 말해 준 건데?,who exactly told you that?
"말 곱게 써야지, 황자 전하.","be polite, your highness."
그건 또 왜 궁금해?,why does it matter?
널 설레게 했으니 친구로서 감사 인사라도 하러 가야지.,"if they made you blush, then I’d like to thank them personally."
얘도 참 이상한 이야기를 하네.,how strange.
나한테 그 말을 해준 사람은 리비아 영애야.,lady livia was the one who complimented me.
혹시 알아?,do you know her?
리비아?,livia?
분명 프리실라 가문의…,I could swear she belongs to house priscilla...
…잠깐.,wait a minute.
그쪽은 여자잖아.,she’s a woman.
남자한테 설렜다고 한 적은 없단다.,you never mentioned blushing after hearing compliments from a man.
감사 인사는 나중에 해야겠네.,maybe I won’t be thanking whoever it was anytime soon.
갑자기 기분이 좋아졌네.,I suddenly feel better.
"뭔진 몰라도,","I don’t really understand why,"
시그렌이 좋다면 됐지.,"but if sieg likes her, then that’s good enough for me."
날 왜 이렇게 빤히 보지?,why are you looking at me like that?
종종 날 저런 눈으로 본다니까.,like how?
이유를 모르겠어.,I don’t know either.
피오나.,fiona.
사냥 대회에서 우승을 해야 한다며?,I heard you plan on winning the hunting competition.
맞아.,that’s correct.
너도 소식을 들었구나.,looks like you've also received news about it too.
"아벨, 이 아니라 스승님이 말해 주던데.",not directly from abel though. his master told us.
사실 나도 그 사냥대회에 나가는 데 말이야.,"in fact, I'll be participating in the tournament myself."
정말?!,really?!
그럼 우리 라이벌이네!,then we’re rivals!
라이벌이라고?,rivals?
너랑 내가 라이벌이라…,me against you...
"솔직히 황태자나 다른 기사들은 이길 수 있을 거라 생각하는데,","085onestly, I thought I'd win easily against the other knights or even the crown prince himself,"
너까진 고려 못 했어.,but I hadn’t considered competing against you.
난 네가 참가하지 말라고 하면 안 할 건데.,"if you ask me not to participate, I won’t."
"…어,",huh?
왜 …?,wh-why...?
그야…,well...
"이 정도는 사교계에서 다들 하는 건데,",everyone in high society participates in events like this anyway.
난 라이벌이 아니라 네 수족이니까.,"on top of that, I’m supposed to help you rather than compete against you."
시그렌이 하니 파괴력이 남달라…!!,"with sieg fighting alongside me, we will destroy the competition...!!"
…에이!,"oh, stop it!"
그런 소리 하지 말고.,stop talking nonsense.
너도 황자가 되고 첫 사냥 대회잖아.,this is going to be your very first hunt as the new crown prince.
네 실력을 보여 줄 좋은 기회를 쉽게 날릴 수는 없지!,we can’t let slip such a great opportunity to show off your skills!
"혹시 호감 가는 아가씨가 있다면,","plus, if there happens to be any ladies you fancy,"
대회에서 멋진 모습을 보여줄 수도 있고!,now’s your chance to impress them during the event!
쑥스러워서 아무 말이나 하게 되네…,I guess I’m just babbling due to embarrassment...
"이 사냥 대회는 사실 원작에서도 있었던 이벤트로,",the hunting competition actually took place in the original novel as well.
소설 속 시그렌은 대회에서 우승하여 유니스에게 마물을 바쳤었다.,novel-sieg participated in the contest and presented eunice with the beast he hunted down.
그리고 이것은 단순히 마물을 잡는걸 넘어서,"besides simply catching monsters,"
귀족 젊은이들의 낭만이 섞인 이벤트!,this event has become romanticized among young nobles!
마물을 잡아 흠모하는 상대나 연인에게 사냥감을 바치기!라 대대로 인기가 좋다.,it became popular across generations where participants present their prey to their crushes or lovers!
그렇게 해서 결혼한 사람도 많다!,many couples ended up marrying each other thanks to this tradition!
호감 가는 아가씨라.,"“ladies you fancy,” huh?"
물론 그런 마음도 있긴 하지만.,"of course, that’s part of the reason."
"어, 있어?!",th-there is?!
내가 모르는 사이 유니스와 만난 걸까?,has he met eunice without telling me?
잘됐…,goo--
…네.,yes.
이상한 생각 하고 있지.,quit making weird assumptions.
