hangle,first_translate,review,idiom
키에에엑-!!,kieek!!!,Kieeek-!!,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
후우.,phew...,Phew.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
놀랍군.,I’m impressed.,Impressive.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
꺅?!,eep?!,Eek?!,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
마치 신이 내리는 천벌 같구나.,it’s as if  I’ve been struck by god himself.,It’s like divine retribution.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
이런 솜씨의 마법사는 처음이다.,this is my first time seeing such skill from another magician.,This is my first time seeing a mage with such skill.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
넌 사람의 아이가 맞느냐?,are you even human?,Are you truly a human child?,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
당연하죠.,of course I am.,Of course.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
굳이 말하자면 미래의 최종 보스랍니다.,"in fact,  I’ll become the final boss one day.","If I had to say, I'm the final boss of the future.",마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
그렇겠지.,"that makes sense,",That makes sense.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
몇 발짝만 나가면 추락하겠어.,because your ego will probably get the best of you soon enough.,A few more steps and you'll fall.,마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
설마 이 정도로는 부족하다고 여기서 던지려는 건 아니지?!,d-don’t tell me that wasn’t good enough for him! he can’t possibly quit now...!!,"You’re not seriously thinking of throwing me down just because this isn’t enough, are you?!",마치 신이 내리는 천벌 같구나 : It’s like divine retribution.
