hangle,first_translate,second_translate,label
"『금일 오후,","“my lady, I would like to invite you to a tea party...","“my lady, I would like to invite you...","""I would like to..."
온실에서 있을 티 파티에 영애를 초대하고 싶습니다.』,...that will be held in the greenhouse this afternoon.”,...to a tea party that will be held in the greenhouse this afternoon.”,"...cordially invite you to a tea party in the conservatory this afternoon."""
"『시간이 나신다면 꼭 참석해 주세요,","“please attend if you have time,",“please attend if you have time...,"""please join us if you can,"""
헤더 아덴 자작 영애.』,lady heather arden.”,...lady heather arden.”,"""lady heather ardel."""
"이 사람,",isn’t this...,isn’t this...,hm
어제 시그렌이랑 일이 있었던 그 영애 아냐?,...the lady who caused trouble with siegren yesterday?,...the lady who caused trouble with siegren yesterday?,...the woman that tried to seduce siegren last night?
그런 사람이 여는 티파티에 내가 가도 되는 건가?,should I really go to a tea party hosted by someone like that?,should I really go to a tea party hosted by someone like that?,would it be a good idea to go to her tea party?
내가 괜히 신경 쓸 만한 이유는 없지.,"well, there’s no reason for me to be worried.",There's no reason for me to be concerned.,I guess there's no reason for me to worry about that.
잘못한 건 그쪽이고.,she’s the one who did something wrong.,She's the one who did something wrong.,"besides, she's the one that acted out of line."
어쩌면 티파티에서 유니스를 만날 수 있을지도 모르니까.,and I might be able to see eunice at the tea party.,I might be able to see Eunice at the tea party.,I might even get to meet eunice at the tea party.
기쁜 마음으로 응하겠다고 전해줘.,"tell her I’ll be happy to attend,",tell her I’ll be happy to attend...,please tell her I'll gladly attend.
유니스 영애.,lady eunice.,...lady eunice.,lady eunice!
피오나 영애…!,lady fiona...!,lady fiona...!,lady fiona!
유니스 영애도 초대받은 건가요?,were you invited to the tea party as well?,Were you invited to the tea party as well?,"did you get an invitation too, lady eunice?"
네.,yes.,Yes.,yes.
피오나 영애와는 같은 일행임에도 계속 얼굴을 볼 수가 없었네요.,I haven’t been able to see you even though we’re traveling together.,I haven’t been able to see you even though we’re traveling together.,I haven't been able to see you even though we're traveling in the same group.
전 말을 타고 있었거든요.,I’ve been riding a horse.,I was riding a horse.,that's because I was on horseback.
…그래도 마차에도 와 주세요.,please come to the carriage sometimes...,please come to the carriage sometimes...,you should come visit me in my carriage sometime.
혼자서는 심심해서….,it’s boring being alone...,...it’s boring being alone...,it can get quite boring being alone...
주변에 온통 기사랑 병사라서 쓸쓸했나 봐.,she must have felt lonely because she was surrounded by knights and soldiers.,She must have felt lonely because she was surrounded by knights and soldiers.,"she must have been lonely, surrounded by knights and soldiers."
어서 오십시오.,welcome.,Welcome.,welcome.
이쪽이 온실입니다.,this is the greenhouse.,This is the greenhouse.,the conservatory is this way.
아가씨께서는 안쪽에서 기다리고 계십니다.,lady heather is waiting inside.,The young lady is waiting inside.,the other ladies are waiting for you inside.
"어머나,","oh my,",oh my...,"oh my goodness,"
"피오나 영애,","lady fiona,",...lady fiona...,"lady fiona,"
유니스 영애…,lady eunice...,...lady eunice...,lady eunice...
초대에 응해주셔서 감사해요.,thank you for accepting my invitation.,...thank you for accepting my invitation.,thank you for accepting my invitation.
기다리고 있었답니다.,I’ve been waiting for you.,...I’ve been waiting for you.,I've been waiting for you.
"와, 역시 화려한 미인이야.","wow, she really is a gorgeous lady.","Wow, she really is a glamorous beauty.","wow, I knew she’d be a glamorous beauty."
이런 사람이 시그렌에게 달려들었단 말이지.,she’s the one who threw herself at siegren.,So she's the one who threw herself at Siegren?,"this gorgeous lady tried to make a pass at siegren, huh?"
"자, 어서 앉으세요.","please, have a seat.","please, have a seat.",please have a seat.
"네, 고마워요.","yes, thank you.","Yes, thank you.",thank you.
이쪽은 근처 영지의 영애들이에요.,these ladies are from nearby territories.,These ladies are from nearby territories.,these are ladies from the nearby territories.
명성이 자자한 두 분을 만나서 영광이에요.,it’s an honor to meet two ladies of such renown.,It’s an honor to meet two ladies of such renown.,it's such an honor to meet such prestigious guests.
네…,yes...,yes...,thank you...
잘 부탁해요.,it’s a pleasure to meet you.,I look forward to getting along with you.,it's lovely to meet you too.
뭐지?,what’s this?,What’s this?,what is this?
묘하게 시선이 불온한 것 같은 느낌이….,I feel like they’re giving me strange looks...,...I feel like they’re giving me strange looks...,there's something unwholesome in her gaze...
헤일론 영애는 북부에 있었다면서요.,"I heard you were in the north, lady fiona.","I heard you were in the north, Lady Fiona.","I heard you're from the north, lady heylon."
맞아요.,that’s right.,That’s right.,that's right.
힘들지는 않았나요?,wasn’t it difficult?,Wasn't it difficult for you?,wasn't it hard living there?
거기에는 굉장히 야만적이고 잔혹한 마법사가 산다고 들었는데….,I heard a very barbaric and cruel sorcerer lives there...,I heard a very barbaric and cruel sorcerer lives there...,they say a very savage and cruel mage lives in those parts...
사람 사는 곳이라 다들 비슷하답니다.,it’s just like any other place where people live.,It's just like any other place where people live.,it's not that different from any other village.
"아니, 이 소문 여기까지 돌았냐!","wait, that rumor spread all the way here?!",I can't believe that rumor made it all the way here!,the rumors have spread all the way down here too?!
"소문 이야기가 나와서 말인데요,","speaking of rumors,",speaking of rumors...,"speaking of rumors,"
듣자 하니…,I heard...,...I heard...,I hear...
영애의 핏줄은 조금 특별하다면서요?,...there’s something special about your bloodline.,...there’s something special about your bloodline.,"...you have a rather peculiar family history, lady fiona."
본래는 헤일론 쪽이 아니라고 들었어요.,I heard you’re not originally from house hylon.,I heard you’re not originally from House Hailon.,I heard you're not originally from heylon.
"제가 알기로는,","from what I know,",from what I know...,"from what I know,"
사생아라던데.,you’re an illegitimate child.,...you’re an illegitimate child.,you're an illegitimate child.
"네, 맞는 말이에요.","yes, that’s true.","Yes, that's true.","yes, that's true."
전 사생아입니다.,I am an illegitimate child.,I am an illegitimate child.,I am an illegitimate child.
정확히 알고 계시네요.,you know very well.,You know exactly right.,you’re absolutely right.
웃어?,she’s smiling?,Are you smiling?,is she smiling?
게다가 그 본가는…,and your original family...,and your original family...,"also, your original family was--"
네. 마약 사업 혐의로 재산을 몰수당했죠.,"yes, their wealth was confiscated for drug trafficking.",Yes. Their assets were confiscated due to allegations of involvement in the drug trade.,"yes, they had all their wealth seized and were charged with drug smuggling,"
제가 직접 고발한 일이고요.,I was the one who reported them.,I was the one who reported them myself.,and I'm the one who reported them.
"세상에, 저라면 도저히 못할 거예요.","my goodness, I could never do that.","My goodness, I could never do that.","my goodness, I could never do such a thing."
무슨 이유에서든 가족을 자기 손으로 배신하는 건…,"betraying your own family with your own hands, no matter the reason...","betraying your own family with your own hands, no matter the reason...",betraying one's own family for whatever reason is...
짐승이나 할 짓이죠.,only a beast would do that.,Only a beast would do that.,...something only savages do.
"자, 잠깐만요!",w-wait!,"Wait a moment, please.","n-now, hang on a minute!"
피오나 영애…,lady fiona...,lady fiona...,lady fiona...
"그래서,","so,","So, what are you trying to say?",so...
하고 싶은 말이 뭔가요?,what are you trying to say?,What is it that you want to say?,...what are you trying to say?
적당히 하라는 소리예요!,I’m telling you to know your place!,I'm telling you to stop it.,I’m saying that you should know your place!
"운 좋게 양녀가 되었다고 해도,","even if you were lucky enough to be adopted,","even if you were lucky enough to be adopted,","you may have gotten lucky enough to be adopted by a duke,"
귀족 영애라면 정도를 지켜야죠.,you should know your place as a noble lady.,You should behave properly as a noble lady.,but a noble lady should have some common decency.
"…해서, …",so...,so...,so...
영애도……,...you should...,...you should...,...you should...
시그렌.,siegren.,siegren.,siegren.
피오나 영애 왜 딴 곳을 보시죠.,"lady fiona, why are you looking elsewhere?","Lady Fiona, why are you looking elsewhere?","lady fiona, what are you looking at?"
지금 제가 말하고 있는 게 안 보이나요?,can’t you see I’m talking to you?,Can't you see that I'm speaking right now?,can't you see I'm talking to you?
아직 할 말이 더 있답니다.,I still have more to say.,I still have more to say.,I haven’t finished speaking.
"영애,","my lady,","my lady,","lady fiona,"
남의 저택에서 신세를 지고 있는 와중에 전하께 꼬리를 치셨죠?,"you tried to seduce his highness while staying at someone else’s manor, didn’t you?","While being a guest at someone else's house, you threw yourself at His Highness, didn't you?","you tried to seduce his highness while he was spending the night at our manor, didn't you?"
제 하녀가 말해주었단 말이에요. 어젯밤에-,my maid told me about it last night--,My maid told me about it last night—,"my personal maid told me that last night, you--"
잠깐.,wait.,Hold on a second.,hold on.
"아덴 영애, 말이 심하세요!","lady heather, you’re going too far!","Lady Aden, your words are too harsh!","lady heather, that’s absurd!"
심하긴 뭐가 심해요.,"what do you mean, too far?",There's nothing wrong with what I said.,what’s absurd about it?
저는 그저 사실을 말하는 것뿐…,I’m just stating the facts--,I’m just stating the facts.,I'm only telling the truth--
"꺄,","ah,",Aah!,ah...
꺄아아악!,aaah!,Aaaaaaah!,aaaah!
영애의 말은 다 맞아요.,you’re right about everything you said.,You are right about everything you said.,"you’re right about everything, lady heather."
"전 사생아고, 제가 태어난 가문도 직접 부수었죠.","I’m an illegitimate child, and I destroyed the family I was born into.","I’m an illegitimate child, and I destroyed the family I was born into.","I am an illegitimate child, and I personally ruined my family."
하지만 똑똑한 아덴 영애가 하나 파악하지 못한 게 있네요.,but there’s one thing that a smart lady like you failed to realize.,but there’s one thing...,but there's one thing that someone as bright as you hasn’t figured out yet.
"저는 그 덕분에 권력과 힘,","thanks to that, I now have both power...",...that a smart lady like you failed to realize.,"thanks to all those things, I now possess..."
두 개 다 가지고 있답니다.,...and strength.,"...thanks to that, I now have both power and strength.",...both power and strength.
지금 이 자리에서 제가 영애의 머리카락을 불태워도,"that means even if I burn your hair right here,",even if I burn your hair right here...,"I could set your hair on fire right here and now,"
아덴 자작님은 제 아버지께 항의서 몇 장 보내는 게 고작일 거란 뜻이죠.,the most viscount arden could do is send a few letters of complaint to my father.,...the most viscount arden could do is send a few letters of complaint to my father.,and all viscount ardel could do is write a few letters of complaint to my father.
망아지처럼 구는 것도 상대를 보면서 하세요.,you should know who you’re dealing with before you act like a brat.,Watch who you're dealing with before you start acting like a wild colt.,"you picked the wrong person to butt heads with, lady heather."
그러다 목 잘려요.,you might lose your head.,You might get your head cut off.,"next time, it’ll be your throat I slice."
"그리고,",and...,and...,also...
"화,",your...,your...,your...
황자 전하….,your highness...,your highness...,...highness...
