hangle,first_translate,second_translate,label
"『금일 오후,",“I would like to invite you to a tea party in the greenhouse this afternoon.”,this afternoon...,"""I would like to..."
온실에서 있을 티 파티에 영애를 초대하고 싶습니다.』,“I would like to invite you to a tea party in the greenhouse this afternoon.”,...I would like to invite you to a tea party in the greenhouse.,"...cordially invite you to a tea party in the conservatory this afternoon."""
"『시간이 나신다면 꼭 참석해 주세요,","“Please attend if you have time,",please attend if you have time...,"""please join us if you can,"""
헤더 아덴 자작 영애.』,Lady Heather.”,...lady heather.,"""lady heather ardel."""
"이 사람,",isn’t this...,isn’t this...,hm
어제 시그렌이랑 일이 있었던 그 영애 아냐?,...the lady who had a problem with siegren yesterday?,...the lady who had a problem with siegren yesterday?,...the woman that tried to seduce siegren last night?
그런 사람이 여는 티파티에 내가 가도 되는 건가?,is it okay for me to attend a tea party hosted by her?,Is it okay for me to attend a tea party hosted by someone like her?,would it be a good idea to go to her tea party?
내가 괜히 신경 쓸 만한 이유는 없지.,I don’t see why not.,I have no reason to worry about it.,I guess there's no reason for me to worry about that.
잘못한 건 그쪽이고.,she’s the one who did something wrong.,She’s the one who did something wrong.,"besides, she's the one that acted out of line."
어쩌면 티파티에서 유니스를 만날 수 있을지도 모르니까.,and I might be able to see eunice there.,Because I might be able to see Eunice at the tea party.,I might even get to meet eunice at the tea party.
기쁜 마음으로 응하겠다고 전해줘.,tell her I will gladly attend.,Tell her that I will gladly accept the invitation.,please tell her I'll gladly attend.
유니스 영애.,lady eunice.,lady eunice.,lady eunice!
피오나 영애…!,lady fiona!,"Oh, Lady Fiona…!",lady fiona!
유니스 영애도 초대받은 건가요?,were you invited to the tea party as well?,were you invited to the tea party as well?,"did you get an invitation too, lady eunice?"
네.,yes.,Yes.,yes.
피오나 영애와는 같은 일행임에도 계속 얼굴을 볼 수가 없었네요.,"we’re traveling together, but I haven’t been able to see you.","Even though Lady Fiona and I were part of the same group, I haven’t been able to see her at all.",I haven't been able to see you even though we're traveling in the same group.
전 말을 타고 있었거든요.,I’ve been riding a horse.,I was riding a horse.,that's because I was on horseback.
…그래도 마차에도 와 주세요.,please come to the carriage sometimes.,Please come to the carriage anyway.,you should come visit me in my carriage sometime.
혼자서는 심심해서….,it’s boring by myself...,it’s boring by myself...,it can get quite boring being alone...
주변에 온통 기사랑 병사라서 쓸쓸했나 봐.,she must have felt lonely surrounded by knights and soldiers.,she must have felt lonely surrounded by knights and soldiers.,"she must have been lonely, surrounded by knights and soldiers."
어서 오십시오.,welcome.,Welcome. Please come in.,welcome.
이쪽이 온실입니다.,the greenhouse is this way.,This is the greenhouse.,the conservatory is this way.
아가씨께서는 안쪽에서 기다리고 계십니다.,lady heather is waiting inside.,The young lady is waiting inside.,the other ladies are waiting for you inside.
"어머나,",oh my.,oh my.,"oh my goodness,"
"피오나 영애,",lady fiona.,"Lady Fiona,","lady fiona,"
유니스 영애…,lady eunice.,Lady Eunice...,lady eunice...
초대에 응해주셔서 감사해요.,thank you for accepting my invitation.,Thank you for accepting my invitation.,thank you for accepting my invitation.
기다리고 있었답니다.,I’ve been waiting for you.,I’ve been waiting for you.,I've been waiting for you.
"와, 역시 화려한 미인이야.","wow, she’s a stunning beauty.","Wow, she really is a stunning beauty.","wow, I knew she’d be a glamorous beauty."
이런 사람이 시그렌에게 달려들었단 말이지.,she’s the one who tried to hit on siegren.,I can't believe someone like her tried to throw herself at Siegren.,"this gorgeous lady tried to make a pass at siegren, huh?"
"자, 어서 앉으세요.","please, have a seat.","please, have a seat.",please have a seat.
"네, 고마워요.","yes, thank you.","Yes, thank you.",thank you.
이쪽은 근처 영지의 영애들이에요.,these are ladies from nearby lands.,These ladies are from nearby territories.,these are ladies from the nearby territories.
명성이 자자한 두 분을 만나서 영광이에요.,it’s an honor to meet you both.,"It’s an honor to meet you both, the ones with such great reputations.",it's such an honor to meet such prestigious guests.
네…,yes...,yes...,thank you...
잘 부탁해요.,it’s nice to meet you.,I look forward to getting along with you.,it's lovely to meet you too.
뭐지?,what?,What?,what is this?
묘하게 시선이 불온한 것 같은 느낌이….,I feel like they’re giving me strange looks...,I feel like they’re giving me strange looks...,there's something unwholesome in her gaze...
