hangle,first_translate,second_translate,label
그럼 다들 얌전해졌으니 ….,"now that everyone has quieted down,",now that everyone has quieted down...,"now that you’ve all calmed  down,"
마저 절차를 밟겠습니다.,I will continue with the proceedings.,...I will continue with the proceedings.,I’ll resume  the proceedings.
"…3일 전, 술집에서 행패.","three days ago, you caused a disturbance at a bar...","three days ago, you caused a disturbance at a bar...","three days  ago, you caused a disturbance at an ale house,"
남성 5인 폭행 및 금품 상당수 갈취….,"...and assaulted five men, stealing a large amount of their money...","...and assaulted five men, stealing a large amount of their money...","assaulted five men, and stole their valuables..."
저 녀석….,that girl...,that girl...,I can’t believe this.
2 성벽에서 싸우는 마법사란 건-,so the rumors about the mage fighting on the second wall...,so the rumors about the mage fighting on the second wall...,so all  that talk about  her being a mage protecting the second rampart was...
진짜였구나.,...were true.,...were true.,...true.
그것도 다른 마법사들과는 차원이 달라.,she’s on a completely different level from other mages.,She's on a completely different level from other mages.,she’s nothing like the mages I’ve seen before.
"손에서 주먹만 한 불덩이를 만드는 건 봤어도,","I’ve seen mages create fireballs the size of a fist,",I’ve seen mages create fireballs the size of a fist...,"there were plenty who could make fireballs the size of fists,"
피오나처럼 저 정도 현상을 만드는 마법사는 처음이야.,but I’ve never seen a mage who can create such a phenomenon like fiona.,...but I’ve never seen a mage who can create such a phenomenon like fiona.,but none of them were able to create a phenomenon of that caliber.
헤일론 공작이 데리고 있는 이유를 알 것 같아.,I think I understand why duke heylon brought her here...,I think I understand why duke heylon brought her here...,"I can finally  see why duke heylon has been keeping her around,"
또 이 주 전에는….,and two weeks ago...,and two weeks ago...,and a couple of weeks ago…
그리고….,and...,...and...,and why...
무엇을 노렸는지도.,...and what he’s after.,...what he’s after.,…he sent fiona here in his stead.
우락부락한 체격의 남자 앞에 당당히 선 작은 소녀.,a small girl stands confidently in front of a burly man.,A small girl stands confidently in front of a burly man.,the sight of a little girl boldly standing before those  burly men...
"여기서 무슨 일이 생기든,","no matter what happens here,",no matter what happens here...,"...is going to leave  a very, very strong impression..."
사람들은 이 모습을 똑똑히 기억할게 틀림없다.,people will remember this scene.,...people will remember this scene.,...on these people.
피오나는 사람들에게 평범한 소녀가 아니라고 각인될 것이고,"fiona will be imprinted in their minds as an extraordinary girl,",fiona will be imprinted in their minds as an extraordinary girl...,"it will be ingrained  in their minds that fiona isn’t an ordinary girl,"
그 소문은 영지 전체에 퍼져나갈 것이다.,and that rumor will spread throughout the entire territory.,...and that rumor will spread throughout the entire territory.,and rumors about her will spread across the domain.
게다가,"on top of that,",on top of that...,"on top of that,"
헤일론 성에서 피오나의 대우는 단순히 귀한 병사라기엔 매우 좋다.,the way fiona is treated at heylon manor is too good to be considered a mere soldier.,...the way fiona is treated at heylon manor is too good to be considered a mere soldier.,everyone at heylon castle treated fiona far better than they would a regular soldier.
으음~ 맛있어!,"mm, this is delicious!",Mm~ this is delicious!,"mm, it’s delicious!"
아가씨. 좋아하시는 책들 가져왔어요.,"miss fiona, I brought the books you like.","Miss Fiona, I brought the books you like.","lady fiona,  I brought you your favorite books."
…공작이 아무런 이유 없이 그럴 남자가 아닌데.,but the duke isn’t the type of man to do that without reason...,but the duke isn’t the type of man to do that without reason...,duke heylon  would never have ordered that without a good reason.
아벨 헤일론 공작이 피오나에게 원하는 건 대체 뭘까?,what exactly does duke abel heylon want from fiona?,...what exactly does duke abel heylon want from fiona?,what does he want from fiona?
…하지만 내가 이 문제에 대한 답을 알 수 있을까.,but will I be able to find the answer to that question?,but will I be able to find the answer to that question...,will I ever be able to find the answers to these questions?
나는 용병단의 널리고 널린 고아 소년이야.,I’m just an orphan boy in a mercenary group.,...I’m just an orphan boy in a mercenary group...,I’m just a ordinary orphan working as a mercenary.
피오나를 위해 할 수 있는 일은 없겠지….,there’s nothing I can do for fiona...,...there’s nothing I can do for fiona...,there’s probably nothing that I can possibly do  for fiona.
이후에 피오나의 얼굴이나 볼 수 있을까?,will I even be able to see her again?,Will I even get to see Fiona's face again?,"honestly, I don’t know  if I can look at her in the eyes after this."
"친구가 되자고는 했지만,","she said we should be friends,",she said we should be friends...,"she did say we should be friends,"
성으로 돌아가면 나 같은 건 잊어버릴지도 몰라….,but she might forget about me once she returns to the manor...,...but she might forget about me once she returns to the manor...,"but once she returns to the castle, she might forget someone like me."
-해서 여러분에게 두 가지 선택지를 드리겠습니다.,so I will give you two options.,"So, I'm giving you two choices as a result of your actions.",so I will  let you choose between two options.
첫 번째는 맨몸으로 성벽 밖으로 나가는 것.,the first is to leave the castle walls with nothing but the clothes on your back.,The first option is that you leave the castle walls unarmed.,the first is for  all of you to leave this place without your weapons and supplies.
"뭐, 뭐라고?!",w-what?!,What did you just say?!,wh-what?!
두 번째로는….,the second is...,the second is...,the second is...
그 부분.,...that part.,...that part...,...for you  to cut off...
자르세요.,you can cut it off.,...cut it off.,...that part.
뭐어어?!,what?!,What the hell?!,whaaat?!
어라….,huh...,huh...,"oh, dear."
설마 이 정도 처벌도 예상 못한 걸까?,did they really not expect this kind of punishment?,did they really not expect this kind of punishment?,perhaps they weren’t ready for something that extreme.
물론 저도 여러분께 최소한의 자비는 줄 예정이랍니다.,"of course, I will show you a little mercy.","Of course, I will show you a little mercy.","of course,  I am willing to show you a bit of mercy."
"밖으로 나가던지, 자르던지.",you can either leave or cut it off.,Either get out or cut it off.,"leave this place, or cut off your privates."
선택은 여러분의 몫입니다.,the choice is yours.,It's up to you to choose.,the choice is yours.
크으으윽….,ugh...,ugh...,hgh…
웃기지 마! 우리가 왜 그런 꼴을 당해야 해?!,don’t be ridiculous! why should we have to suffer such a fate?!,Don't be ridiculous! Why should we have to go through something like that?!,screw this!  why should we agree to your demands?!
하여간 야만적이고 미개한 북부 놈들하고는 상종을 하면 안 돼….,we shouldn’t have gotten involved with those barbaric and uncivilized northerners...,we shouldn’t have gotten involved with those barbaric and uncivilized northerners...,this is why one should never do business with savage and ignorant northerners.
우리 용병들이 없으면 마물 배 속에나 들어가 있을 것들이!,they’d be in the bellies of monsters if it weren’t for us mercenaries!,They would be in the bellies of monsters if it weren't for us mercenaries!,all of you would’ve ended up inside those monsters’ bellies if it weren’t for us mercenaries!
저게….,how dare he...,how dare he...,how dare he…!
…헤일론 영지는 용병들에게 위험에 상응하는 금액을 치릅니다.,heylon pays mercenaries an amount that corresponds to the danger they face.,heylon pays mercenaries an amount that corresponds to the danger they face...,the duke of heylon pays mercenaries handsomely for  the risks they  take.
아벨은 냉정하지만 공정하다.,abel is cold but fair.,...abel is cold but fair...,"abel may be cold, but he’s fair."
마물을 잡는 위험을 감수하는 만큼 보수를 지불한다.,he pays them for the risk they take in hunting monsters.,...he pays them for the risk they take in hunting monsters.,mercenaries are always rewarded well because fighting demonic monsters is a dangerous job.
게다가 용병들에겐 마물의 사체에서 얻을 수 있는 재료도 있다.,"on top of that, mercenaries can also obtain materials from the carcasses of monsters.","on top of that, mercenaries can also obtain materials from the carcasses of monsters.","moreover, there are various resources that can be salvaged from these demonic creatures."
그걸 팔면 종에 따라 많은 수익을 얻을 수도 있다.,they can earn a lot of money by selling those materials.,They can earn a lot of money depending on the type if they sell those materials.,"depending on  the monster, one could sell them and make quite the profit."
