hangle,first_translate,second_translate,label
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go, I’ll have to deal with the duke’s wrath.","If I let you go like this, the duke will humiliate me.","well, the duke will give me hell if I just let you go."
"어이, 고용주님.","hey, employer.","hey, employer.","hey, boss."
"이놈들,",these bastards...,these bastards...,would you like me to...
가랑이에 달린걸 잘라 버릴까?,should I cut off their manhood?,Should I cut off what's hanging between their legs?,...cut the things dangling between their legs?
음…,um...,um...,hmm...
"아니, 그건 좀.","no, that’s a bit much.","no, that’s a bit much.","no, that won't be necessary."
"아가씨, 감사합니다.","thank you, miss.","thank you, miss.","thank you, miss."
다시는 경거망동하지 않겠습니다요.,we won’t act recklessly again.,We won’t act recklessly again.,we'll never step out of line ever again.
용서해주셔서 어찌나 다행인지…,we’re so glad you forgave us...,we’re so glad you forgave us...,thank you for forgiving us--
누가 용서를 했는데?,who said I forgave you?,Who said I forgave you?,who said I forgave you?
으아아악!,aaah!,Aaaaargh!,aaack!
"영애, 눈을 감는 게 좋겠어요.","my lady, you should close your eyes.","My lady, you should close your eyes.","lady eunice, you should close your eyes."
귀는 제가 가려드릴 테니까요.,I’ll cover your ears.,I’ll cover your ears.,I'll cover your ears.
예?,what?,Pardon?,yes?
예에…,okay...,okay...,"ah, all right..."
"자, 됐어.",that’s enough.,"Alright, it's ready.","all right, we're ready."
"자르진 말고, 한 대씩 세게 두들겨 줘.","don’t cut it off, but give them each a good whack.",Don't cut anything off. Just hit each of them hard once.,"don't cut them off, but give them a good pounding."
그래.,sure.,Okay.,will do.
흐갹…,ack...,ack...,gaah...
"그리고 그 전에,","but before that,","Before we do that, let me do something first.","but before that,"
내 얼굴 잘 보렴.,take a good look at my face.,Take a good look at my face.,I want you both to take a good look at my face.
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you should remember who not to bite when you’re carrying out a job.,You need to remember which people you shouldn't attack when you're carrying out a mission.,you dogs will have to remember who not to bite when you carry out my orders.
네에…,yes...,yes...,yes...
죄송합니다…,we’re sorry...,we’re sorry...,we’re so sorry...
잊을 수 있겠냐고.,"you won’t forget, right?",Can you really forget this?,we won’t forget...
설교는 이제 끝난 것 같고.,I think that’s enough lecturing.,I think the lecture is over now.,"I guess that's all for the sermon,"
이젠…,now...,now...,so...
집행이군!,it’s time for punishment!,It's time to carry out the punishment!,...it's time for the execution!
꺄아아아아악!!,aaah!!,Aaaaaaaaah!!,aaaaah!!
다음.,next.,Next.,next.
커어억!!,kegh!!,Gah!!,uuugh!!
"이곳이,",so this is...,so this is...,this place...
어둠에 삼켜진 곳인가.,...the land swallowed by darkness.,...the land swallowed by darkness.,...must have been devoured by the darkness.
시신 수습도 못 하겠네요…,we can’t even recover the bodies...,we can’t even recover the bodies...,we can’t even bury the bodies...
"전하, 앞으로 어떻게 하실 건가요?","your highness, what will we do now?","Your Highness, what will you do now?","your highness, what will you do now?"
"이쪽을 거점으로 잡고,",we’ll set up a base here...,we’ll set up a base here...,we'll have to set up base here...
본격적으로 숲에 있는 마물을 토벌해야겠지.,...and start hunting the monsters in the forest.,...and start hunting the monsters in the forest.,...and start hunting for demonic beasts in the forest.
피오나 영애는 아카데미의 연구원들과 있는 게 낫지 않을까.,"lady fiona, wouldn’t it be better for you to stay with the academy researchers?",Wouldn't it be better for Lady Fiona to stay with the academy researchers?,wouldn't it be better for lady fiona to stay with the researchers from the academy?
제법 일이 많아 보이더군.,they seem to have a lot of work to do.,It looked like there was quite a lot of work to do.,it seems like they have a lot of work to do.
음…,um...,um...,hm...
"위험한 곳에는 안 내보내겠다, 이거지?","he doesn’t want me to go to dangerous places, huh?","He won't let me go to dangerous places, will he?","he’s saying this because he doesn't want to put me in danger, huh?"
전하.,your highness.,Your Highness.,"your highness,"
사적인 일과 공적인 일은 구분해야죠.,we should separate personal matters from official duties.,We should separate personal matters from official duties.,you shouldn’t let your private feelings get in the way of your official duties.
내가 있을 곳은 이곳이 아니야.,this isn’t where I’m supposed to be.,I shouldn't be here.,this is not where I belong.
알잖아?,"you know that, right?","You know that, right?",you know that.
발그레…,blush,He blushed.,blush
"미인계, 통했다.",my feminine wiles worked.,My beauty trap worked.,I see my beauty is working like a charm.
일단 황제 폐하께 칙령도 받은 몸이니 열심히 일하죠.,let’s work hard since his majesty has given us a decree.,"I’ve received a decree from His Majesty, so I’ll work hard.","since his majesty has given me direct orders, I should do my best to make myself useful."
초반만 아주 잠깐 나갔다 와.,just go out for a little bit at the start.,Just step out briefly at the very beginning and come back.,you can come along for a little bit at first.
와아.,wow.,wow.,wow.
…아벨이 빨리 돌아와서 네 대타가 되어야 하는데.,abel needs to come back soon so he can take your place.,I hope Abel comes back soon so he can take your place.,I hope abel gets here quickly so he can replace you.
스승님을 부려 먹을 생각뿐이구나.,you’re just trying to make your master do all the work.,All you ever think about is bossing your master around.,look at you trying to make your teacher do all the hard work.
여전히 사이가 좋으시네요.,you two are still close.,You two still get along well.,I see you’re both still two peas in a pod.
…대체 어딜 봐서요?,how do you figure...?,how do you figure...?,what in the world would make you say that?
"이런, 어딜 봐도 어린 시절처럼 다정하신데요.","oh my, you’re as friendly as you were in your childhood.","I can’t help but notice how affectionate you two are, just like in your childhood.","well, you're still just as close as you were when you were kids,"
겉모습이야 두 분 다 콩나물처럼 쑥쑥 자라셨지만.,"you’ve both grown like bean sprouts, though.",Although both of you have grown tall like bean sprouts on the outside.,only now you've both grown like a pair of beanstalks.
어.,oh.,oh.,oh.
"경, 이거 떨어뜨렸어요.","sir, you dropped this.","Sir, you dropped this.","sir knight, you dropped this."
아. 고맙습니다.,"oh, thank you.","Oh, thank you.","ah, thank you."
경의 물건인가요?,is it yours?,"Is this your belonging, sir?",is it yours?
네. 좀 보실래요?,yes. would you like to see?,Yes. Would you like to see it?,"yes, would you like to take a look?"
집에 두고 온 아내예요.,"it’s my wife, who I left at home.",She's my wife. I left her at home.,that's my wife who's waiting for me back home.
떠나기 전에 듣자 하니 임신했다더군요.,I heard she was pregnant before I left.,I heard before I left that she was pregnant.,I was told she was with child just before I left.
와악!,wow!,Yikes!,wow!
그런 건 빨리 좀 말해요!,you should have told me that sooner!,you should have told me that sooner!,why didn't you tell us sooner?!
제 옆이 아니라 부인 곁에 있어야 되잖아요?!,"you should be with your wife, not me!","you should be with your wife, not me!","you should be with your wife, not out here next to me!"
"어쩔 수 없죠, 임무니까.",I can’t help it. it’s my duty.,I have no choice. It's my duty.,I can’t help it if it’s my duty.
그래도 주군께서 예정일 전에 돌아가게 해 준다고 하셨으니까요.,but his highness said I could go back before the due date.,His Highness said he would let me return before the due date.,and duke abel has given me permission to go home before the baby is born.
"아벨, 사람 부려 먹는 게 너무 독해!","abel, you’re so harsh!","Abel, you work people way too hard!",abel is always driving his men too hard!
"좋아요,",all right.,I like it.,all right.
제가 더 빨리 헤일론으로 돌아갈 수 있도록 해줄게요.,I’ll help you get back to heylon even faster.,I’ll help you return to Heylon even faster.,I'll try to get you back to heylon as soon as possible.
감사합니다!,thank you!,thank you!,thank you!
너 말이지.,you.,"You know, I'm talking about you.",you know...
아무리 서두르는 이유가 있다고 해도,"I know you have a reason to hurry,",I know you have a reason to hurry...,"even if you have a reason to rush,"
숲에 번개를 난사하면 아군이 겁을 먹는단 말이다.,"but if you shoot lightning all over the forest, you’ll scare our troops.","...but if you shoot lightning all over the forest, you’ll scare our troops.",you just ended up scaring our men when you shot lightning at them to get them to hurry.
아하하…,ahaha...,ahaha...,ahaha...
그래도 덕분에 일찍 끝났는걸.,"but thanks to me, we finished early.","but thanks to me, we finished early.","well, it got the job done quickly, didn’t it?"
어.,oh.,Oh.,"oh,"
유니스 영애!,lady eunice!,lady eunice!,lady eunice!
피오나 영애!,lady fiona!,lady fiona!,lady fiona!
영애의 힘으로 이 죽은 땅을 복구시킬 수 있을 것 같나요?,do you think you can restore this dead land with your power?,Do you think Lady Eunice's power can restore this dead land?,do you think you could use your powers to revive the dead lands?
"일부는 가능할 것도 같지만,","I think I can do some of it,",I think I can do some of it...,"it would be possible to some extent,"
이렇게 넓은 범위의 죽은 땅은 저도 처음이라…,but I’ve never seen a dead land this big before...,...but I’ve never seen a dead land this big before...,but I've never seen such a vast area of dead lands before...
제 힘이 부족한 탓이에요.,it’s because I’m not strong enough.,It's my lack of power.,it's my fault for not being strong enough.
영애…,my lady...,my lady...,lady eunice...
그렇지 않아요.,that’s not true.,That’s not true.,that's not true.
"성녀님은 한 분이고, 죽은 땅은 여러 개인데…","there’s only one saint, but there are many dead lands...","there’s only one saint, but there are many dead lands...",this much dead land is impossible...
애초에 혼자 부담하시는 건 무리입니다.,it’s too much for you to handle alone.,It's too much for you to take on by yourself from the start.,...for one saint to take on.
"맞아요, 유니스 영애가 부족한 게 아니에요",that’s right. it’s not because you’re not strong enough.,"That's right, Lady Eunice. You're not lacking in any way.","that’s right. it's not your fault, lady eunice."
조바심 내지 말고 차근차근해봐요.,don’t be impatient. take your time.,Don't rush. Let's take it step by step.,don't worry and try to take it one step at a time.
그래요. 저희도 뭐든 도울게요.,that’s right. we’ll help you however we can.,That's right. We'll help you with anything you need.,"yes, we'll do whatever we can to help."
"어려운 부분이 있으면 혼자 앓지 말아요, 영애.","if you’re having a hard time, don’t keep it to yourself, my lady.","If you run into any difficulties, don’t try to handle them alone, my lady.","if you have any problems, please let us know, my lady."
여러분…,everyone...,everyone...,thank you...
다들 이렇게 응원해주시는데,"they’re all cheering me on,",they’re all cheering me on...,"with everyone rooting for me,"
혼자 약한 소리를 할 수는 없어.,so I can’t be weak.,...so I can’t be weak.,I can’t call myself weak.
걱정끼쳐 죄송해요.,I’m sorry for worrying you.,I’m sorry for worrying you.,I'm sorry for making you worry.
저 힘낼게요…!,I’ll do my best...!,I’ll do my best...!,I'll try to stay strong...!
"와, 기세 좋은데요.","wow, she’s really motivated.","Wow, you're really on a roll.","wow, that's the spirit."
이러다가 너무 금방 끝내버리는 건 아닌지 몰라.,"at this rate, she might finish too quickly.",I’m worried we might end up finishing this too quickly at this rate.,"at this rate, I think we might get this over with sooner than later."
"그, 그건 아무래도…",w-well...,w-well...,"oh, I don't know about that..."
농담이에요.,I’m joking.,I’m joking.,I was kidding.
