hangle,first_translate,second_translate,label
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go, the duke will punish me for it.","I can't let you go, or the duke will humiliate me for it.","well, the duke will give me hell if I just let you go."
"어이, 고용주님.","hey, employer.","Hey, boss.","hey, boss."
"이놈들,",these guys...,these guys...,would you like me to...
가랑이에 달린걸 잘라 버릴까?,should I cut off their balls?,...should I cut off their balls?,...cut the things dangling between their legs?
음…,hmm...,hmm...,hmm...
"아니, 그건 좀.","no, that’s a bit much.","...no, that’s a bit much.","no, that won't be necessary."
"아가씨, 감사합니다.","thank you, my lady.","Thank you, my lady.","thank you, miss."
다시는 경거망동하지 않겠습니다요.,we will never act out of line again.,I will never act recklessly again.,we'll never step out of line ever again.
용서해주셔서 어찌나 다행인지…,we’re so glad you’re forgiving us--,We’re so relieved that you forgave us.,thank you for forgiving us--
누가 용서를 했는데?,who said I was forgiving you?,Who forgave you?,who said I forgave you?
으아아악!,aack!,Aaaaargh!,aaack!
"영애, 눈을 감는 게 좋겠어요.","my lady, you should close your eyes.","My lady, you should close your eyes.","lady eunice, you should close your eyes."
귀는 제가 가려드릴 테니까요.,I’ll cover your ears.,I’ll cover your ears.,I'll cover your ears.
예?,huh?,Excuse me?,yes?
예에…,okay...,okay...,"ah, all right..."
"자, 됐어.",that’s enough.,"Alright, it's done.","all right, we're ready."
"자르진 말고, 한 대씩 세게 두들겨 줘.",don’t cut them off. just give them a good punch.,Don't cut them off. Just hit each of them hard once.,"don't cut them off, but give them a good pounding."
그래.,sure.,sure.,will do.
흐갹…,ack...,ack...,gaah...
"그리고 그 전에,","before you do that,",before you do that...,"but before that,"
내 얼굴 잘 보렴.,take a good look at my face.,...take a good look at my face...,I want you both to take a good look at my face.
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you should remember who not to bite when you’re on a job.,...you should remember who not to bite when you’re on a job.,you dogs will have to remember who not to bite when you carry out my orders.
네에…,"yes, ma’am...","yes, ma’am...",yes...
죄송합니다…,we’re sorry...,we’re sorry...,we’re so sorry...
잊을 수 있겠냐고.,do you think you’ll be able to remember?,Do you think you can forget this?,we won’t forget...
설교는 이제 끝난 것 같고.,I think that’s enough lecturing.,I think the lecture is over now.,"I guess that's all for the sermon,"
이젠…,now...,now...,so...
집행이군!,...it’s time for punishment!,...it’s time for punishment!,...it's time for the execution!
꺄아아아아악!!,aaah!!,Aaaaargh!!,aaaaah!!
다음.,next.,Next.,next.
커어억!!,kegh!!,Ugh!!,uuugh!!
"이곳이,",so this is...,so this is...,this place...
어둠에 삼켜진 곳인가.,...the land swallowed by darkness.,...the land swallowed by darkness.,...must have been devoured by the darkness.
시신 수습도 못 하겠네요…,we can’t even clean up the bodies...,we can’t even clean up the bodies...,we can’t even bury the bodies...
"전하, 앞으로 어떻게 하실 건가요?","your highness, what will you do now?","Your Highness, what will you do now?","your highness, what will you do now?"
"이쪽을 거점으로 잡고,",we’ll set up camp here...,we’ll set up camp here...,we'll have to set up base here...
